id,split,MSA,EGY
2097,corpus-6-dev,هل يمكنني أن أحمل هذه الأمتعة على الطائرة ؟,ممكن أشيل الشنط دي معايا؟
2098,corpus-6-train,من فضلك خذ هذا بعيداً .,لو سمحت وديها بعيد .
2100,corpus-6-test-corpus-26-test,خطف محفظتي وجرى بعيداً .,سرق محفظتي و جري .
2101,corpus-6-train,إنه ليس بعيداً جداً . حوالي خمسين دقيقة .,مش بعيد قوي . حوالي خمستاشر دقيقة .
2102,corpus-6-train,أود أن آخذ هذا بعيداً .,عايز اطلعها برة .
2103,corpus-6-train,كم سيستغرق الأمر لتتحسن ؟,حياخد وقت اد ايه علشان اتحسن؟
2107,corpus-6-train,أمس ، اشتريت هذه وكسرت .,امبارح، انا اشتريت ديه و هى مكسورة .
2108,corpus-6-dev,ميزانيتي هي خمسين دولاراً .,ميزانيتي خمسين دولار .
2109,corpus-6-dev,سأحيلك إلى السيد سوزوكي .,خدها برة .
2114,corpus-6-train,ماذا عن الساعة السادسة ؟,ايه رأيك الساعة سته؟
2115,corpus-6-train,الآن ، من فضلك .,علطول، إذا سمحت .
2116,corpus-6-train,إنني مسرور جداً لرؤيتك .,مبسوط جدا اني اشوفك .
2117,corpus-6-train,أين يمكنني أن أجد الحافلة رقم تسعة ؟,من فين اركب اتوبيس رقم تسعه؟
2118,corpus-6-train,أتمنى أن تكون رحلتنا سعيدة .,اتمنى نلاقي رحلة كيران كويسة .
2119,corpus-6-test-corpus-26-train,أليس لديك دروس تجريبية ؟,عندك دروس تجريبية؟
2120,corpus-6-train,هل هناك مكان ما يمكنني أن أجري منه مكالمة هاتفية ؟,فيه أى مكان أقدر اعمل منه مكالمة نليفون؟
2122,corpus-6-train,أنا في الحمام . لا توجد مياه ساخنة في الدش .,انا في الحمام . الدش مش بينزل ميه سخنه .
2123,corpus-6-train,احتفظ بهذه الأمتعة ، من فضلك .,خللي عندك الشنط ديه، من فضلك .
2124,corpus-6-train,ثلاث ليالي من أول يوليو . ما هو سعر غرفك ؟,تلات ليالي من اول يوليو . حتكلفك أوضك اد ايه؟
2125,corpus-6-train,أعطني خمسة عشر لتراً من السوبر ، من فضلك .,عايز خمستاشر لتر بنزين سوبر، إذا سمحت .
2126,corpus-6-train,هل لك أن تريني كيف تعمل فتاحة العلب الكهربائية هذه ؟,ممكن توريني أزاي فتاحة العلب الكهربائية بتشتغل؟
2127,corpus-6-train,هل سيكون جاهزاً حالاً ؟,حتكون جاهزة حالا؟
2128,corpus-6-train,ما هي الخمر التي تنصح بها مع هذا الطبق ؟,بتنصحني بأى نبيت أخده مع طبق الاكل ده؟
2132,corpus-6-train,لقد فقدت تذكرة الترانزيت .,باسبور الترانزيت ضاع مني .
2133,corpus-6-train,هل يوجد مكان قريب من هنا لتغيير النقود الأجنبية ؟,فيه قريب من هنا أى محل صرافة؟
2135,corpus-6-train,من هم أكثر اللاعبين شعبية ؟,مين أكتر اللعيبة اللي الناس بتعرفهم؟
2136,corpus-6-train,أين مكان المفقودات التي وجدت ؟,فين مكتب المفقودات و المظبوطات؟
2137,corpus-6-train,أين يمكنني أن أشاهد فيلماً ؟,فين أقدر اشوف فيلم؟
2138,corpus-6-train,أريد واحد هوت دوج ، من فضلك .,عايز سوسيس، إذا سمحت .
2140,corpus-6-train,هل هناك قطار سريع ؟,فيه اكسبريس؟
2146,corpus-6-train,يمكننا أن نرسله لك إلى مكتب البريد .,تقدر نبعتها لمكتب البريد عشانك .
2147,corpus-6-test-corpus-26-train,أين يمكنني أن أشتري طوابع بريد ؟,منين أقدر اشتري طوابع بريدية؟
2148,corpus-6-test-corpus-26-train,أنا من بريطانيا العظمى .,انا من بريطانيا العظمي .
2150,corpus-6-dev,هذه السنة كسرت .,السنه ديه اتكسرت .
2151,corpus-6-train,أعطني هذه الكاميرا . أريد أن ألتقط صورة .,اديني الكاميرا . عايز اخد صورة .
2152,corpus-6-train,كم تزيد تذكرة الدرجة الأولى عن تذكرة الدرجة الثانية ؟,تذكرة الدرجة الاولى أغلى بأد أيه عن تذكرة الدرجة التانيه؟
2154,corpus-6-train,هل ستبحث في مطعمك عن كيس نقودي ؟,ممكن تدور في مطعمك على محفظتي؟
2155,corpus-6-train,موقف سيارات أجرة ، أين ؟,موقف التاكسي، فين؟
2156,corpus-6-test-corpus-26-train,علي أن أفحص ذلك مع زوجتي .,لازم ارتبها الاول مع مراتي .
2157,corpus-6-train,كان بارداً .,ده كان رائع .
2158,corpus-6-train,أريد شيئاً للصداع .,عايز حاجة للصداع .
2161,corpus-6-test-corpus-26-train,أريد أن أحصل على تعويض لذلك .,ينفع أخد خصم على ده.
2162,corpus-6-dev,أنا ، أيضاً . ظننت أنه يمكنك أن تساعدني على فهم قائمة الطعام .,انا، كمان . منهيألي انك تقدر تساعدني افهم القائمة ديه .
2163,corpus-6-train,هلا وقعت هنا ، من فضلك ؟,ممكن تسجل هنا، إذا سمحت؟
2164,corpus-6-train,أريد بعض القطرات .,عايز شويه قطرة .
2165,corpus-6-train,أريد طعاماً فرنسياً .,عايز اكل فرنساوي .
2166,corpus-6-train,"أزهار الخوخ تلقى إعجاباً في احتفال "" دل "" للفتيات في الثالث من مارس .",البنات بيحبوا اللون الروز زى زهر الخوخ في عيد العرايس في تلاته مارس .
2167,corpus-6-train,من أي رصيف سيغادر القطار المتجهة إلى تاكيو ؟,من اى سكة القطر اللي رايح طوكيو حيمشي؟
2171,corpus-6-train,إذاً ، ماذا عن هذه ؟,و بعد كده، ايه نظام دول؟
2173,corpus-6-train,هل أخذت أي برتقال ؟,اخدت اى برتفان؟
2174,corpus-6-train,إذاً ، هل يمكنني أن أبادله بشيء أخر ؟,كده اقدر انا أغيره بحاجة تانية؟
2179,corpus-6-test-corpus-26-train,يوجد صندوق للهاتف أمام هذا المصرف .,فيه صندوق تليفون قدام البنك ده .
2180,corpus-6-test-corpus-26-train,سأصل في التاسع من مارس وأغادر في الرابع عشر .,حأوصل تسعة مارس و حأمشي اربعتاشر .
2186,corpus-6-train,عذراً . هل يمكن أن تخبرني عن بعض الأمكان الشيقة التي يمكن زيارتها في هذه البلدة ؟,لا مؤاخذة . ممكن تقوللي بعض الاماكن اللي تستاهل الزيارة في البلد؟
2189,corpus-6-train,هل توجد أية كافيتريا قريب من هنا ؟,فية اى كافيتيريا قريبه من هنا؟
2190,corpus-6-train,تذكرتان ذهاب وعودة إلى بوسطن ، من فضلك .,تذكرتين ذهاب و عودة لبوسطن، من فضلك .
2192,corpus-6-train,"إنها تقول "" ألتزم بحارتك . ""","بتقول "" حافظ عالحارة اللي انت ماشي فيها ""."
2193,corpus-6-train,هل ترغب في زيارة مكان بعينه ؟,عايز تزور مكان بالذات؟
2194,corpus-6-dev,هل ألفه ؟,ممكن الفها؟
2196,corpus-6-train,نعم ، يمكنك شراء الطوابع من آلات البيع في البهو .,أيوة، تقدر تشتري طوابع من مكنة البيع في الطرقة .
2197,corpus-6-train,أي من هذه الأحذية للبيع ؟,اى جزمة من دول في الاوكازيون ؟
2201,corpus-6-train,أنا على الطريق السريع الأول ثمانين بالقرب من مخرج بيركيلي .,انا عالطريق السريع تمانين جنب مخرج بيركيلي .
2203,corpus-6-train,فقط اسمك وعنوانك يكفيانً .,كفايه اسمك و عنوانك .
2205,corpus-6-test-corpus-26-train,هذا غال قليلاً ، ألا تعتقد ؟,ده غالي شويه، و لا انت رأيك ايه؟
2206,corpus-6-train,دعني أحضر حقائبك .,خلليني اخد شنطك .
2207,corpus-6-train,كم وزنها ؟,تقيله اد ايه؟
2208,corpus-6-train,استدع شخصاً يتحدث اليابانية .,نادي واحد يقد يتكلم ياباني .
2210,corpus-6-train,هذه غرفة رقم اثنين واحد وثلاثين . هل يمكن من فضلك أن تحضر فنجانان من القهوة ؟,ديه أوضه ميتين واحد و تلاتين . ممكن تبعتلي فنجالين قهوة ؟
2212,corpus-6-train,أعتقد أن هذا هو التغيير الخاطئ .,متهيالي أنك غلطت في باقي الحساب .
2213,corpus-6-dev,يستغرق الأمر حوالي ثلاث ساعات للذهاب إلى المكتب والعودة .,المرواح للمكتب و الرجعة بياخدو حوالي تلات ساعات .
2214,corpus-6-train,هل يمكنك أن تقترح محل ملابس مشهور بين الشباب ؟,ممكن تنصحني بمحل ملابس يكون مشهور بين الشباب؟
2215,corpus-6-train,لديه متوسط لضرب الكرة يبلغ ثلاثة خمسة وعشرين .,معدل ضرباته تلتميه خمسه و عشرين .
2217,corpus-6-train,من فضلك لا تأت مرة أخرى .,لو سمحت ماتجيش تاني .
2218,corpus-6-train,سأغادر عند اثنين خمسة عشر بعد الظهر .,انا حأمشي الساعة اتنين و ربع الضهر .
2219,corpus-6-dev,عندي تذكرة لديدرويت تغادر الساعة الحادية عشر صباحاً .,عندي تذكرة لديترويت ميعادها الساعة حداشر الصبح .
2220,corpus-6-train,من فضلك أجعل لي كرسي بجانب الممر في المنتصف .,لو سمحت عايز كرسي جنب الممر في النص .
2223,corpus-6-train,هل يمكنك مساعدتي في العثور عليه ؟,ممكن تساعدين الاقيه؟
2224,corpus-6-train,أنا أبحث عن شيء صنع في الولايات المتحدة الأمريكية .,بأدور على حاجه مصنوعه في اميركا .
2226,corpus-6-train,هل يستغرق أكثر من عشرة دقائق سيراً على الأقدام ؟,بتاخد اكتر من عشر دقايق مشي؟
2227,corpus-6-train,أعتقد أنني أقع في غرامك ؟,انا حاسس اني واقع في حبك .
2232,corpus-6-train,ما هو الوقت الذي قلت أننا ينبغي أن نسلم ورقتنا بحلوله ؟,انت امتى قلت اننا مفروض نسلم ورقتنا؟
2234,corpus-6-train,هل يوجد شخص يرعاه ؟,في اى حد ياخد باله منه؟
2235,corpus-6-test-corpus-26-train,هل لديك كعب ؟,معاك الايصال؟
2236,corpus-6-test-corpus-26-train,أين المحطة النهائية للحافلة ؟,فيه محطة الاتوبيس؟
2237,corpus-6-train,ما هو عدد سكان بلدك ؟,اد ايه عدد سكان بلدك؟
2238,corpus-6-test-corpus-26-train,هل تريد بالحلويات ؟,يهمك التحلية؟
2239,corpus-6-dev,حفلة لأربعة ، الساعة السابعة والنصف الليلة . ما الاسم الذي تسميه لها ؟,حفلة لأربعة، بليل الساعة سبعة و نص . تحب تتحجز بأى أسم؟
2240,corpus-6-dev,أريد أن أغير طلبي .,عايز أغير طلبي .
2241,corpus-6-train,ما هو أول مكان يهتم السياح بزيارته في إنجلترا ؟,ايه اكتر حاجه السياح بيهتمو يزوروها في انجلترا؟
2242,corpus-6-train,سأغادر غداً .,حأمشي بكرة.
2245,corpus-6-train,أريد بعضاً من الخيار المخلل ، من فضلك .,عايز خيار مخلل صغير، إذا سمحت .
2246,corpus-6-train,هل لديك وقت الليلة ؟,عندك وقت الليله ديه؟
2247,corpus-6-train,أنا جئت من طوكيو .,انا جيت من طوكيو .
2249,corpus-6-train,أريد عصيراً ، من فضلك .,عايز عصير، لو تكرمت.
2250,corpus-6-train,ما الأماكن التي خططت لزيارتها في هذا البلد ؟,فين بتخطط تتفسح في البلد ديه؟
2251,corpus-6-train,مما صنع هذا ؟,ده مصنوع من ايه؟
2253,corpus-6-train,السيد فرانك شميتد ، مدير مصنعنا ، سيسر لرؤيتك هنا .,أستاذ فرانك شميدت، مدير مصنعنا، حيكون سعيد انه ياخدك في جولة .
2255,corpus-6-dev,خمسة وعشرين دولاراً شاملة أجرة الحافلة ، ومصاريف المرشد والدخول .,خمسة و عشرين دولار شاملة اجرة الاوتوبيس، المرشد و رسوم الدخول .
2258,corpus-6-dev,ما الذي يتمشي مع هذا في اعتقادك ؟,فكرك ايه اللي حصله؟
2259,corpus-6-train,كنت على متن رحلة بان أمريكا أربعة صفر اثنين . تفحصت حقيبتين .,انا كنت في رخلة بان اميركان ربعميه و اتنين . اتأكدت من شنطتين .
2260,corpus-6-train,أريد بطارية لهذا ، من فضلك .,عايزه بطارية لده، إذا سمحت .
2263,corpus-6-train,بالقرب من المسرح ، من فضلك .,جنب خشبة المسرح، من فضلك .
2264,corpus-6-train,مسجل ، من فضلك .,مسجل، من فضلك .
2267,corpus-6-train,أين طاولة فحص المغادرة ؟,فين ترابيزة الخروج عند الكاشير ؟
2268,corpus-6-train,الجو حار .,ده سخن .
2274,corpus-6-train,آسف ، هذا هو نوع الغرف الذي لدينا .,اسف . ده نوع الاوض الوحيد اللي عندا .
2277,corpus-6-train,إننا نتاجر بصفة أساسية في الأدوات الكهربائية المنزلية .,احنا اساسا بنشتغل في الاجهزة الكهربية المنزلية .
2278,corpus-6-train,فردي بدون حمام ، من فضلك .,اوضه بسرير واحد بدون حمام، من فضلك .
2279,corpus-6-dev,نعم ، أنا أبحث عن فستان .,ايوه . بأدور على فستان .
2282,corpus-6-train,نريد أن نجرب الطعام المحلي .,عايز نجرب الاكل الشعبي .
2283,corpus-6-train,ماذا بها ؟,هى مالها؟
2286,corpus-6-train,خذ صديقي إلى المستشفى ، من فضلك .,خد صاحبي للمستشفى، من فضلك .
2287,corpus-6-train,لقد ساعدت حقيقةً .,انت فعلا ساعدت .
2290,corpus-6-train,متحف الفن بالمدينة جيد .,كويس قوي متحف فنون متروبوليتان .
2291,corpus-6-train,مذاق هذا العنب جيد .,طعمة حلو العنب ده .
2293,corpus-6-train,ما هو الرقم الذي يجب أن أطلبه للحصول على معلومات ؟,اطلب رقم كام للمعلومات؟
2295,corpus-6-train,أين الهاتف ؟,فين التليفون؟
2296,corpus-6-train,سنعقد اجتماعاً ونقرر خلال أسبوع .,حيكون عندنا اجتماع و ناخد قرار خلال الاسبوع .
2300,corpus-6-train,من فضلك أعطني إيصالاً لشركة التأمين .,من فضلك اديني ايصال علشان شركة التأمين .
2302,corpus-6-test-corpus-26-train,هل تتحدث ؟,بتتكلم؟
2304,corpus-6-train,نعم ، إنها تقوم بذلك . ببدو أن منظر السماء ينذر بحدوث شيء .,فعلا، شكلها كده . السما بابنلها ناويه .
2306,corpus-6-test-corpus-26-train,الشيء نفسه لي ، من فضلك .,انا كمان زيه، من فضلك .
2307,corpus-6-train,هذا الخمر أراحني فعلاً .,النبيت ده خلاني احسن بالاسترخاء .
2309,corpus-6-train,واحد ناقص . مجموع ما اشتريت خمسة .,واحد مش موجود . انا اشتريت خمسه.
2312,corpus-6-dev,أشكرك على إيصالي لهنا بالسيارة بعد ساعات . أنا أقدر مساعدتك حقيقةً .,شكرا جزيلا ليك علشان سقت بيا لهنا بعد ساعات . انا فعلا ممنون لمساعدتك .
2314,corpus-6-train,ما هي أسرع وجبة ؟,ايه أسرع وجبة؟
2315,corpus-6-train,كم سعر الليلة ؟,يكلفني كام لليله واحده؟
2316,corpus-6-train,بالتأكيد . دقيقة واحدة ، سيدي .,أكيد . اديني دقيقة، يا استاذ .
2318,corpus-6-test-corpus-26-train,طلبي لم يأت .,طلبي لسه ما جاش .
2319,corpus-6-train,لا عليك أن توقظني للوجبات .,مش لازم تصحيني علشان الاكل .
2321,corpus-6-train,بالتأكيد ، من فضلك .,اكيد، إذا سمحت .
2322,corpus-6-train,لا تقلق . اتصلت بواحد من محطة الإطفاء .,ماتقلقش . انا طلبت عربية مطافي .
2323,corpus-6-train,"كم تكلفة الذهاب إلى "" هوليداي إن "" بالسيارة الأجرة .",حأدفع كام لتاكسي يوصلني هوليداي اين؟
2324,corpus-6-test-corpus-26-train,هناك الكثير من الينابيع الحارة .,فيه عيون ميه سخنه كتير .
2325,corpus-6-train,اشتقت إليك .,واحشني .
2326,corpus-6-train,آسف . أرقت بعض القهوة .,انا اسف . انا وقعت شويه قهوة .
2328,corpus-6-train,لا ، فقط لأشهر قليلة . أعتقد أنني سأكون موجوداً لمدة ثلاث سنوات تقريباً .,لأ، دقيقة واحدة . متهيألي اني حأكون هنا حوالي تلات سنين .
2329,corpus-6-test-corpus-26-train,من فضلك غير خمسين آلاف ين إلى دولارات أمريكية .,من فضلك غيرلي خمسني الف بن بدولارات .
2333,corpus-6-train,هل مكتب البريد قريب ؟,هو مكتب البريد ده قريب؟
2334,corpus-6-train,أريد أن أستأجر بعض معدات ركوب الأمواج .,عايز أاجر عده ركوب امواج .
2336,corpus-6-train,هل لديك أية أطباق محلية ؟,عندك أطباق اكل شعبي؟
2337,corpus-6-train,هل يمكنك أن تحجز هذا المقعد لي ؟,ممكن تحجزلي الكرسي ده؟
2338,corpus-6-test-corpus-26-train,هذا حسن بالنسبة لي . في الواقع أحب أن أدخن .,ده مناسب ليا . في الحقيقة انا حابب أدخن .
2339,corpus-6-train,أنا لا أفهم ما تقول .,انا مش فاهم انت بتقول ايه .
2340,corpus-6-train,مرحباً ، أين حجرتنا الخاصة ، من فضلك ؟ هلا وجهتنا إليها ؟,أزيك، فين الكابينه بتاعتنا، من فضلط؟ ممكن تدلنا عليها؟
2345,corpus-6-train,لن أنس أبداً الوقت الذي أمضيناه سوياً تحت الشجرة في يوم صيفي مشرق .,عمري ما حأنسى الوقت اللي قضيناه سوا تحت الشجرة في يوم الصيف الجميل .
2346,corpus-6-train,هل هذه هي النافذة الصحيحة ؟,ده الشباك المناسب؟
2347,corpus-6-test-corpus-26-test,أين يمكنني أن أشتري زلاجات وأحذية ؟,منين اقدر أاجر عده التزحلق عالجليد والشوز؟
2349,corpus-6-dev,يفترض أن تصبح أكثر دفئاً هذا المساء .,مفروض ان الجو حيدفى يليل .
2353,corpus-6-test-corpus-26-dev,هل نسيت مشروباتنا ؟,انت نسيت مشروباتنا؟
2356,corpus-6-train,إليك اسمي كاملاً وعنواني .,ادي اسمي و عنواني بالكامل .
2357,corpus-6-train,بكم الغرفة المزدوجة ؟,بكام اوضه بسريرين؟
2360,corpus-6-train,طعم هذا الخمر سيئ .,طعم الخمره ديه وحشه .
2364,corpus-6-train,هل يمكنك أن تحضر وسادة إلى الغرفة رقم واحد إحدى عشر ، من فضلك ؟,ممكن تبعت مخده لأوضه ميه وحداشر، لو سمحت؟
2366,corpus-6-train,أين في الطابق الثالث ؟,فين في الدور التالت؟
2368,corpus-6-test-corpus-26-test,هل يمكن أن ترسلها إلى عنواني في اليابان عن طريق بريد الطرود الدولي وتحصل الثمن من هناك ؟,ممكن تبعته على عنواني في اليابان بالبريد عن طريق كويكت انرناشيونال بارسل؟
2369,corpus-6-train,ليس لدي تذكرة طبية .,ماعيش روشته .
2371,corpus-6-dev,أين المقبرة ؟,فين الترب؟
2372,corpus-6-train,علي أن أقول وداعاً .,مضطر اودعك .
2373,corpus-6-train,على فكرة ، أين قسم رابطات العنق ؟,يالمناسبة، فين ركن الكرافتات؟
2374,corpus-6-train,هل يمكنك أن تخبرني كيف أذهب إلى هناك ؟,ممكن تقولي اروح هناك ازاي؟
2375,corpus-6-train,فترة الاستراحة ثلاثين دقيقة . يمكنك أن تأكل وجبة خفيفة في الحانة التي تقدم أطعمة خفيفة بالدور الأول ؟,الاستراحة تلاتين دقيقة . ممكن تاكل اكله خفيفة في السناك بار في الدور الاول .
2377,corpus-6-train,هل يمكنك مساعدتي ، من فضلك ؟,ممكن تساعدني، لو سمجت ؟
2379,corpus-6-train,مرحبا بكمً على متن الخطوط الجوية الفرنسية .,اهلا بيكم عالخطوط الجوية الفرنسية .
2380,corpus-6-train,هل عندنا وقت لنتمشى هنا وهناك ؟,عندنا وقت نتمشى في المنطقة شويه؟
2381,corpus-6-test-corpus-26-train,أريد كوباً من الخمر الأحمر .,عايز كأس نبيت أحمر .
2382,corpus-6-train,حلمي أصبح حقيقة .,حلمي بيتحقق .
2383,corpus-6-train,لا تضع كيتشأب ، من فضلك .,بلاش كاتشب، لو سمحت .
2386,corpus-6-train,أين أقفاص الاتهام ؟,فين المينا؟
2388,corpus-6-dev,هذا ملفوف .,ديه ملفوفه .
2389,corpus-6-test-corpus-26-train,فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .,ده بس لو ديه بتاعتك، يا استاذ، هه هه، بس بأنكت .
2390,corpus-6-train,حسنا . تفضل مفتاحك . غرفتك رقم إحدى عشر صفر تسعة .,كويس . أدي مفتاحك . أوضتك الف ميه و تسعه.
2391,corpus-6-train,أين يمكنني شراء أطباق ؟,منين أشتري صحون؟
2393,corpus-6-train,آسف للمقاطعة ، ولكن دعنا نتناول القضية الرئيسية . لدينا الكثير لمناقشته اليوم .,اسف اني قاطعت كلامك، بس خلينا نخش في الموضوع الاساسي . عندنا حاجات كتيرة نناقشها النهاردة .
2394,corpus-6-train,أنا حساس للمضادات الحيوية .,عندي حساسية من المضادات الحيويه .
2397,corpus-6-train,لدي بعض واجبات اللغة الإنجليزية والرياضيات واللغة الفرنسية .,عندي شويه واجبات أنجليزي، رياضيات، و كمان فرنساوي .
2399,corpus-6-train,سأرسم خريطة .,حأرسم خريطة .
2401,corpus-6-test-corpus-26-train,بالتأكيد . كيف يمكننا خدمتك ؟,بالتأكيد . نقدر نخدمك أزاي؟
2403,corpus-6-train,هل تقبل الدولارات ؟,بتقبلوا دولارات؟
2404,corpus-6-train,التأشيرة صالحة لستة أشهر .,الفيزا شغاله ست شهور قدام .
2407,corpus-6-train,هذا حسن جداً . لا نحتاج أن يتم عملها الليلة .,كده تمام . مش محتاجين تتعمل الليله ديه .
2408,corpus-6-train,أوو ، إنها قادمة .,اوه، ديه جايه .
2409,corpus-6-dev,بالبريد البحري ؟,بالبريد البحري؟
2411,corpus-6-dev,سيكون الأمر خطيراً إذا لم أستقل سيارة أجرة إلى الفندق .,حيكون مشكلة لو ما رجعتش للفندق بالتاكسي .
2412,corpus-6-test-corpus-26-dev,لدينا بيرة ، وويسكي ، وبراندي ، وجن ، وفودكا ، وخمر .,عندنا بيرة، ويسكي، براندي . جين . فودكا . و كمان نبيد .
2413,corpus-6-train,لا ، أخشى أننا سنتأخر لساعات قليلة .,لأ، انا خايف اننا حنتأخر كذا ساعة .
2414,corpus-6-train,بعضها دون سجائر مرشحة ، من فضلك .,سجاير من غير فلتر . من فضلك .
2416,corpus-6-train,سأنزل المحطة التالية .,حأنزل المحطة الجاية .
2418,corpus-6-train,مكالمة للسيد أوجاوا وتحصل على ثمنها منه ، طوكيو أربعة خمسة ستة سبعة .,مكالمة تليفون لأستاذ اوجاوا على حسابه، اليابان اربعة خمسة سته سبعة على حسابة .
2419,corpus-6-train,أنا فاهم . من فضلك املأ هذه الاستمارة . قد لا نستطيع العثور عليها ، ولذلك يجب عليك الاتصال بشركة الائتمان .,فهمت . من فضلك املا الاستمارة ديه . ممكن ماتكونش قادرين نلاقيها، عشان كده لازم تكلم شركة الكارت بتاعك علشان تاخد اجراء .
2420,corpus-6-train,أنا آسف جداً ، يا سيدي . يجب علينا أن نبلغ الشرطة .,انا اسف جدا، يا استاذ، لازم نبلغ ده للبوليس .
2424,corpus-6-train,هل يوجد محل يقدم تخفيضات قريب من هنا ؟,فيه اى محل بيعمل خصومات قريب من هنا؟
2425,corpus-6-test-corpus-26-train,تحقيق شخصية . آه ، هل جواز السفر ينفع ؟,بطاقة الرقم القومي . اوه . حاضر . هو الباسبور فيه مشاكل؟
2427,corpus-6-train,اقتراحه قبل .,أقتراحة أتقبل .
2428,corpus-6-test-corpus-26-train,رقم غرفتي هو ثلاثة ستة وعشرين . هل يمكن أن تأخذ الغسيل ؟,أوضتي تلتميه سته و عشرين . ممكن تاخد غسيلي؟
2429,corpus-6-train,من فضلك أرني فواتير .,ممكن توريني ايصال الدفع.
2431,corpus-6-train,أعطني تعليمات .,اديني اتجاهات.
2433,corpus-6-train,نعم ، عندي كرتونتان .,ايوه، معايا علبتين .
2435,corpus-6-train,خاطف حقائب . أوقفه .,حرامي شنط . وقفه .
2439,corpus-6-train,نعم ، عندنا تسعة وتسعين نوعاً من الوجبات الخفيفة .,ايوه، عندنا تسعة و تسعين صنف وجبات .
2440,corpus-6-test-corpus-26-train,سأرى ما إذا كان أي منها يناسبني .,حأشوف لو واحده من دول تناسب .
2441,corpus-6-test-corpus-26-train,أريد غلاية .,بافضل غلاية .
2445,corpus-6-test-corpus-26-train,أحضر لي بعض من الجبن المبشور .,هاتلي شويه جبنة مبشورة .
2448,corpus-6-train,من فضلك استدع طبيباً يابانياً .,من فضلك اتصل بدكتور ياباني .
2449,corpus-6-train,خرج للتو للغذاء . سيعود خلال عشر دقائق .,هو بره دلوقتي بيتغدى . حيرجع في ظرف عشر دقايق .
2453,corpus-6-dev,هل سنصل في الموعد ؟,حنوصل في الميعاد؟
2454,corpus-6-train,هل لي أن أطلب منك رسم الطريق إلى مكتب البريد ؟,ممكن اطلب منك ترسملي السكة لمكتب البريد؟
2455,corpus-6-train,ليساعدني شخص ما ، من فضلكم .,حد يساعدني، من فضلكم .
2456,corpus-6-train,يبدو أن كاميراتي كسرت . هل يمكنك إلقاء نظرة عليها ؟,كاميرتي شكلها مكسور . ممكن تبص عليها؟
2457,corpus-6-train,هل يوجد أي خط حافلات آخر يذهب إلى هناك ؟,فيه اى خطوط اتوبيس تانيه بتروح هناك؟
2459,corpus-6-train,هل السعر للمجموعة أو لكل قطعة ؟,ده سعر المجموعه كلها ولا سعر القطعه فيها؟
2460,corpus-6-train,أي نوع من التوابل تفضل ؟ لدينا جزيرة الألف ، الجبن الأزرق ، والفرنسي .,تحب اى نوع من الصوص؟ عندنا مركة ثوزاند ايلاند، جبنة زرقا . وفرنسية .
2461,corpus-6-dev,أريد بعض التغيير .,عايز أغير شويه عملة .
2462,corpus-6-test-corpus-26-train,هل يمكن أن أحصل على قمصاني نظيفة غداً صباحاً ؟,ممكن على بكرة الصبح يكون قميصي نضيف؟
2464,corpus-6-dev,هل يمكن أن تتحدث ببطء من فضلك ؟,ممكن تتكلم واحده واحده؟
2465,corpus-6-train,لا ، لقد خمنت صواباً . لقد طلقت من حوالي ستة أشهر .,لأ، انت خمنت صح . انا اتطلقت من ست شهور .
2467,corpus-6-train,بالتأكيد ، سيدي . كيف تفضل شريحة اللحم ؟,اكيد، حضرتك، تحب شريحة اللحمة بتاعتك تتعمل ازاي؟
2468,corpus-6-train,هل يمكنك أن تخبرني كيف أتحكم في درجة حرارة الغرفة ؟,ممكن تقوللي أزاي اتحكم في درجة حرارة الاوضه؟
2469,corpus-6-train,كل شيء جميل .,كله تمام.
2474,corpus-6-train,ما هو الكيمونو الرسمي ؟,انه اللبس الرسمي الياباني للستات قصدي الكيمونو؟
2475,corpus-6-train,أذهب للحمام مرات قليلة كل ساعة .,بأدخل الحمام كذا مرة في الساعة .
2476,corpus-6-test-corpus-26-train,هل لك أن تطلب منه أن يعاود الاتصال بي ؟,ممكن تخليه يرجع و يتصل بيا؟
2481,corpus-6-train,أريد كوباً من الخمر الأحمر ، من فضلك .,عايز كاس نبيد أحمر، إذا سمحت .
2482,corpus-6-dev,أبحث عن إيشارب حريري .,عايزه كوفية حرير .
2483,corpus-6-train,احمل حقائبي ، من فضلك .,شيل شنطي، من فضلك .
2485,corpus-6-train,هل ستذهب هذه الحافلة إلى بوسطن ؟,الاوتوبيس ده رايح بوسطن؟
2486,corpus-6-dev,سأغادر في السابعة من صباح الغد ، لذا أريد فاتورتي من الآن .,انا حأمشي بكرة سبعة الصبح، عشان كده انا عايز فاتورتي دلوقتي .
2488,corpus-6-train,شذبها قليلاً فوق الحواجب ، من فضلك .,قصقصه سنه فوق الحواجب، إذا سمحت .
2489,corpus-6-train,سآخذ هذا وهذا .,حأخد ده و ده .
2490,corpus-6-test-corpus-26-train,لماذا إذاً ؟,ليه طيب؟
2492,corpus-6-test-corpus-26-train,عذراً . هل يوجد محل كتب قريب من هنا ؟,لو مؤاخذه . فيه محل بيع كتب قريب من هنا؟
2493,corpus-6-train,أريد أن أرسل هذه بالبريد البحري .,عايز ابعت ده بالبريد البحري .
2494,corpus-6-train,من فضلك اقفل الخط . سأتصل بك فيما بعد .,من فضلك اقفل . حأرجع و اكلمك كمان شويه .
