,id,split,MSA,ALG
551,5492,corpus-6-test-corpus-26-train,وصلت الطائرة متأخرة بسبب الثلج الكثيف .,الطيارة توصل متأخرة على جال عاصفة ثلجية كبيرة.
552,5518,corpus-6-test-corpus-26-train,الفاتورة من فضلك ؟,الشحن، من فضلك.
553,5521,corpus-6-test-corpus-26-train,من فضلك هل يمكنك أن تتلقى رسالة ؟,تقدر تاخذ الرسالة، من فضلك؟
554,5540,corpus-6-test-corpus-26-train,آسف ، لا يمكنني متابعتك . هل من الممكن أن تتحدث ببطء أكثر من فضلك .,سامحني، مانيش نقدر نتبعك. تقدر تهدر بالشوية، من فضلك؟
555,5549,corpus-6-test-corpus-26-dev,ماذا يمكنني أن أريك ؟,واش نقدر نوريلك؟
556,5559,corpus-6-test-corpus-26-train,هل يمكنني أن التقط بعض الصور ؟,نقدر ناخذ تصاور؟
557,5570,corpus-6-test-corpus-26-train,من مائة .,على مئة.
558,5584,corpus-6-test-corpus-26-dev,رقم الرحلة الجوية اتش بي تسعة وثمانين المتجهة إلى طوكيو في الحادي عشر من مارس .,رقم الرحلة هو أش بي تسعة و ثمانون لطوكيو فالإحد عشر من مارس.
559,5585,corpus-6-test-corpus-26-train,هل بإمكاني الحصول على طبق آخر مثل هذا ؟,نقدر ندي نفس الطبق؟
560,5594,corpus-6-test-corpus-26-dev,هل لديك واحدة أخرى ؟,اذا عندكم واحدأوخر؟
561,5596,corpus-6-test-corpus-26-train,من فضلك ، احضر طعام الإفطار إلى غرفتي في السابعة من صباح الغد .,من فضلك جيبلي فطور الصباح للغرفة ديالي على السبعة تع الصبح.
562,5615,corpus-6-test-corpus-26-train,عامل الصيانة سيصعد في الحال .,المصلح المتخصص دوك شوية يطلع.
563,5617,corpus-6-test-corpus-26-dev,آسف سأعود لاحقاً .,سامحني. نعاود نجي ممبعد.
564,5640,corpus-6-test-corpus-26-test,كيف أستقلها ؟,كيفاش نقدرنديه؟
565,5648,corpus-6-test-corpus-26-train,هل هناك أماكن شاغرة بالنسبة لرحلة الخميس ؟,مازال كاين الأماكن للرحلة تع الخميس؟
566,5657,corpus-6-test-corpus-26-train,عفواً . هلا سمحت لي بالمرور ؟,المعذرة. نقدر نجوز؟
567,5680,corpus-6-test-corpus-26-train,هل لديك أية نباتات أو فواكه ؟,عندكم نباتات و فواكه؟
568,5684,corpus-6-test-corpus-26-train,من فضلك أخبرني كيف أملأ بطاقة النزول إلى البر ؟,تقدر تقولي كيفاش نعمر بطاقة الهبوط؟
569,5695,corpus-6-test-corpus-26-train,أعتقد أن سيارتي تستحق حوالي خمسة آلاف دولارا .,نظن بلي سيارتي تقدر بحوالي خمسة آلاف دولار.
570,5706,corpus-6-test-corpus-26-train,هل هذا الطعام منخفض السعرات الحرارية ؟,اذا هي الماكلة بسعرات حرارية قليلة؟
571,5717,corpus-6-test-corpus-26-train,أية حافلة يجب أن آخذ إلى المحطة ؟,واش من حافلة لازم نديها باش نروح للمحطة؟
572,5723,corpus-6-test-corpus-26-train,"نعم , إنه هو . ولكن ستضطر إلى الدوران يسارا في إشارة المرور الثالثة وتستمر في ذلك الشارع حتى تصل إلى الطريق رقم ستة وستين .",إيه، هاذا. بصح لازم تدور على اليسار عند الضوء الأحمر الثالث و تكمل في هاذ الطريق حتى للطريق ستة و ستون.
573,5733,corpus-6-test-corpus-26-dev,"أريد كوبا من الماء لأتناول بعض الدواء , من فضلك .",راني حاب كأس ماء باش نشرب الدوا، من فضلك.
574,5761,corpus-6-test-corpus-26-train,أكون ممتنا جدا لو أخذتني إلى الشاطئ .,نشكرك لوكان توصلني للبحر.
575,5772,corpus-6-test-corpus-26-train,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .,سامحني. هذه غلطة. معك تانكييوشا برس.
576,5779,corpus-6-test-corpus-26-train,إننا سندفع الحساب ونغادر .,رانا نسجل خروج.
577,5830,corpus-6-test-corpus-26-dev,ما نوع هذه الموسيقى ؟,واشنو هاذ الموسيقى؟
578,5847,corpus-6-test-corpus-26-train,"من فضلك أعط طفلك هذا الدواء الشراب , جرعة واحدة بعد كل وجبة .",من فضلك أعطي هاذ السيرو لوليدك، مقدار واحد بعد الأكل.
579,5848,corpus-6-test-corpus-26-train,"هذا الموديل متوفر بمقاسات ثمانية وعشرين , وواحد وثلاثين وخمسة وثلاثين سنتيمترا .",هاذ النوع متوفر في ثمانية و عشرون، و واحد وثلاثون وخمسة و ثلاثون سنتمتر.
580,5875,corpus-6-test-corpus-26-train,"أوه , يبدو كأنه قرعة .",أوه، هذا يشبه بزاف.
581,5898,corpus-6-test-corpus-26-train,هل يمكن أن أستعمل هاتفك ؟,نقدر نستعمل الهاتف ديالك، من فضلك؟
582,5902,corpus-6-test-corpus-26-test,رائحته جميلة . كم ثمنه ؟,ريحة بزاف شابة. شحال تسوا؟
583,5906,corpus-6-test-corpus-26-train,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في السابع عشر .,راني حاب نأكد على الرحلة ديالي لشيكاقو فالسابع عشر.
584,5913,corpus-6-test-corpus-26-train,أكلت كثيرا نوعا ما .,كليت شوية بزاف.
585,5914,corpus-6-test-corpus-26-train,هل يمكن أن أتحدث إلى السيدة براون ؟,نقدر نهدر مع السيد براون؟
586,5916,corpus-6-test-corpus-26-train,"هذا البيت يبدو مريحا للمعيشة فيه , أليس كذلك ؟",باينة بلي راحة كبيرة كي تعيش في هاذ الدار، ياك؟
587,5934,corpus-6-test-corpus-26-dev,أريد أن أحجز على شركة نورث وست إيرلينز على الرحلة رقم صفر ثمانية ستة في الخامس .,راني حاب نحجز للرحلة تع الخطوط نورثويست رقم صفر ستة و ثمانون نهار خمسة.
588,5940,corpus-6-test-corpus-26-train,"محفظتي , جواز السفر ومتعلقات شخصية أخرى .",محفظتي، جواز السفر ديالي و أغراض شخصية أخرى.
589,5956,corpus-6-test-corpus-26-train,متى تغلقون ؟,وقتاش تغلقو؟
590,5974,corpus-6-test-corpus-26-test,انتظر دقيقة . ربما أكون قد تركته في غرفة الاستراحة .,استنا دقيقة. وقيلا نسيتو فالمرحاض.
591,5987,corpus-6-test-corpus-26-train,هذا بالضبط ما كنت سأقوله .,هاذا بالضبط واش كنت حاب نقول.
592,5988,corpus-6-test-corpus-26-train,"نعم , أعتقد ذلك .",ايه، راني نخمم فيه أنا تاني.
593,5997,corpus-6-test-corpus-26-train,منزلك كبير . كم عدد الغرف ؟,دارك كبيرة، شحال فيها من غرفة؟
594,6006,corpus-6-test-corpus-26-train,استمتعنا بالعشاء .,عجبنا العشا.
595,6024,corpus-6-test-corpus-26-test,أفهم ، لكن لا أستطيع أن أقولها .,راني فاهم، بصح منقدرش نقوله.
596,6047,corpus-6-test-corpus-26-train,أوو ، نعم ، من فضلك . أنا أتمنى أن لا يصابوا بدوار البحر .,أوه إيه، من فضلك. نتمنى برك مايجيهومش دوار البحر.
597,6056,corpus-6-test-corpus-26-test,إلى طوكيو ، من فضلك .,لطوكيو، من فضلك.
598,6073,corpus-6-test-corpus-26-train,ما هو موعد وصولنا المقدر ؟,واش هو الوقت المقدر اللي نوصلو فيه؟
599,6086,corpus-6-test-corpus-26-train,سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .,نروح بكري غدوة صبح، لهذا حبيت نخلص دوك.
600,6100,corpus-6-test-corpus-26-test,نبيذ غير حلو ، من فضلك .,دراي شيري، من فضلك.
601,6109,corpus-6-test-corpus-26-test,مقعد ممنوع به التدخين ، من فضلك .,مكان لغير المدخنين، من فضلك.
602,6156,corpus-6-test-corpus-26-train,هو مشغول الآن .,راهو مشغول دوكا.
603,6167,corpus-6-test-corpus-26-train,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟,اذا الأجانب يقدروا يتحصلو على الكتابات في هاذ المكتبة؟
604,6179,corpus-6-test-corpus-26-train,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً ؟,نقدر نبقى فالغرفة ديالي حتى الساعة الثانية بعد الزوال؟
605,6190,corpus-6-test-corpus-26-train,ها-ها . صباح الخير حان دورك . إنه على ما يرام .,آه، آه. نهارك سعيد في وقتك. اتفقنا.
606,6193,corpus-6-test-corpus-26-train,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكاميرا ، من فضلك .,راني حاب فيلم من هاذ الرقم ديال ال إيه إس إيه لهاذ آلة التصوير، من فضلك.
607,6205,corpus-6-test-corpus-26-train,أين رسومات مونيت ؟,وين راهم لوحات موني؟
608,6214,corpus-6-test-corpus-26-train,البيتزا لذيذة . من صنعها ؟,هاذ البيتزا بنينة، شكون دارها؟
609,6221,corpus-6-test-corpus-26-train,ما هو طعم هذا الطبق ؟,واش هو الذوق تع هاذ الطبق؟
610,6227,corpus-6-test-corpus-26-train,هم أيضاً غاليين .,هما تاني بزاف غاليين.
611,6228,corpus-6-test-corpus-26-train,متى يغادر القطار التالي إلى بوسطن ؟,وقتاش يروح القطار الموالي لبوستون؟
612,6232,corpus-6-test-corpus-26-dev,أخطط لتعلم الجولف .,راني نفكر نتعلم نلعب الغولف.
613,6247,corpus-6-test-corpus-26-dev,من فضلك أعطني مشروباً أخر .,تقدر تعطيني كأس واحدوأخر.
614,6253,corpus-6-test-corpus-26-train,يا له من راكب ماهر للأمواج .,شحال شاطر هاذ المتزحلق على الماء.
615,6272,corpus-6-test-corpus-26-train,أخشى أن تكون الأكمام قصيرة جدا .,سامحني اليدين قصار بزاف.
616,6283,corpus-6-test-corpus-26-train,هل يمكنك أن تريني كيف أضع الغاز ؟,نقدرو نورولك كيفاش تحط البترول؟
617,6285,corpus-6-test-corpus-26-train,هل أجرة الفندق تضم الإفطار ؟,اذا كان فطور الصباح داخل فالسعر تع الفندق؟
618,6287,corpus-6-test-corpus-26-train,هل هذا كل شيء ؟,هاذا ماكان؟
619,6291,corpus-6-test-corpus-26-train,إنه في نهاية هذا الطريق .,في أخر هاذ الطريق.
620,6339,corpus-6-test-corpus-26-train,من فضلك ابدأ العداد .,لو سمحت تشغل العداد.
621,6363,corpus-6-test-corpus-26-train,غرفتي أبرد من اللازم .,البرد بزاف فالغرفة ديالي.
622,6411,corpus-6-test-corpus-26-train,سأعود إليك عندما تكون أقل انشغالاً .,نكون في الخدمة ديالك غير نتفرغ شوية.
623,6413,corpus-6-test-corpus-26-dev,هل لديك واحد أكبر ؟,عندكم واحد كبير؟
624,6418,corpus-6-test-corpus-26-train,أشعر بتحسن .,راني نحس بروحي أفضل.
625,6430,corpus-6-test-corpus-26-dev,هل أنت ملم بجغرافيا اليابان ؟,تعرف مليح الجغرافيا تع اليابان؟
626,6436,corpus-6-test-corpus-26-train,من فضلك أرني أين أنا على هذه الخريطة .,من فضلك وريلي وين راني على هاذ المخطط.
627,6437,corpus-6-test-corpus-26-train,مائة بالمائة قطن .,مئة بالمئة قطن.
628,6466,corpus-6-test-corpus-26-train,أود أن أغير لغرفة تطل على المحيط . هل توجد أي رسوم إضافية ؟,راني حاب نبدل لغرفة تطل على المحيط. كاين إضافة؟
629,6472,corpus-6-test-corpus-26-train,كم ثمن إيجار نصف يوم للوحة ؟,شحال الكرية تع اللوحة لنص نهار؟
630,6481,corpus-6-test-corpus-26-train,العاشر من نوفمبر .,العاشر نوفمبر.
631,6484,corpus-6-test-corpus-26-dev,أود شريطاً للآلة الكاتبة .,راني حاب شريط لآلة كتابة.
632,6492,corpus-6-test-corpus-26-train,إنها لذيذة جداً .,عندها ذوق بزاف.
633,6497,corpus-6-test-corpus-26-train,متى سنقلع ؟,وقتاش نقلعو؟
634,6498,corpus-6-test-corpus-26-train,كيف عرفت السائق متى تريد أن تنزل ؟,كيفاش نفهم السائق بلي حبيت نهبط؟
635,6513,corpus-6-test-corpus-26-train,أربعة وعشرين دولاراً . هل تريد المزيد ؟,أربعة و عشرون دولار. حبيت كثر؟
636,6515,corpus-6-test-corpus-26-train,عملت الحجز في طوكيو منذ شهر .,درت الحجز لطوكيو عندها شهر.
637,6517,corpus-6-test-corpus-26-train,أشكرك من أعماق قلبي .,نشكرك من أعماق قلبي.
638,6525,corpus-6-test-corpus-26-train,هل أنزل هنا لمركز روكفيلر ؟,لازم نهبط هنا باش نروح لمركز روكفيلر؟
639,6539,corpus-6-test-corpus-26-train,من فضلك قس حجم حذائي .,تقدر تقيسلي شحال نلبس في رجلي.
640,6547,corpus-6-test-corpus-26-train,إنها رائعة .,روعة.
641,6550,corpus-6-test-corpus-26-train,هل ستحدد موعداً للخروج معي ؟,تحب تخرج معايا؟
642,6552,corpus-6-test-corpus-26-train,من فضلك نظف هذا المعطف .,من فضلك تنظفلي هاذ المنوطو.
643,6553,corpus-6-test-corpus-26-train,أود أن أؤجر قارب بمحرك .,راني حاب نكري سفينة بمحرك.
644,6574,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,وين جاي القسم تع النسا؟
645,6581,corpus-6-test-corpus-26-train,القهوة غير محسوبة .,القهوة ماشي داخلة؟
646,6593,corpus-6-test-corpus-26-train,في أي مجال كان من قبل ؟,واش من المجال كان من قبل؟
647,6602,corpus-6-test-corpus-26-train,اللعنة . اللعنة . اللعنة . اللعنة . لقد كبرت معتاداً على وجهها .,اللعنة، اللعنة، اللعنة، اللعنة. والفت وجهها.
648,6609,corpus-6-test-corpus-26-train,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟,لازم نخلص زيادة باش ندخل لهاذ البناية؟
649,6613,corpus-6-test-corpus-26-test,أهلاً ، شريكك على الخط . هيا ، من فضلك .,صباح الخير، المتحدث الخاص بك متصل. تكلم، من فضلك.
650,6625,corpus-6-test-corpus-26-train,جرحي يؤلمني .,الجرح ديالي وجعني.
651,6635,corpus-6-test-corpus-26-train,أين المحطة ؟,وين راهي المحطة؟
652,6657,corpus-6-test-corpus-26-train,عندي قشعريرة .,عندي قشعريرة برد و رجفة.
653,6659,corpus-6-test-corpus-26-train,ثلاثة أيام .,ثلاث أيام.
654,6660,corpus-6-test-corpus-26-dev,أعبر الجسر من هناك ، وستجد المكتبة على يدك اليسرى .,اقطع الجسر لي لهيك تصيب المكتبة على اليسار ديالك.
655,6692,corpus-6-test-corpus-26-dev,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية .,من فضلك صيبلي دليل لي يهدر اليابانية.
656,6699,corpus-6-test-corpus-26-train,لا أريد واحدة ضخمة .,مانيش حاب واحد ضخم.
657,6700,corpus-6-test-corpus-26-train,سيكون هناك تأخير بسيط .,يكون تأخر صغير.
658,6715,corpus-6-test-corpus-26-train,ما هي الفوارق بين هذه الفنادق ؟,واش هو الفرق بين هاذ الفنادق؟
659,6724,corpus-6-test-corpus-26-test,فاتتني محطتي .,فاتني الموقف ديالي.
660,6736,corpus-6-test-corpus-26-train,كان عظيماً . شكراً .,كانت هايلة، صحا.
661,6740,corpus-6-test-corpus-26-dev,سأكون هناك حوالي السادسة مساءً .,نكون في حوالي الساعة الستة.
662,6746,corpus-6-test-corpus-26-train,هل لديك أي شيء لفترة أطول قليلاً ؟,عندك حاجة طويلة شوية؟
663,6766,corpus-6-test-corpus-26-train,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .,تاريخ انتهاء الصلاحية ألف و تسعمئة و تسعة و تسعون.
664,6780,corpus-6-test-corpus-26-test,كيف كانت ؟,كيفاش كان؟
665,6800,corpus-6-test-corpus-26-train,هل توجد أية كازينوهات جيدة ؟,كاين كازينو مليح؟
666,6810,corpus-6-test-corpus-26-train,هذه هي فلوس أقلام الحبر . فاتورة بمائة دولار .,تفضل الدراهم تع أقلام الحبر. ورقة مئة دولار.
667,6812,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,وين جاي القسم تع النسا؟
668,6825,corpus-6-test-corpus-26-train,أين يمكن أن أركب القارب ؟,وين نقدر نومباركي؟
669,6832,corpus-6-test-corpus-26-train,صديقي مصاب .,صاحبي راهو مجروح.
670,6835,corpus-6-test-corpus-26-train,تبدو بصحة جيدة .,جاك شباب.
671,6836,corpus-6-test-corpus-26-dev,هل سيكون هذا المتجر مفتوحاً غداً ؟,هاذ المحل يكون مفتوح غدوة؟
672,6862,corpus-6-test-corpus-26-test,إنه طول الطريق لنهاية البهو .,هو في نهاية الهول.
673,6864,corpus-6-test-corpus-26-train,هل يمكنك أن تشذب شاربي ؟,تقدر تحففلي الشلاغم؟
674,6866,corpus-6-test-corpus-26-dev,هذا يأتي مع طبق السلطة واختيار بين البطاطس المشوية أو المحمرة .,زيدلو طاولة السلطة واختيار من البطاطا المشوية والبطاطا المقلية.
675,6875,corpus-6-test-corpus-26-dev,أين يمكنني أن أشتري إبريقاً ؟,وين نقدر نشري الفخار؟
676,6914,corpus-6-test-corpus-26-train,لا يمكن أن أبيع هذه دون روشتة .,منقدرش نبيع هاذا بلا وصفة.
677,6917,corpus-6-test-corpus-26-train,هل يمكن أن أحجز خمسة مقاعد في الصف نفسه .,نقدر نحجز خمسة أماكن في نفس الصف؟
678,6923,corpus-6-test-corpus-26-test,هل يمكنك أن تقرضني حبل القطر ، من فضلك ؟,تقدر تسلفلي حبل تع الجر، من فضلك؟
679,6944,corpus-6-test-corpus-26-train,أي سيارة ذات أداء أفضل ؟,واش من سيارة هي الأكثر اقتصادية؟
680,6960,corpus-6-test-corpus-26-train,لن تأخذ خصماً مهما حاولت .,مايكونش ليك تخفيض، مكالاه لا تصر.
681,6966,corpus-6-test-corpus-26-train,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا يوجد هنا .,تقدر تفتح هاذ الساك، من فضلك؟ واش عنك لداخل؟
682,6970,corpus-6-test-corpus-26-train,أريد أن أعمل مكالمة مسافة طويلة إلى فندق هيلتون في بوسطن .,راني حاب ندير اتصال طويل المسافة لفندق هيلتون في بوسطن.
683,6984,corpus-6-test-corpus-26-test,هل السيدات يقبلن هذا ؟,النسا يقبلو بهاذا؟
684,6991,corpus-6-test-corpus-26-train,كن حذراً ، السقف منخفض .,حذاري، الأسقف هابطة.
685,6999,corpus-6-test-corpus-26-train,لا أستطيع رؤية الشاشة جيداً من هنا ، هل يمكنني تبديل المقاعد لبعض الوقت ؟,منقدرش نشوف مليح الشاشة من هنا. نقدر نبدل المكان دوكا؟
686,7030,corpus-6-test-corpus-26-train,لقد قمت بزيارة البحيرات الكبرى لأول مرة .,زرت منطقة البحيرات الكبرى للمرة الأولى.
687,7048,corpus-6-test-corpus-26-train,ثمة شئ خطأ في آلة التهوية هذه .,كاين مشكل مع الموزع الأوتوماتيكي.
688,7057,corpus-6-test-corpus-26-train,أحتاج إلى طيب .,لازم نشوف طبيب.
689,7070,corpus-6-test-corpus-26-train,كم المدة التي قضتها هي حتى الآن في المملكة المتحدة ؟,شحال المدة التي قضاتها فالمملكة المتحدة؟
690,7081,corpus-6-test-corpus-26-train,من المرجح أن محبا للإبداع الفني مثلك سيستمتع اللوحات الزيتية غير التقليدية وعروض الموسيقى بالشوارع .,محب للفنون الجديدة وتقدر تتمتع بلا شك بلوحات الهيبيش ومشهد موسيقى الشارع.
691,7098,corpus-6-test-corpus-26-train,كم الوقت ؟,وقتاش؟
692,7099,corpus-6-test-corpus-26-dev,سآخذ هوت دوج وكولا .,نأخذ المركاز و واحد كوكا.
693,7104,corpus-6-test-corpus-26-dev,هذا هو مسئول الربط الخارجي .,معاك مشغل المكالمات الخاص بالخارج.
694,7123,corpus-6-test-corpus-26-train,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك ؟ إنه أمام ذلك المبنى .,راك تشوف هاذ البناية البيضاء، ياك؟ مقابل هاذ البناية.
695,7130,corpus-6-test-corpus-26-test,منذ متى ؟,من وقتاش؟
696,7137,corpus-6-test-corpus-26-test,ليس لدى أي شئ لكي أعلنه .,ماعندي حتى حاجة نصرح بيها.
697,7198,corpus-6-test-corpus-26-dev,ماذا ؟ هل عليك دفع ضرائب عندما يكون لديك أكثر من ثلاثة زجاجات كحول ؟,واشن؟ لازم نخلص لاطاكس كي ندو كتر من ثلاث قرع تع الكحول؟
698,7206,corpus-6-test-corpus-26-dev,صديقي مريض جداً . هل تستطيع أن تطلب دكتور ، من فضلك ؟,صاحبي راهو بزاف مريض. تقدر تتصل بطبيب، من فضلك؟
699,7227,corpus-6-test-corpus-26-test,لا أعرف كثيراً عن النبيذ ؟ ماذا يناسب هذا الطبق ؟,أنا مانعرفش مليح النبيذ. واش يجي مليح مع هاذ الطبق؟
700,7233,corpus-6-test-corpus-26-dev,هل تستطيع أن تتصل بي في الصباح الباكر ، من فضلك ؟,تقدر تتصل بيا صبح بكري، من فضلك؟
701,7248,corpus-6-test-corpus-26-dev,هناك محطة غاز بعد مربعين سكنيين من هنا .,كاين محطة وقود على بعد زوج شوارع من هنا.
702,7253,corpus-6-test-corpus-26-train,اليابانيون لا يأخذون إجازات طويلة .,اليابانيين ميخذوش عطل طويلة.
703,7264,corpus-6-test-corpus-26-train,اشعر كأن هناك تحديق في . هل من النادر رؤية شخص ياباني ؟,راني حاس بلي راهم يشوفو فيا. اذا جاجة نادرة كي يشوفو يابانيين؟
704,7269,corpus-6-test-corpus-26-test,بالطبع لا . لماذا تقول إذا ؟,أكيد لالا. وعلاش راك تقول هكذا؟
705,7270,corpus-6-test-corpus-26-train,أي طريق يؤدي إلى مكتب البريد المركزي ؟,من أي اتجاه جاية الدخلة للبريد المركزي؟
706,7274,corpus-6-test-corpus-26-train,أين محطة أتوبيس جرايهاوند في هذه البلدة ؟,وين جاية المحطة البرية قرايهوند في هاذ المدينة؟
707,7281,corpus-6-test-corpus-26-train,أليست المطاعم اليابانية في كيوتو غالية ، بالرغم من ذلك ؟,بصح اذا المطاعم اليابانية ماشي غاليين في كيوتو؟
708,7289,corpus-6-test-corpus-26-train,اعتقد أن هذا عالي قليلا بالنسبة لي .,نظن بلي شوية قوي عليا.
709,7291,corpus-6-test-corpus-26-test,لدينا غرفة مزدوجة بحمام بخمسة و ثمانين دولار .,عندنا غرفة بزوج بناك فيها بينواغ سومتها خمسة و ثمانون دولار.
710,7305,corpus-6-test-corpus-26-train,أريد سعر الكتاب .,راني حاب السعر الموصى به.
711,7314,corpus-6-test-corpus-26-test,الجو ابرد من المعتاد هذا العام ، لكنه ليس باردا بما يكفى لتساقط الثلج .,كاين البرد كثر من العادة هاذ العام، بصح ماشي برد تع ثلج.
712,7321,corpus-6-test-corpus-26-train,أين يمكنني شراء تذكرة للمترو ؟,وين نقدر نشري تذكرة مترو؟
713,7335,corpus-6-test-corpus-26-train,سآخذ مقاعد درجة رجال أعمال ، أليس كذلك ؟,يكون عندي أماكن في درجة الأعمال، ياك؟
714,7343,corpus-6-test-corpus-26-train,كم أجرة التاكسي من هذا الفندق إلى المحطة ؟,شحال السعر تع ركوب الطاكسي بين الفندق و المحطة؟
715,7349,corpus-6-test-corpus-26-train,هل لي بهذه وهذه ، من فضلك ؟,نقدر ندي هاذا و هاذا، من فضلك؟
716,7381,corpus-6-test-corpus-26-train,يقولون أن اليابان دولة غنية جداً .,يقولوا بلي اليابان بلد غني باف.
717,7386,corpus-6-test-corpus-26-train,هل هناك أي غرف خالية في عربة النوم ؟,كاين غرف فعربات النوم؟
718,7391,corpus-6-test-corpus-26-dev,هل تستطيع خفضها حتى عشرين دولار ، من فضلك ؟,تقدر تنقص السومة حتى عشرون دولار، من فضلك؟
719,7395,corpus-6-test-corpus-26-train,هذه هديه لصديق .,هاذي هدية لصديق.
720,7412,corpus-6-test-corpus-26-train,الثلج يجعل الطريق زلق .,الثلج يرجع الطريق تزلق.
721,7414,corpus-6-test-corpus-26-train,لا أستطيع أن أجد كاميرتي .,مصبطش آلة التصوير ديالي.
722,7416,corpus-6-test-corpus-26-test,سأعد سندوتشين من لحم فخذ الخنزير .,ناخذ اثنين سندويتش بلحم الخنزير.
723,7438,corpus-6-test-corpus-26-train,هل لديك أي شئ لإعلانه ؟,عندك كاش حاجة تصرح بيها؟
724,7439,corpus-6-test-corpus-26-train,هل رأيت معطف أزرق ؟ وضعته على هذا الكرسي .,مشفتش مونطو أزرق؟ حطيتو فوق هاذ الكرسي.
725,7470,corpus-6-test-corpus-26-test,هناك محل لبيع الزهور في الطريق .,كاين محل أزهار في الجهة الأخرى من الشارع.
726,7478,corpus-6-test-corpus-26-train,أنا من طوكيو .,جيت من طوكيو.
727,7479,corpus-6-test-corpus-26-train,أريد بعض الغسول لإزالة كريم ريفلون .,راني حاب بلسم روفلون.
728,7485,corpus-6-test-corpus-26-train,لدي بعض الملابس للمغسلة .,عندي حوايج للغسيل.
729,7507,corpus-6-test-corpus-26-dev,لقد طلبته منذ وقت طويل .,طلبتوا عندها مدة كبيرة.
730,7533,corpus-6-test-corpus-26-dev,من فضلك هل لك أن ترسل بواباً إلى غرفتي في السادسة صباحاً ؟,تقدر تطلبلي حامل يجي عندي على الساعة الستة تع الصبح، من فضلك؟
731,7549,corpus-6-test-corpus-26-train,سآخذ شيكولاتة ساخنة .,ناخذ شكولاطة ساخنة.
732,7550,corpus-6-test-corpus-26-train,نستطيع أن نرتب لتنظيف غرفاتكم .,نقدرو نديرو تعديل باش ننظفو الغرفة ديالك.
733,7574,corpus-6-test-corpus-26-train,خاص من فضلك .,واحد خاص، من فضلك.
734,7583,corpus-6-test-corpus-26-train,كم تكلفة الذهاب إلى فندق سي ؟,شحال السعر للفندق سي؟
735,7612,corpus-6-test-corpus-26-test,هل أستطيع الحصول على تذكرة متعددة الاستخدام ؟,نقدر نتحصل على تذاكر متعددة؟
736,7622,corpus-6-test-corpus-26-train,"أود حجز مائدة لفردين في الساعة السابعة , من فضلك .",راني حاب نحجز طاولة من الثانية بعد الزوال حتى السابعة مساءا، من فضلك.
737,7626,corpus-6-test-corpus-26-train,أريد بعض الكريم الليلي .,راني حاب كريمة ليلية.
738,7627,corpus-6-test-corpus-26-train,هل لك أن تغلف هذه كالهدية ؟,تقدر تغلفلي الهدية؟
739,7636,corpus-6-test-corpus-26-train,إنها الثالثة والربع .,راهي الثالثة و الربع بعد الزوال.
740,7650,corpus-6-test-corpus-26-train,سأخطط لإرسال فواتير حاجياتي اليومية ، لذا من فضلك أخبرني العنوان و اسم الشخص المسئول من فضلك .,راني نخطط لارسال الفواتير الخاصة بالنفقات الأساسية ديالي، لذلك من فضلك أعطني عنوان واسم الشخص المسؤول.
741,7656,corpus-6-test-corpus-26-test,إنه من الصعب لنا أن نتحدث الإنجليزية بطلاقة .,صعيب علينا باش نهدرو الانجليزية بطلاقة.
742,7662,corpus-6-test-corpus-26-train,هل لديك نفس هذا التصميم بكعب أعلى ؟,عندك هاذي بنفس النوع بكعب عالي كثر؟
743,7663,corpus-6-test-corpus-26-train,أريد جاكيت لطفل في العاشرة من العمر .,راني حاب تريكو لولد عندو عشر سنين.
744,7671,corpus-6-test-corpus-26-train,"خذني إلى طريق أباي , من فضلك .",اديني ل أبي راود، من فضلك.
745,7684,corpus-6-test-corpus-26-dev,شكراً . مرحباً ، شكراً لانتظارك .,صحا. صباح الخير، شكرا على صبرك.
746,7693,corpus-6-test-corpus-26-train,أنا متأكد أن لدى حجز .,راني متأكد بلي حجزت.
747,7708,corpus-6-test-corpus-26-train,سأرسلها لك ، لذا من فضلك انتظر هنا .,دوك نبعتهولك، اذا حبيت تستنا هنا.
748,7712,corpus-6-test-corpus-26-dev,نحن هنا لمدة يوم .,رانا هنا ليوم واحد.
749,7721,corpus-6-test-corpus-26-train,أشعر بصداع خفيف .,عندي صداع خفيف.
750,7736,corpus-6-test-corpus-26-train,لقد استمتعت بالوجبة كثيراً جداً .,عجبني بزاف الطبق.
751,7756,corpus-6-test-corpus-26-train,لا ، من فضلك اجلس وانتظر . سأعود بعد قليل .,لالا، تقدر تاخذ مقعد و تستنا، من فضلك. نرجع فالحين.
752,7761,corpus-6-test-corpus-26-test,هل لي أن أرى السيارة ؟,نقدر نشوف السيارة؟
