id,split,MSA,MSA Translation
4945,corpus-6-test-corpus-26-train,مستحيل . نحن في إجازة . إنني أرفض الجلوس في غرفة بالفندق ومشاهدة البيسبول في التلفاز . أريد الذهاب لمشاهدة مسرحية .,مستحيل. نحن في إجازة. إنني أرفض الجلوس في
4957,corpus-6-test-corpus-26-train,هل بإمكاني اللمس ؟,هل بإمكاني اللمس ؟
4974,corpus-6-test-corpus-26-train,أيمكنك الحضور إلى هنا لإصلاحه ؟,أيمكنك الحضور إلى هنا لإصلاحه ؟
4983,corpus-6-test-corpus-26-train,أريد بعض الألياف الصناعية .,أريد بعض الألياف الصناعية.
4985,corpus-6-test-corpus-26-train,"اسمي "" تارو تاناكا "" لدي حجز مسبق .","اسمي "" تارو تاناكا "" لدي حجز مسبق."
4990,corpus-6-test-corpus-26-train,أريد بعضاً من كريم التنظيف .,أريد بعضاً من كريم التنظيف.
5004,corpus-6-test-corpus-26-train,أريد رداءا ذات أكمام طويلة .,أريد رداءا ذات أكمام طويلة.
5009,corpus-6-test-corpus-26-train,لقد سُرقت حقيبتي .,لقد سُرقت حقيبتي.
5017,corpus-6-test-corpus-26-train,لقد تقابلنا بالصدفة لعدة مرات ، أليس كذلك ؟,لقد تقابلنا بالصدفة لعدة مرات ، أليس كذلك
5035,corpus-6-test-corpus-26-train,هل يمكنني أن ألقي نظرةً أخرى على قائمة الطعام ؟,هل يمكنني أن ألقي نظرةً أخرى على قائمة
5045,corpus-6-test-corpus-26-train,لا تزال تبدو عليهم علامات المرض وشحوبة الوجه .,لا تزال تبدو عليهم علامات المرض وشحوبة الوجه.
5082,corpus-6-test-corpus-26-train,كم عددها ؟,كم عددها ؟
5083,corpus-6-test-corpus-26-train,فراولة ، من فضلك .,فراولة ، من فضلك.
5090,corpus-6-test-corpus-26-dev,"قمة جبل "" فوجي "" هي اعلي قمة جبلية في اليابان حيث يبلغ ارتفاعها ثلاثة آلاف وسبعمائة وستون مترا .","قمة جبل "" فوجي "" هي اعلي قمة جبلية في اليابان ح"
5091,corpus-6-test-corpus-26-train,لا ، ليس بعد ، هناك الكثير نختار فيه .,لا ، ليس بعد ، هناك الكثير نختار فيه 
5098,corpus-6-test-corpus-26-dev,أرغب في كريم مسائي للبشرة .,أرغب في كريم مسائي للبشرة.
5104,corpus-6-test-corpus-26-test,إنها بين المخبز ومحل الجزارة .,إنها بين المخبز ومحل الجزارة.
5116,corpus-6-test-corpus-26-train,هل لك أن تقصّر الأكمام ؟,هل لك أن تقصّر الأكمام ؟
5117,corpus-6-test-corpus-26-train,أخشى أن لا يكون هنا أية دورة لتعليم الجولف .,أخشى أن لا يكون هنا أية دورة لتعليم الجولف.
5121,corpus-6-test-corpus-26-train,هل لك أن تريني الخاتم الثاني من جهة اليسار ؟,هل لك أن تريني الخاتم الثاني من جهة اليسار ؟
5124,corpus-6-test-corpus-26-train,ألا تسأله أن يتصل بي ؟,ألا تسأله أن يتصل بي ؟
5138,corpus-6-test-corpus-26-train,لقد حاولت إجراء مكالمة دولية ، هل نجح ذلك معك من قبل ؟,لقد حاولت إجراء مكالمة دولية ، هل نجح ذلك
5148,corpus-6-test-corpus-26-test,هذا خطأ .,هذا خطأ.
5175,corpus-6-test-corpus-26-train,نعم ، هي ، لأنك تستطيع أن ترى العلم أمام مكتب البريد .,نعم ، هي ، لأنك تستطيع أن ترى العلم أمام مكتب
5207,corpus-6-test-corpus-26-test,بالتأكيد سوف ترسلهم ، أليس كذلك ؟,بالتأكيد سوف ترسلهم ، أليس كذلك ؟
5219,corpus-6-test-corpus-26-train,أود إجراء مكالمة هاتفية باستخدام بطاقة ائتمان .,أود إجراء مكالمة هاتفية باستخدام بطاقة ائتمان.
5224,corpus-6-test-corpus-26-train,أريد ما يخصني لكي أرحل .,أريد ما يخصني لكي أرحل.
5245,corpus-6-test-corpus-26-train,لدي وصولها ، سوف ندفع ثمن شحنها إلى عنوان منزلك .,لدي وصولها ، سوف ندفع ثمن شحنها إلى
5246,corpus-6-test-corpus-26-dev,هذه الأيام ، استخدم الكمبيوتر بشكل دائم في العمل .,هذه الأيام ، استخدم الكمبيوتر بشكل دائم في العمل 
5250,corpus-6-test-corpus-26-train,أوه ! موافق ، لقد فهمت ، سوف آتي إلى مكانك .,أوه! موافق ، لقد فهمت ، سوف آتي إل
5259,corpus-6-test-corpus-26-train,لا ، هذا يكفي .,لا ، هذا يكفي.
5261,corpus-6-test-corpus-26-train,هل لي أن آخذ بطانية ووسادة ؟,هل لي أن آخذ بطانية ووسادة ؟
5262,corpus-6-test-corpus-26-train,هل يمكنك أن تحضر هنا قريباً بقدر المستطاع ، من فضلك ؟,هل يمكنك أن تحضر هنا قريباً بقدر المستطاع ،
5263,corpus-6-test-corpus-26-train,"قدحاً من القهوة , من فضلك .","قدحاً من القهوة, من فضلك."
5267,corpus-6-test-corpus-26-test,ابحث عن كروت لمناظر تعكس طبيعة جزر هاواي .,ابحث عن كروت لمناظر تعكس طبيعة جزر هاواي.
5272,corpus-6-test-corpus-26-train,هل لك بأن تضيق منطقة الوسط سنتيمترات ؟,هل لك بأن تضيق منطقة الوسط سنتيمترات ؟
5289,corpus-6-test-corpus-26-train,إنني في نفس السن .,إنني في نفس السن.
5300,corpus-6-test-corpus-26-train,ألا تحضر لي بعض القهوة ؟,ألا تحضر لي بعض القهوة ؟
5307,corpus-6-test-corpus-26-dev,ثلاث مائة وخمسون دولارا ؟ إن هذا يفوق ميزانيتي .,ثلاث مائة وخمسون دولارا ؟ إن هذا يفوق مي
5323,corpus-6-test-corpus-26-train,"هل نحتاج إلى طرح هذا للتصويت ؟ إن لم نكن في حاجة إلى هذا ، فإمكاني أن أعتقد حينئذ أننا قد وصلنا إلى نتيجة , سأقوم بإرسالها إلى مجلس إدارتنا صباح غد .",هل نحتاج إلى طرح هذا للتصويت ؟ إن لم نكن
5334,corpus-6-test-corpus-26-train,هل تعرف ما إذا كان هناك أي فنادق رخيصة الأسعار ؟,هل تعرف ما إذا كان هناك أي فنادق رخيصة الأسعار
5361,corpus-6-test-corpus-26-train,صباح الخير . هل استرحت في نومك ؟,صباح الخير. هل استرحت في نومك ؟
5364,corpus-6-test-corpus-26-train,ماذا تنوي أن تفعل عقب الانتهاء من المدرسة . ؟,ماذا تنوي أن تفعل عقب الانتهاء من المدرسة. 
5366,corpus-6-test-corpus-26-train,سرقت حقيبتي في الشارع .,سرقت حقيبتي في الشارع.
5367,corpus-6-test-corpus-26-train,هل كان لديك أية خدمات أخرى إلى جانب طعام الإفطار هذا الصباح ؟,هل كان لديك أية خدمات أخرى إلى جانب طعام الإ
5407,corpus-6-test-corpus-26-train,من فضلك ، أريد فنجاناً من القهوة البيضاء .,من فضلك ، أريد فنجاناً من القهوة البيضاء 
5410,corpus-6-test-corpus-26-test,وهو كذلك . هل فندق شيراتون قريب من هناك ؟,وهو كذلك. هل فندق شيراتون قريب من هناك 
5411,corpus-6-test-corpus-26-train,أتمنى ألا تكون متعبا جدا .,أتمنى ألا تكون متعبا جدا.
5431,corpus-6-test-corpus-26-train,أبغي تأجير سيارة من هذا الطراز لمدة يومين .,أبغي تأجير سيارة من هذا الطراز لمدة يومين.
5436,corpus-6-test-corpus-26-train,سآخذ صورة لجاك دانيلز .,سآخذ صورة لجاك دانيلز.
5437,corpus-6-test-corpus-26-train,أريد كيساً من الفشار ، من فضلك .,أريد كيساً من الفشار ، من فضلك.
5447,corpus-6-test-corpus-26-train,سقط مني واحدا من عصى التزلج .,سقط مني واحدا من عصى التزلج.
5455,corpus-6-test-corpus-26-train,نحن لا نجلب أية هدايا إلى الحفل ، وبدلا من ذلك يحضر الضيوف أموالاً نقدية .,نحن لا نجلب أية هدايا إلى الحفل ، وبدلا من
5458,corpus-6-test-corpus-26-train,أود أن أرسله عن طريق البريد .,أود أن أرسله عن طريق البريد.
5492,corpus-6-test-corpus-26-train,وصلت الطائرة متأخرة بسبب الثلج الكثيف .,وصلت الطائرة متأخرة بسبب الثلج الكثيف.
5518,corpus-6-test-corpus-26-train,الفاتورة من فضلك ؟,الفاتورة من فضلك ؟
5521,corpus-6-test-corpus-26-train,من فضلك هل يمكنك أن تتلقى رسالة ؟,من فضلك هل يمكنك أن تتلقى رسالة ؟
5540,corpus-6-test-corpus-26-train,آسف ، لا يمكنني متابعتك . هل من الممكن أن تتحدث ببطء أكثر من فضلك .,آسف ، لا يمكنني متابعتك. هل من الممكن أن
5549,corpus-6-test-corpus-26-dev,ماذا يمكنني أن أريك ؟,ماذا يمكنني أن أريك ؟
5559,corpus-6-test-corpus-26-train,هل يمكنني أن التقط بعض الصور ؟,هل يمكنني أن التقط بعض الصور ؟
5570,corpus-6-test-corpus-26-train,من مائة .,من مائة.
5584,corpus-6-test-corpus-26-dev,رقم الرحلة الجوية اتش بي تسعة وثمانين المتجهة إلى طوكيو في الحادي عشر من مارس .,رقم الرحلة الجوية اتش بي تسعة وثمانين المتجهة إلى
5585,corpus-6-test-corpus-26-train,هل بإمكاني الحصول على طبق آخر مثل هذا ؟,هل بإمكاني الحصول على طبق آخر مثل هذا ؟
5594,corpus-6-test-corpus-26-dev,هل لديك واحدة أخرى ؟,هل لديك واحدة أخرى ؟
5596,corpus-6-test-corpus-26-train,من فضلك ، احضر طعام الإفطار إلى غرفتي في السابعة من صباح الغد .,من فضلك ، احضر طعام الإفطار إلى غرفتي
5615,corpus-6-test-corpus-26-train,عامل الصيانة سيصعد في الحال .,عامل الصيانة سيصعد في الحال.
5617,corpus-6-test-corpus-26-dev,آسف سأعود لاحقاً .,آسف سأعود لاحقاً.
5640,corpus-6-test-corpus-26-test,كيف أستقلها ؟,كيف أستقلها ؟
5648,corpus-6-test-corpus-26-train,هل هناك أماكن شاغرة بالنسبة لرحلة الخميس ؟,هل هناك أماكن شاغرة بالنسبة لرحلة الخميس ؟
5657,corpus-6-test-corpus-26-train,عفواً . هلا سمحت لي بالمرور ؟,عفواً. هلا سمحت لي بالمرور ؟
5680,corpus-6-test-corpus-26-train,هل لديك أية نباتات أو فواكه ؟,هل لديك أية نباتات أو فواكه ؟
5684,corpus-6-test-corpus-26-train,من فضلك أخبرني كيف أملأ بطاقة النزول إلى البر ؟,من فضلك أخبرني كيف أملأ بطاقة النزول إلى البر
5695,corpus-6-test-corpus-26-train,أعتقد أن سيارتي تستحق حوالي خمسة آلاف دولارا .,أعتقد أن سيارتي تستحق حوالي خمسة آلاف دولارا 
5706,corpus-6-test-corpus-26-train,هل هذا الطعام منخفض السعرات الحرارية ؟,هل هذا الطعام منخفض السعرات الحرارية ؟
5717,corpus-6-test-corpus-26-train,أية حافلة يجب أن آخذ إلى المحطة ؟,أية حافلة يجب أن آخذ إلى المحطة ؟
5723,corpus-6-test-corpus-26-train,"نعم , إنه هو . ولكن ستضطر إلى الدوران يسارا في إشارة المرور الثالثة وتستمر في ذلك الشارع حتى تصل إلى الطريق رقم ستة وستين .","نعم, إنه هو. ولكن ستضطر إلى الدوران ي"
5733,corpus-6-test-corpus-26-dev,"أريد كوبا من الماء لأتناول بعض الدواء , من فضلك .","أريد كوبا من الماء لأتناول بعض الدواء, من فضل"
5761,corpus-6-test-corpus-26-train,أكون ممتنا جدا لو أخذتني إلى الشاطئ .,أكون ممتنا جدا لو أخذتني إلى الشاطئ.
5772,corpus-6-test-corpus-26-train,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .,آسف. لقد اتصلت بالرقم الخطأ. هذه
5779,corpus-6-test-corpus-26-train,إننا سندفع الحساب ونغادر .,إننا سندفع الحساب ونغادر.
5830,corpus-6-test-corpus-26-dev,ما نوع هذه الموسيقى ؟,ما نوع هذه الموسيقى ؟
5847,corpus-6-test-corpus-26-train,"من فضلك أعط طفلك هذا الدواء الشراب , جرعة واحدة بعد كل وجبة .","من فضلك أعط طفلك هذا الدواء الشراب, جرعة"
5848,corpus-6-test-corpus-26-train,"هذا الموديل متوفر بمقاسات ثمانية وعشرين , وواحد وثلاثين وخمسة وثلاثين سنتيمترا .","هذا الموديل متوفر بمقاسات ثمانية وعشرين, وواحد"
5875,corpus-6-test-corpus-26-train,"أوه , يبدو كأنه قرعة .","أوه, يبدو كأنه قرعة."
5898,corpus-6-test-corpus-26-train,هل يمكن أن أستعمل هاتفك ؟,هل يمكن أن أستعمل هاتفك ؟
5902,corpus-6-test-corpus-26-test,رائحته جميلة . كم ثمنه ؟,رائحته جميلة. كم ثمنه ؟
5906,corpus-6-test-corpus-26-train,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في السابع عشر .,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في الس
5913,corpus-6-test-corpus-26-train,أكلت كثيرا نوعا ما .,أكلت كثيرا نوعا ما.
5914,corpus-6-test-corpus-26-train,هل يمكن أن أتحدث إلى السيدة براون ؟,هل يمكن أن أتحدث إلى السيدة براون ؟
5916,corpus-6-test-corpus-26-train,"هذا البيت يبدو مريحا للمعيشة فيه , أليس كذلك ؟","هذا البيت يبدو مريحا للمعيشة فيه, أليس ك"
5934,corpus-6-test-corpus-26-dev,أريد أن أحجز على شركة نورث وست إيرلينز على الرحلة رقم صفر ثمانية ستة في الخامس .,أريد أن أحجز على شركة نورث وست إيرلينز على
5940,corpus-6-test-corpus-26-train,"محفظتي , جواز السفر ومتعلقات شخصية أخرى .","محفظتي, جواز السفر ومتعلقات شخصية أخرى."
5956,corpus-6-test-corpus-26-train,متى تغلقون ؟,متى تغلقون ؟
5974,corpus-6-test-corpus-26-test,انتظر دقيقة . ربما أكون قد تركته في غرفة الاستراحة .,انتظر دقيقة. ربما أكون قد تركته في غرفة الاستراح
5987,corpus-6-test-corpus-26-train,هذا بالضبط ما كنت سأقوله .,هذا بالضبط ما كنت سأقوله.
5988,corpus-6-test-corpus-26-train,"نعم , أعتقد ذلك .","نعم, أعتقد ذلك."
5997,corpus-6-test-corpus-26-train,منزلك كبير . كم عدد الغرف ؟,منزلك كبير. كم عدد الغرف ؟
6006,corpus-6-test-corpus-26-train,استمتعنا بالعشاء .,استمتعنا بالعشاء.
6024,corpus-6-test-corpus-26-test,أفهم ، لكن لا أستطيع أن أقولها .,أفهم ، لكن لا أستطيع أن أقولها.
6047,corpus-6-test-corpus-26-train,أوو ، نعم ، من فضلك . أنا أتمنى أن لا يصابوا بدوار البحر .,أوو ، نعم ، من فضلك. أنا أتمنى أن
6056,corpus-6-test-corpus-26-test,إلى طوكيو ، من فضلك .,إلى طوكيو ، من فضلك.
6073,corpus-6-test-corpus-26-train,ما هو موعد وصولنا المقدر ؟,ما هو موعد وصولنا المقدر ؟
6086,corpus-6-test-corpus-26-train,سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .,سأغادر باكراً غداً ، لذلك أود أن أدفع
6100,corpus-6-test-corpus-26-test,نبيذ غير حلو ، من فضلك .,نبيذ غير حلو ، من فضلك.
6109,corpus-6-test-corpus-26-test,مقعد ممنوع به التدخين ، من فضلك .,مقعد ممنوع به التدخين ، من فضلك.
6156,corpus-6-test-corpus-26-train,هو مشغول الآن .,هو مشغول الآن.
6167,corpus-6-test-corpus-26-train,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟
6179,corpus-6-test-corpus-26-train,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً ؟,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً 
6190,corpus-6-test-corpus-26-train,ها-ها . صباح الخير حان دورك . إنه على ما يرام .,ها-ها. صباح الخير حان دورك. إنه على
6193,corpus-6-test-corpus-26-train,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكاميرا ، من فضلك .,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكا
6205,corpus-6-test-corpus-26-train,أين رسومات مونيت ؟,أين رسومات مونيت ؟
6214,corpus-6-test-corpus-26-train,البيتزا لذيذة . من صنعها ؟,البيتزا لذيذة. من صنعها ؟
6221,corpus-6-test-corpus-26-train,ما هو طعم هذا الطبق ؟,ما هو طعم هذا الطبق ؟
6227,corpus-6-test-corpus-26-train,هم أيضاً غاليين .,هم أيضاً غاليين.
6228,corpus-6-test-corpus-26-train,متى يغادر القطار التالي إلى بوسطن ؟,متى يغادر القطار التالي إلى بوسطن ؟
6232,corpus-6-test-corpus-26-dev,أخطط لتعلم الجولف .,أخطط لتعلم الجولف.
6247,corpus-6-test-corpus-26-dev,من فضلك أعطني مشروباً أخر .,من فضلك أعطني مشروباً أخر.
6253,corpus-6-test-corpus-26-train,يا له من راكب ماهر للأمواج .,يا له من راكب ماهر للأمواج.
6272,corpus-6-test-corpus-26-train,أخشى أن تكون الأكمام قصيرة جدا .,أخشى أن تكون الأكمام قصيرة جدا.
6283,corpus-6-test-corpus-26-train,هل يمكنك أن تريني كيف أضع الغاز ؟,هل يمكنك أن تريني كيف أضع الغاز ؟
6285,corpus-6-test-corpus-26-train,هل أجرة الفندق تضم الإفطار ؟,هل أجرة الفندق تضم الإفطار ؟
6287,corpus-6-test-corpus-26-train,هل هذا كل شيء ؟,هل هذا كل شيء ؟
6291,corpus-6-test-corpus-26-train,إنه في نهاية هذا الطريق .,إنه في نهاية هذا الطريق.
6339,corpus-6-test-corpus-26-train,من فضلك ابدأ العداد .,من فضلك ابدأ العداد.
6363,corpus-6-test-corpus-26-train,غرفتي أبرد من اللازم .,غرفتي أبرد من اللازم.
6411,corpus-6-test-corpus-26-train,سأعود إليك عندما تكون أقل انشغالاً .,سأعود إليك عندما تكون أقل انشغالاً.
6413,corpus-6-test-corpus-26-dev,هل لديك واحد أكبر ؟,هل لديك واحد أكبر ؟
6418,corpus-6-test-corpus-26-train,أشعر بتحسن .,أشعر بتحسن.
6430,corpus-6-test-corpus-26-dev,هل أنت ملم بجغرافيا اليابان ؟,هل أنت ملم بجغرافيا اليابان ؟
6436,corpus-6-test-corpus-26-train,من فضلك أرني أين أنا على هذه الخريطة .,من فضلك أرني أين أنا على هذه الخريطة 
6437,corpus-6-test-corpus-26-train,مائة بالمائة قطن .,مائة بالمائة قطن.
6466,corpus-6-test-corpus-26-train,أود أن أغير لغرفة تطل على المحيط . هل توجد أي رسوم إضافية ؟,أود أن أغير لغرفة تطل على المحيط. هل توجد أي
6472,corpus-6-test-corpus-26-train,كم ثمن إيجار نصف يوم للوحة ؟,كم ثمن إيجار نصف يوم للوحة ؟
6481,corpus-6-test-corpus-26-train,العاشر من نوفمبر .,العاشر من نوفمبر.
6484,corpus-6-test-corpus-26-dev,أود شريطاً للآلة الكاتبة .,أود شريطاً للآلة الكاتبة.
6492,corpus-6-test-corpus-26-train,إنها لذيذة جداً .,إنها لذيذة جداً.
6497,corpus-6-test-corpus-26-train,متى سنقلع ؟,متى سنقلع ؟
6498,corpus-6-test-corpus-26-train,كيف عرفت السائق متى تريد أن تنزل ؟,كيف عرفت السائق متى تريد أن تنزل ؟
6513,corpus-6-test-corpus-26-train,أربعة وعشرين دولاراً . هل تريد المزيد ؟,أربعة وعشرين دولاراً. هل تريد المزيد ؟
6515,corpus-6-test-corpus-26-train,عملت الحجز في طوكيو منذ شهر .,عملت الحجز في طوكيو منذ شهر.
6517,corpus-6-test-corpus-26-train,أشكرك من أعماق قلبي .,أشكرك من أعماق قلبي.
6525,corpus-6-test-corpus-26-train,هل أنزل هنا لمركز روكفيلر ؟,هل أنزل هنا لمركز روكفيلر ؟
6539,corpus-6-test-corpus-26-train,من فضلك قس حجم حذائي .,من فضلك قس حجم حذائي.
6547,corpus-6-test-corpus-26-train,إنها رائعة .,إنها رائعة.
6550,corpus-6-test-corpus-26-train,هل ستحدد موعداً للخروج معي ؟,هل ستحدد موعداً للخروج معي ؟
6552,corpus-6-test-corpus-26-train,من فضلك نظف هذا المعطف .,من فضلك نظف هذا المعطف.
6553,corpus-6-test-corpus-26-train,أود أن أؤجر قارب بمحرك .,أود أن أؤجر قارب بمحرك.
6574,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,أين قسم السيدات ؟
6581,corpus-6-test-corpus-26-train,القهوة غير محسوبة .,القهوة غير محسوبة.
6593,corpus-6-test-corpus-26-train,في أي مجال كان من قبل ؟,في أي مجال كان من قبل ؟
6602,corpus-6-test-corpus-26-train,اللعنة . اللعنة . اللعنة . اللعنة . لقد كبرت معتاداً على وجهها .,اللعنة. اللعنة. اللعنة. لقد كبر
6609,corpus-6-test-corpus-26-train,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟
6613,corpus-6-test-corpus-26-test,أهلاً ، شريكك على الخط . هيا ، من فضلك .,أهلاً ، شريكك على الخط. هيا ، من 
6625,corpus-6-test-corpus-26-train,جرحي يؤلمني .,جرحي يؤلمني.
6635,corpus-6-test-corpus-26-train,أين المحطة ؟,أين المحطة ؟
6657,corpus-6-test-corpus-26-train,عندي قشعريرة .,عندي قشعريرة.
6659,corpus-6-test-corpus-26-train,ثلاثة أيام .,ثلاثة أيام.
6660,corpus-6-test-corpus-26-dev,أعبر الجسر من هناك ، وستجد المكتبة على يدك اليسرى .,أعبر الجسر من هناك ، وستجد المكتبة على يد
6692,corpus-6-test-corpus-26-dev,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية .,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية 
6699,corpus-6-test-corpus-26-train,لا أريد واحدة ضخمة .,لا أريد واحدة ضخمة.
6700,corpus-6-test-corpus-26-train,سيكون هناك تأخير بسيط .,سيكون هناك تأخير بسيط.
6715,corpus-6-test-corpus-26-train,ما هي الفوارق بين هذه الفنادق ؟,ما هي الفوارق بين هذه الفنادق ؟
6724,corpus-6-test-corpus-26-test,فاتتني محطتي .,فاتتني محطتي.
6736,corpus-6-test-corpus-26-train,كان عظيماً . شكراً .,كان عظيماً. شكراً.
6740,corpus-6-test-corpus-26-dev,سأكون هناك حوالي السادسة مساءً .,سأكون هناك حوالي السادسة مساءً.
6746,corpus-6-test-corpus-26-train,هل لديك أي شيء لفترة أطول قليلاً ؟,هل لديك أي شيء لفترة أطول قليلاً ؟
6766,corpus-6-test-corpus-26-train,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين.
6780,corpus-6-test-corpus-26-test,كيف كانت ؟,كيف كانت ؟
6800,corpus-6-test-corpus-26-train,هل توجد أية كازينوهات جيدة ؟,هل توجد أية كازينوهات جيدة ؟
6810,corpus-6-test-corpus-26-train,هذه هي فلوس أقلام الحبر . فاتورة بمائة دولار .,هذه هي فلوس أقلام الحبر. فاتورة بمائة 
6812,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,أين قسم السيدات ؟
6825,corpus-6-test-corpus-26-train,أين يمكن أن أركب القارب ؟,أين يمكن أن أركب القارب ؟
6832,corpus-6-test-corpus-26-train,صديقي مصاب .,صديقي مصاب.
6835,corpus-6-test-corpus-26-train,تبدو بصحة جيدة .,تبدو بصحة جيدة.
6836,corpus-6-test-corpus-26-dev,هل سيكون هذا المتجر مفتوحاً غداً ؟,هل سيكون هذا المتجر مفتوحاً غداً ؟
6862,corpus-6-test-corpus-26-test,إنه طول الطريق لنهاية البهو .,إنه طول الطريق لنهاية البهو.
6864,corpus-6-test-corpus-26-train,هل يمكنك أن تشذب شاربي ؟,هل يمكنك أن تشذب شاربي ؟
6866,corpus-6-test-corpus-26-dev,هذا يأتي مع طبق السلطة واختيار بين البطاطس المشوية أو المحمرة .,هذا يأتي مع طبق السلطة واختيار بين البطاطس المشوية أو
6875,corpus-6-test-corpus-26-dev,أين يمكنني أن أشتري إبريقاً ؟,أين يمكنني أن أشتري إبريقاً ؟
6914,corpus-6-test-corpus-26-train,لا يمكن أن أبيع هذه دون روشتة .,لا يمكن أن أبيع هذه دون روشتة.
6917,corpus-6-test-corpus-26-train,هل يمكن أن أحجز خمسة مقاعد في الصف نفسه .,هل يمكن أن أحجز خمسة مقاعد في الصف نفسه.
6923,corpus-6-test-corpus-26-test,هل يمكنك أن تقرضني حبل القطر ، من فضلك ؟,هل يمكنك أن تقرضني حبل القطر ، من فضلك 
6944,corpus-6-test-corpus-26-train,أي سيارة ذات أداء أفضل ؟,أي سيارة ذات أداء أفضل ؟
6960,corpus-6-test-corpus-26-train,لن تأخذ خصماً مهما حاولت .,لن تأخذ خصماً مهما حاولت.
6966,corpus-6-test-corpus-26-train,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا يوجد هنا .,هلا فتحت هذه الحقيبة ، من فضلك ؟ ماذا
6970,corpus-6-test-corpus-26-train,أريد أن أعمل مكالمة مسافة طويلة إلى فندق هيلتون في بوسطن .,أريد أن أعمل مكالمة مسافة طويلة إلى فندق هيلتون في
6984,corpus-6-test-corpus-26-test,هل السيدات يقبلن هذا ؟,هل السيدات يقبلن هذا ؟
6991,corpus-6-test-corpus-26-train,كن حذراً ، السقف منخفض .,كن حذراً ، السقف منخفض.
6999,corpus-6-test-corpus-26-train,لا أستطيع رؤية الشاشة جيداً من هنا ، هل يمكنني تبديل المقاعد لبعض الوقت ؟,لا أستطيع رؤية الشاشة جيداً من هنا ، هل
7030,corpus-6-test-corpus-26-train,لقد قمت بزيارة البحيرات الكبرى لأول مرة .,لقد قمت بزيارة البحيرات الكبرى لأول مرة.
7048,corpus-6-test-corpus-26-train,ثمة شئ خطأ في آلة التهوية هذه .,ثمة شئ خطأ في آلة التهوية هذه.
7057,corpus-6-test-corpus-26-train,أحتاج إلى طيب .,أحتاج إلى طيب.
7070,corpus-6-test-corpus-26-train,كم المدة التي قضتها هي حتى الآن في المملكة المتحدة ؟,كم المدة التي قضتها هي حتى الآن في المملكة المتحدة 
7081,corpus-6-test-corpus-26-train,من المرجح أن محبا للإبداع الفني مثلك سيستمتع اللوحات الزيتية غير التقليدية وعروض الموسيقى بالشوارع .,من المرجح أن محبا للإبداع الفني مثلك سيستمتع اللوحات
7098,corpus-6-test-corpus-26-train,كم الوقت ؟,كم الوقت ؟
7099,corpus-6-test-corpus-26-dev,سآخذ هوت دوج وكولا .,سآخذ هوت دوج وكولا.
7104,corpus-6-test-corpus-26-dev,هذا هو مسئول الربط الخارجي .,هذا هو مسئول الربط الخارجي.
7123,corpus-6-test-corpus-26-train,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك ؟ إنه أمام ذلك المبنى .,يمكنك رؤية مبنى ابيض اللون ، أليس كذلك
7130,corpus-6-test-corpus-26-test,منذ متى ؟,منذ متى ؟
7137,corpus-6-test-corpus-26-test,ليس لدى أي شئ لكي أعلنه .,ليس لدى أي شئ لكي أعلنه.
7198,corpus-6-test-corpus-26-dev,ماذا ؟ هل عليك دفع ضرائب عندما يكون لديك أكثر من ثلاثة زجاجات كحول ؟,ماذا ؟ هل عليك دفع ضرائب عندما يكون لديك أ
7206,corpus-6-test-corpus-26-dev,صديقي مريض جداً . هل تستطيع أن تطلب دكتور ، من فضلك ؟,صديقي مريض جداً. هل تستطيع أن تطلب دكتور 
7227,corpus-6-test-corpus-26-test,لا أعرف كثيراً عن النبيذ ؟ ماذا يناسب هذا الطبق ؟,لا أعرف كثيراً عن النبيذ ؟ ماذا يناسب هذا
7233,corpus-6-test-corpus-26-dev,هل تستطيع أن تتصل بي في الصباح الباكر ، من فضلك ؟,هل تستطيع أن تتصل بي في الصباح الباكر ، من فضلك
7248,corpus-6-test-corpus-26-dev,هناك محطة غاز بعد مربعين سكنيين من هنا .,هناك محطة غاز بعد مربعين سكنيين من هنا.
7253,corpus-6-test-corpus-26-train,اليابانيون لا يأخذون إجازات طويلة .,اليابانيون لا يأخذون إجازات طويلة.
7264,corpus-6-test-corpus-26-train,اشعر كأن هناك تحديق في . هل من النادر رؤية شخص ياباني ؟,اشعر كأن هناك تحديق في. هل من النادر رؤ
