,sent,lang
512," فنهار، قررات شي جمعة ديال صحاب يمشيو لشي جبل باش يتمتعو. وهوما كيدورو، واحد منهم قال: ""غادي نتصورو كاملين؟"" جميع وافقو وبتاسمو للكاميرا. مللي رجعو، بارطاجو الصورة على الانترنيت وولات ذكرى زوينة خلاتهم مجموعين. ",Moroccan
513," أحمد بغا يشد طرد لصاحبو اللي ساكن برا، مشى للبريد وسول الخدام: ""شحال كتكلف هاد الخدمة؟"". الخدام ضحك وقال ليه: ""غير خمسين درهم"". أحمد فرح حيت الثمن كان أرخص من لي كان متوقع، عطى الفلوس وشكر الخدام على مساعدتو. ",Moroccan
514, فآخر تلت مشهور ديال العام، شركة الألعاب في أمريكا الشمالية عرفات زيادة في المبيعات بسيتة في المية. الشركة قالت هاد النجاح جا من ورا لعبة جديدة خرجات وعجبات الناس بزاف. الربح اللي زاد خلا الشركة توسع خدمتها وتخدم مزيد من المطورين. وفالأخير، صارت الشركة رائدة في صناعة الألعاب في المنطقة. ,Moroccan
515," فنهار مشرق، يوسف سول صاحبو عمر: ""شكون أحسن صاحب ليك؟"" عمر تبسم وجاوب: ""نتا يا يوسف، حيت ديما كتكون حدايا"". ومن ديك الساعة، صداقتهم صارت أقوى وتواعدو يكونو أوفياء لبعض. وكلما تقابلو مع مشكلة، كانو كيتفكرو هاد اللحظة وكيتجاوزو الصعاب معا. ",Moroccan
516, واحد النهار، يوسف عرف بلي كاينة شي بطولة ديال السومو في أمريكا، وحزم أمره باش يشارك. بعد تمارين خايبة، يوسف وصل للفينال. تلاقا مع واحد المنافس قوي، ولكن بالذكاء ديالو قدر يهزمو. وهكذا، يوسف توج بطل ديال السومو في بطولة أمريكية وصار مثال للإرادة والعزيمة. ,Moroccan
517, فنهار الصحة الرياضية، الناس تجمعو فالحدائق باش يديرو الرياضة. الدراري كانو كيلعبو الكورة، والكبار كانو كيديرو تمارين اللياقة. توزعات الما والعصير باش يشجعو الناس يواصلو الحركة. فآخر النهار، الجميع حسو بالطاقة والصحة الزوينة، وعرفو قيمة هاد العطلة الوطنية. ,Moroccan
518," واحد النهار، واحد الراجل سول شي حد فالزنقة: ""واش هادا خاص بوول ستريت؟"" جاو الناس جاوبوه وهوما كيضحكو: ""أه، هادي هي الطريق لي كتمشي لقلب الفلوس والخدمة."" هاد الراجل حس بإثارة كبيرة باش يبدا مشوارو فعالم الاستثمار. ومع الوقت، ولا من المستثمرين المعروفين فوول ستريت. ",Moroccan
519," كانت ليلى كتقلب على بلاصة باش تبات فيها فرحلتها. لقات شي شقة زوينة وقالت ""بغيت نكري هادي من الخامس للعاشر ديال دجنبر"". هضرت مع مول الدار وحجزات. ملي وصلت ليلى، استمتعات بوقتها فالشقة اللي عجباتها. ",Moroccan
520," فواحد النهار، العجوزة مشات لسوق باش تشري لقماش للدار. فطريقها، تلاقات مع الجار ديالها الشاب اللي سولها على حالها. جاوباتو بابتسامة، ""لاباس، ونتا عامل كيف داير، سيدي؟"" الشاب حس بالقدر وإصر يحمل ليها خياشها حتى لدارها. ",Moroccan
521," فشي نهار شاد الحر، أحمد كان كيسوق طوموبيلتو وفجأة بان ليه دخان كيطلع من الموتور. وقف على جنب الطريق وسول واحد اللي كان كيدوز حداه: ""بغيتي تشوف ليا موتور الطوموبيل؟"" الراجل قبل وبعد ما تشوف، قال لأحمد بللي عندو مشكل فالرادياتور. أحمد شكر الراجل وقرر يمشي بالطوموبيل للميكانيكي باش يصلحها. ",Moroccan
522," فنهار، أحمد لقى ظرف مسدود فوق الطابلة، مكتوب عليه ""سكر؟"". حل الظرف بفضول ولقى مفتاح صغير داخلو. بدا كيقلب على الصندوق لي كايناسب لهاد المفتاح وملي حلو، تا لقى رسالة كتشير لو على مغامرة سرية. ",Moroccan
523," فواحد النهار، خالد مشى للحانوت باش يشري كادو لخوه. وملي اختار الكادو لي عجبو، سول البائع: ""واش نقدر نخلص بالماستر كارد؟"" البائع تبسم وقال ليه: ""آه، مرحبا بيك، كنقبلو كل الكروت."" خالد حس بالارتياح حيت ما كانش جايب معاه فلوس كافيين. ",Moroccan
524," خالد وصل للمطار معطل وسول واحد من الخدامين: ""واش هادا هو المكان لي خاص بجمع الباݣاج ديال رحلة ان دبليو نوميرو تسعة صفر سبعة؟"". الخدام شير ليه للسير لي بدا كيدور بالباݣاج وقال ليه راك فالبلاصا صحيحة. خالد تنهد بارتياح وبقا كيتسنى شنطتو بالخلعة. وبعد شوية، بانت ليه شنطتو ومشى بزربة باش يلحق الوقت ديالو. ",Moroccan
525, غادي ناخد هاد الصنف ديال الكتب حيت كاينين فيه المعلومات اللي خاصني. من بعد ما جبت الكتاب، شديت في قرايتو بالحماس. لقيت فيه عبر وحكم زوينة. هاد الكتاب ولا المرجع لي كنفضل ف القراية وف الحياة. ,Moroccan
526, أنا فرحان بزاف حيت قدرت نجي لهاد البلاد. وحيت أنا هنا، قررت نتعلم اللغة والعوايد. تعرفت على ناس جداد وحسيت بلي وليت جزء من المجتمع. هاد الأرض ولات كيف وطن جديد ليا. ,Moroccan
527, واحد النهار، لقيت بريد قديم مطوي تحت باب داري. سميتي وعنواني مكتوبين عليه. تعجبت من الخط الزوين والحبر الأزرق اللي باقي براق. حليت البريد بفضول باش نكتشف أسرار ديال العهد القديم اللي غادي تبدل حياتي. ,Moroccan
528," كان الراجل واقف في المحطة وكايشد بزاف ديال الكيسان الثقيلة. فجأة، طاحت وحدة من كيسانو بعيد، شاف شي ولد حداه وقال ليه ""أش كاين، قادر تعاوني نوصل لكيس ديالي؟"" مللي الولد عاونو ورجع ليه الكيس، الراجل شكره بزاف وعزمو على قهوة باش يرد ليه الجميل. ",Moroccan
529," كان علي كيتسارى ف السوق القديمة ولاحظ بريق حجرة وسط السلع. قرب للبايع وسولو ""شنو هاد الحجر؟"" جاوبو البايع بللي هو حجر العقيق القديم. علي تفاجأ وقرر يشري الحجر باش يزيدو ف مجموعتو. ",Moroccan
530, هؤلاء العمال الجدد كانوا يعملون بجد ونشاط، لكنهم وجدوا صعوبة في الاندماج مع سكان القرية الأصليين. ,Moroccan
531, من هاد الجبل، قادر تشوف المدينة كاملة. فهاد العواشر، بزاف ديال الزهور كتفتح وكتكون زوينة بزاف. وكل صبح، الناس كيجيو يشمو الهوا الصافي ويستمتعو بالمنظر البهي. الدراري كيلعبو حدا الزهور، والكبار كيرجعو بالذاكرة لأيام الشباب ديالهم. ,Moroccan
532," تبعوني للغابة فين الشجر الكبير كيخبي بزاف ديال الأسرار. لقينا تماك كوخ صغير مستخبي وسط الوراق. دقينا الباب والريح كانت كتهمس بألحان غريبة. واحد الشيخ فتح لينا وابتسم وقال ""كنت كانتسناكم"". ",Moroccan
533, عافاك قولي ليه نتي يا مادا تاصل بيا. لعيوم ديال مورا، مادا بقات كاتسنى الجواب ساعات طوال. وملي جا الجواب أخيرا، كان صوتو معمر بالحماس. تواعدو باش يتلاقاو ويهضرو على مستقبلهم معا. ,Moroccan
534, غادي تدير الترتيبات من قبل؟ سولت سارة وهي كتشوف فالخريطة بفرح. جاسم جاوبها: آه، غادي نحجز الفندق والجولات السياحية قبل السفر بسيمانة. وف السيمانة لي بعدها، جلسو يخططو للأماكن لي بغاو يزوروها. وملي جا وقت الرحلة، كان كلشي مهيأ مزيان لمغامرة ماكتنساش. ,Moroccan
535, واخا، عافاك حط هاد البيانات هنا. واش كانت غير شي وحدة ديال الفاليز؟ عمر مشى للمطار وهو شايل جوج فاليزات ثقال. وقت لي داز من التفتيش، العامل سولو على قداش من فاليز عندو فجاوب بالارتباك. تالي تبان بللي واحد من الفاليزات ماشي ديالو. ,Moroccan
536," فنهار مشرق، البا سول ولادو: ""بغيتو تاكلو لحم بقر، دجاج ولا حوت؟"" الدراري جاوبو بشوق: ""بغينا حوت!"" مشاو كاملين للسوق باش يشريو الحوت الفريش. البا طيب الكلشي بالدقة وكلشي استمتعو بوجبة ديال الزين على صوت الطبيعة. ",Moroccan
537, أحمد كان كيعجبو ديما يجرب طرق جديدة فطريقو للخدمة. فنهار، قرر يدير طريق ماعمرو مشا منو باش يرجع لدارو. فالطريق، كشف قهوة صغيرة وزوينة كانت مخبية فزنقة ضيقة. ومن داك النهار، ولا كيمشي لهاد القهوة بالدوام، كيستمتع بتجاربو المختلفة اللي كيدير فالمشي والرجوع. ,Moroccan
538," يحيى كان كيقلب على بلاصة باش يتعشى شي سناك خفيف، سول واحد: ""كاين شي ريسطورا للسناكات هنا؟"" الراجل دلو على واحد الريسطورا صغير فآخر الزنقة. يحيى حمد الله ومشى للريسطورا، وتما لقى الأكل بنين ومزيان للصحة. ",Moroccan
539, سمحلي سيدي، بغيت نشوف شي بلايص سياحية ف بوسطن. محمود جا من مصر باش يزورها. كان كيحلم يشوف جامعة هارفارد ويتمشى فالحديقة العامة ديال بوسطن. يوسف صاحبو اللي ساكن تما خداه يعرفو بأهم النقط. ,Moroccan
540, واحد النهار، أحمد قرر يتعلم اليابانية. بدا يقلب على معاهد مختصة ولقى وحدة قريبة من دارو. سجل فكور ديال التكثيف وكان كيقرا بزاف كل نهار. من بعد شهور، ولا قادر يهضر باليابانية مزيان وجمع ليستة بيها باش يبين التقدم ديالو. ,Moroccan
541, هي الواحدة وخمس دقائق. أحمد فاق معطل بزاف على خدمتو. لبس حوايجو بالزربة وخرج كايجري من الدار. وصل للخدمة والمدير ديالو مقلق عليه. ولكن أحمد قدم عرض قوي خلا الجميع مبهورين ورجع لقا ثقة مديرو. ,Moroccan
542," فنهار عاصف، علي لقى راسو محتاج المساعدة باش يصلح سطح دارو اللي تشرط من الرياح القوية. جارو محمد جا عندو باش يعاونو، ومع بعضياتهم شرعو يخدمو على رجاع اللي تخرب. وملي سالاو الخدمة، علي حس بالشكر الكبير وقال لمحمد: ""جيتي في وقت الشدة، شكراً بزاف."" محمد بتسم وقاليه بلي الجيران خاصهم يكونوا مع بعضياتهم في الزين والشين. ",Moroccan
543, جميل كان كيعاني من ألم خايب في ركبتو ديما. واحد النهار، قرر يمشي للطبيب باش يلقى حل. الطبيب، بعد ما فحصو، وصف ليه دوا قوي باش يهنيه من الألم. جميل حس براحة كبيرة من بعد ما شرب الدوا، ورجع لحياتو العادية. ,Moroccan
544, منى كانت هي الممثلة لي كيعجب بها أحمد بزاف. كل عشية، كان كيجلس يتفرج في أفلامها ومسلسلاتها. كان معجب بموهبتها وستيل ديالها بزاف. أحمد ديما كان كيحلم يلقاها ويقول ليها على إعجابه. ,Moroccan
545," واحد النهار، أحمد قرر يشري هدية باش يفاجئ مّو. مشى للسوق وقال للبائع ""بغيت وحدة على شكل بيضاوي"". البائع عطاه قلادة زوينة كتبري تحت شعاش الشمس. أحمد مشى للدار وعطى الهدية لمّو اللي طلع ليها الفرحة في وجهها بابتسامة كبيرة. ",Moroccan
546, واحد النهار، خالد سول صاحبو على النوع ديال الموسيقى اللي كيعزفوها في الحفلة. صاحبو جاوبو بأنها جاز. خالد تحمس بزاف حيت كيبغي الموسيقى ديال الجاز. قررو يمشيو مع بعضياتهم باش يتمتعو بأجواء الحفلة الموسيقية. ,Moroccan
547, ما كانحملش هاد اللون، عافاك جيب ليا لون آخر. مشى البايع جاب لون جديد. شافتو المدام مزيان وتبسمت مرتاحة. وفي الأخير، اختارت الفستان اللي بغات باللون الجديد وخرجت من الحانوت مسرورة. ,Moroccan
548," كان كاين واحد راجل ساكن فمدينة صغيرة وكل صباح كان كيمشي للسوق. واحد النهار, لقى صاحبو القديم وقال ليه: ""عافاك جيبني للسوق ديال الصباح."" صاحبو وافق بالزربة وخده يدور بين الطوابل. دارو وتسالاو وشراو شي حوايج قبل ما يرجعو لدارهم مبسوطين. ",Moroccan
549, الإطار ديال نضارتي تكسر. مشيت للحانوت باش نصلحو ولكن لقيتو مسدود. خصني نتسنى للغد ليه. وملي صلحوها، حسيت براحة حيت قدرت نشوف مزيان مرة أخرى. ,Moroccan
550, فنهار شاد شمس من أيام الصيف، الساعة كانت كتقرب لتلاتة ديال العشية. الدراري كانو كيلعبو فالحديقة، والشمس كترمي ظلالها الطويلة على الأرض. ملّي ضربات الساعة تلاتة، جمعو كاع الناس باش يحتافلو بعيد ميلاد سارة. الضحكات عمرو المكان، والبالونات الملونة كتطير مع نسمة العشية الزوينة. ,Moroccan
551, مزيان. عندي بلاصة حدا النافذة. إيوا، إلى بغيتي نبدلو البلايص من بعد، آ الآنسة. الآنسة وافقات وقبلات تبدل البلاصة مع الراجل. طوال الرحلة، شافت من النافذة وتحمقات بالمناظر الزوينة. ملي وصلات، شكراتو على اللطف ديالو وتمنات ليه رحلة ممتعة. ,Moroccan
552, بارح تمتعت بدورة الاستكشاف ديال الأماكن السياحية فنيويورك. بديت نهاري بزيارة لتمثال الحرية وصورت بزاف ديال الصور التذكارية. من بعد مشيت لقنطرة بروكلين وتفرجت على منظر الغروب الرائع. وساليت دورتي بعشا بنين في واحد الريسطورانت على جنب نهر هدسون. ,Moroccan
553, أحمد شاف الكارطة الزرقة فالفيترين وعجباتو بزاف. قرر يخبي الفلوس باش يشريها. بعد شهر ديال الخدمة لي دازت، جمع الدرهم الكافي. فرح بزاف بالكارطة بعدما شراها وصار يستعملها في جميع مشاويره. ,Moroccan
554, دار أحمد مكالمة لمول العمارة ملي قطعات الضو بلا موعد. تعجب من السرعة لي جاوب بيها وصلح الخلل في وقت قصير. حس بالامتنان لمول الدار لي تصرف مزيان. ومن ديك الساعة، ولات بيناتهم صداقة وكيعتامدو على بعض فالمشاكل. ,Moroccan
555," أحمد كان شعرو طويل ومشوش، مشا للحلاق باش يديرلو قصة جديدة. قال للحلاق: ""غسلو بالشامبوان وكونشيه كيفما هو دابا، عافاك."" من بعد ما غسلو وصاوبو، شعر أحمد ولا يلمع ويبان زوين. خرج من الصالون وهو مرتاح وفرحان بالستيل الجديد ديالو. ",Moroccan
556, ملي توصل تماك سول شي حد آخر، عافاك. وملي وصل، لقا الساحة عامرة بالناس. تزعزع شوية فاللول ولكن تفكر فالنصيحة. سول واحد الشايب سمح، لي دار ليه بسمة ودلو على البلاصة اللي كيقلب عليها. ,Moroccan
557, فنهار مشرق، واحد الراجل سول على أسرع طريق باش يمشي لسان فرنسيسكو. شي واحد دلو على طريق الساحل اللي كاين فيه مناظر زوينة. وهو كايسوق، حس بالفرحة حيت اختار هاد الطريق اللي جايب الراحة. وأخيرا، وصل للوجهة ديالو بعد رحلة ممتعة ومريحة. ,Moroccan
558," فواحد من الفنادق العتيقة، الزبون سول الموظف بأدب ""واش نقدر ناخد المفتاح ديال البيت نمرة جوج خمسطاش؟"" بابتسامة، عطاه الموظف المفتاح وقاليه على الخدمة ديال الغرف لي كاينة. الزبون حس بالراحة والأمان منين دخل للغرفة الكبيرة ومرتاحة. وفي الصباح، شكر الزبون الموظفين على الضيافة الزوينة وعاود ليهم بللي غادي يرجع مرة أخرى. ",Moroccan
559," فنهار زوين والشمس طالعة، فاطمة مشات للحديقة باش تبرع بالجو. تماك، لقات واحد كيشد بكاميرا بروفيسيونال. فاطمة دارت عندو وقالت بلطف ""سمح ليا، واش يمكن ليك تصور ليا شي بورتريهات؟"" الولد تبسم وقبل، وصور ليها شي صور زوينين خلات نهارها فرحان. ",Moroccan
560, غير دوّن رقم البيت ووقّع هنا. وملي سالا السيد، شاف في الموظف بالخلعة. ما كانش عارف أنه الإمضاء ديالو غادي ينقلو لعالم غريب. لقى راسو في بيت مليان بالألغاز خاصو يحلهوم باش يرجع. ,Moroccan
561," فدكان ديال الحوايج، أحمد شرى قميجة جديدة ولكن شاف أن القياس ماشي مناسب. دار للدكان وقال للبائع: ""اللون مزيان، ولكن القياس ماشي صحيح. واش ممكن تبدلها ليا فوقت قصير؟"" البائع قبل وعده بالتبديل ديال القميجة بالقياس الصحيح. أحمد حس بالفرحة حيت الخدمة كانت سريعة وما تعطلش. ",Moroccan
562, غادي نكونو كنتسناو فيك في داك النهار. وملي توصل، غادي تلقى عندنا مفاجأة كبيرة مجهزينها ليك. غادي تدير الفرحة معانا بأجمل الأوقات، والذكريات لي غادي نصنعو مع بعضنا غادي تبقى ديما فالبال. ,Moroccan
563, عندنا لي يكفينا نبقاو لمدة يومين. ولكن، الجماعة قررو يقلبو على موارد أكل زيادة. فالطريق، لقاو شجرة معمرة بالفواكه. حسو بالشكر وتمناو يكون الأمور غادي تتحسن. ,Moroccan
564, ما قادرش نفهم هاد الشي. علي مشا عند الطبيب باش يسولو على الحالة ديالو. الطبيب فسر ليه المشكل بطريقة ساهلة. علي رجع لدارو مرتاح وفاهم كلشي. ,Moroccan
565," كان يحيى مسافر بعيد على بلادو، وتهت في واحد الوقت. سول راسو ""كيفاش نقدر نرجع مرة أخرى لبلاصة لي بغيت نمشي ليها؟"" دار معاه خريطة قديمة لقاها في صاكو، وبشوية ديال الجهد عرف يلقى طريق الرجوع. ",Moroccan
566," كان كاين واحد التاجر كيسول محاسب ديالو: ""واش هادشي معفي من الضرائب؟"" جاوبو المحاسب أن القانون كيعفي بعض السلع. هكذا قرر التاجر يكبر في تجارة السلع اللي معفية باش يزيد فالربح ديالو. ومع الوقت، ولا تجارتو هي الأكثر نجاح في المدينة. ",Moroccan
567, الفرقتين كانو متعادلين، والوقت كيدوز. يلاه، خاصهم يلعبو دورات إضافية باش يساليو التعادل. اللاعبين عطاوها بزاف، والجمهور كان كيشجع بالزاف. وفالأخير، أحمد سجل الهدف لي حسم اللعبة وسالا بانتصار شهي. ,Moroccan
568, كان كاين شاب بغا يطول النهار لـ ٢٤ ساعة. قضا وقتو كيقلب على كيفية يقدر يوصل لهاد الشي. فالأخير لقا ساعة سحرية لي تعطيه اللي بغا. ولا كيعيش نهارو بفرح، ولكن تعلم بلي الوقت باقي ثمين. ,Moroccan
569," فواحد النهار، الأستاذ طلب من التلامذ يهجيو كلمة ""مغامرة"". يوسف شد الراية وبدا كيهجي الكلمة بثقة. وملي سالا، الأستاذ صفق ليه معجب بالقدرة ديالو على الهجاء. يوسف حس بالفخر، والتلامذ الآخرين تزاد عندهم الحماس وشاركو بجدية. ",Moroccan
570, مشا أحمد للحانوت باش يشري شي حوايج. ملي سالا، البياع عطاه الفاتورة. خود هاد الدرهمين، قال أحمد، وخلي الباقي ليك. البياع شكره على سخاوته وودعو بالضحكة. ,Moroccan
571," خالد كان جوعان بزاف، سول مّو: ""إمتى غادي يكون الغدا؟"" دّيك الساعة دارت ليه ابتسامة وقالت ليه: ""غادي يكون واجد فنص ساعة يا ولدي."" حتى يجي وقت الغدا، خالد بقى فالجردة كايقرا فكتابو اللي كايعجبو. وملي جا الوقت، مّو نادت عليه ولقى الطابلة معمرة بألذ الأطايب. ",Moroccan
572," كان هناك واحد بغا يشري طوموبيل جديدة، ولكن ملي شاف الثمن قال ""سمح ليا، هادشي بزاف عليا"". حتى هو قرر يصاوب طوموبيلتو القديمة. بعد التصليح، ولات الطوموبيل كدايرة بحال جديدة. وعرف باللي القيمة ماشي غير فالجديد، ولكن فيما كيخدم مزيان. ",Moroccan
573, بديت سفرتي بكري باش نوصل لساحة يونيون، ولكن صعب عليا نعرف الطريق. سولت شي واحد من الناس اللي كانوا غاديين وهو دلني بالزين على الطريق الصحيح. ومورا ما مشيت بزاف، وصلت للساحة وأنا فرحان حيت ما تعطلتش. ,Moroccan
574, ف نهار شمسي، أحمد قرر يكري طوموبيل باش يشوف المدينة. يقدر يسول ف مكتب الكراء اللي تماك. مورا ما دار بزاف ديال البلايص وتمتع، لقى أحمد شي مطعم بلدي باش يتعشى. سالا نهارو بواحد القصة زوينة يحكيها لصحابو. ,Moroccan
575, ماجد ولينا مشاو يجمعو الأغراض لي طلبو منهم. شدو الكيسان الثقال بزز. وصلو لعمال النظافة وعطاوهم الحوايج. شكروهم العمال على المساعدة وتبسمو. ,Moroccan
576, واحد النهار، قررت نمشي نقضي عطلة في الجبال. لقيت راسي كنتنشق هوا صافي وكنتمتع بمنظر الطبيعة الزوينة. وأنا كندور، تلاقيت مع شي فلاحين خوتنا عزموني على أتاي. حسيت بفرحة كبيرة وتمنيت العطلة ماتساليش. ,Moroccan
577, لا . كانخطط نمشي لباريس فطريق الرجوع لبلادي . غادي نستغل الفرصة باش نشوف برج إيفل ونتمشى حدا نهر السين. غادي نقلب على ألذ الأكلات الفرنسية ونذوق النكهات المحلية. فالأخير، غادي نشري الهدايا التذكارية للعائلة والأصحاب. ,Moroccan
578, كان أحمد كيفكر إمتى يدير أختو معاه فالسفر ديالو للقاهرة. غادي تاخدها معاك ولا خاصنا نبعثوها؟ سولاتو مو بالقلق. فالأخير، قرر أحمد يديها معاه باش تستمتع بالمغامرة. وهاكاك، السفرة ولات أحسن بزاف بوجودها. ,Moroccan
579, لاحظ محمود كيفاش كثرت البرامج ديال الطبخ فالتلفزة. قرر يولي واحد من دوك الطباخين لي كيشهرو وبدا يتعلم الطبخ بجهد. تعلم مزيان وصفات من كل بلاصة فالعالم. وفالأخير، تمكن يطلع فواحد البرنامج التلفزيوني معروف ويوري الناس شنو درس. ,Moroccan
580, وقعات شي حادثة ماتتوقعش من شي ست ساعات. كان شي حرامي كيحاول يدخل يسرق شي دار فالحومة القديمة. ولكن الجار كان فايق وشاف الحركة الغريبة. داير الاتصال بالبوليس دغيا، وتشد الحرامي بسرعة. ,Moroccan
581, الرحلة ديال دلتا نمرة واحد واحد جوج طارت موعد الركوب ديالها. المسافرين تسناو في القاعة بتوتر كبير. مع الوقت لي كيدوز، بداو الأعصاب ديالهم تتوتر. الشركة علنات على وقت جديد للإقلاع. فالأخير، الجميع طلع للطيارة وبدات الرحلة. ,Moroccan
582," في واحد الليلة شتاء، واحد المرا دقات على باب الفندق وسولت البواب ""واش يمكن ليك تعطيني جوج لليلة؟"" البواب تبسم وقال ليها ""أكيد، يمكن لينا نعطيوكم شي غرفة دوبل"". المرا عطاتو الشكر وقالت ليه بللي هي وراجلها كيحتافلو بعشر سنين ديال زواج. فالصباح لي بعدو، خلات المرا ورقة شكر عند الاستقبال وغادرات الفندق مع راجلها وكان باين عليهم الفرح والرضا. ",Moroccan
583, فوقت من الصيف شاد شوب، السي خالد كشف بللي شركة ديالو للتأمين تعرضات لسرقة. طلع ليه الدم وقرر يبلغ البوليس بلا تأخير. بعد التحقيق، تبين بللي الموظف الجديد هو لي دار السرقة. السي خالد استرجع الفلوس لي تسرقو وحس بالامتنان للبوليس لي جاو سريع. ,Moroccan
584, حيت أنني ماشي ماهر بزاف في استعمل الكاميرا، قررت نشري وحدة جديدة ساهلة فالاستعمال. من بعد ما دورت وقارنت، لقيت النوع لي كيجاوب ليا. النتائج كانو مدهلين، قدرت نصور صور زوينة بلا مجهود. وبهاد الكاميرا، ولى التصوير هوايتي المفضلة وتحسنت فيه بزاف. ,Moroccan
585," واحد الشاب اللي كان غادي لنيويورك وصل لمحطة معطل وما عارفش واش هادا هو الرصيف الصحيح. سول واحد السيد: ""واش هذا هو الرصيف لنيويورك؟"" الراجل ضحك وقاليه آه وشير ليه للقطار لي كان غادي يمشي. الشاب حس بالراحة وركب القطار فلحظة الأخيرة، متوجه لمغامرتو الجديدة في نيويورك. ",Moroccan
586, فنهار شمسي زوين، أحمد قرر يستاغل عطلتو ويمشي للبلاج. استمتع بعطلتك، گالت ليه أمو ملّي كانت كتودعو. فالبلاج، درا قصر رملي كبير وشارك فماتش كورة الطاير. رجع لدار مع شعور ديال الفرحة والراحة لي كان كيتسنى. ,Moroccan
587, كان كاين راجل بغا يجيب شي شاش باش يصلح خيمتو. مشى للسوق باش يلقى شي بائع مختص. لقى الشاش لي بغا وبثمن مزيان. شراه ورجع يصلح الخيمة بيديه. ,Moroccan
588, كان كاين واحد مجوع بزاف، قرر يطلب بطاطا مشوية من المطعم اللي كيعجبو. وملي وصلات البطاطا، لقاها مغطية بكريمة حامضة لذيذة. استمتع بكل قضمة، وحس برضى كبير. ومن ديك الساعة، ولات البطاطا المشوية الأكلة المفضلة ديالو. ,Moroccan
589, كان كاين شي واحد كيشوف في ساعتو كل عشر دقائق وهو مضطرب بزاف. كان كيتسنى موعد مهم غادي يبدل حياتو. مع دوزان الوقت، بدا يحس بالقلق كيتزاد. أخيراً، جا الشخص لي كان كيتسناه والراجل تبسم بارتياح. ,Moroccan
590," الشاب دخل لقهوة كيجوع وقال للسرباي: ""بغيت واحد هامبرجر وواحد شيز برجر، عافاك"". وهو كيتسنى، جا صاحبو القديم جلس معاه فوق الطابلة ودارو حديث. ضحكو بالزاف وكلو مع بعضياتهم بفرحة، حيت الأكل كيجمع الأصدقاء ديما. ",Moroccan
591," أحمد مشى للأستوديو بكري باش يصاوب صور الفيلم. المدير سولو: ""شحال كتاخد باش تصاوب صور الفيلم؟"" جاوب أحمد بثيقة: ""كناخد مية دولار لكل ساعة خدمة."" المدير قبل مباشرة ومدح في خدمة أحمد. ",Moroccan
592, كل واحد فينا باغي يخلص على وجبتو. فنهار، قررت شي جماعة ديال صحاب يمشيو لشي مطعم فاخر. ملّي سالاو من الأكل، كل واحد فيهم تسابق باش يخلص الحساب. وتقلب الموقف لموقف محرج بزاف وهوما كيتسابقو يجبدو المحافظ ديالهم. ,Moroccan
593, أحمد فاق بكري باش يخلص الفاتورة بحال ما وعد. لقا الزناقي خاويين والجو بارد. دخل الحانوت وعطى الفلوس للبايع بابتسامة. حس براحة حيت نفذ الوعد ديالو. ,Moroccan
594," كان أحمد غادي للسوق باش يشري شوية ديال الضروريات. فالطريق تلاقى مع جارو محمد، وباش يوفرو فالوقت، محمد عرض عليه يمشيو معا. أحمد ضحك ووافق، وقال ""راني غادي لتماك، حتى أنا. واش ما نديروش طاكسي معا؟"". وهكاك دازو الطريق كيتجاذبو الأحاديث. ",Moroccan
595," جا خالد لدار صاحبو أحمد وتوصل بترحاب حار. ""تفضل الكرسي وخود راحتك. بغيتي نجيب لك شي حاجة تشرب؟ قهوة، أتاي ولا سودا؟"" قال أحمد بابتسامة. خالد اختار القهوة الفاخرة وقعدو يهدرو على أيام الزمان. سالا اليوم بإحساس قوي ديال الصحبة والمعزة. ",Moroccan
596," فنهار مشرق، الولد قال لمه: ""هاد الشي زوين منك باش تگولي هاكا"". الأم ضحكات بحنان وعنقاتو بقوة. الولد حس بالفرحة والأمان فحضن مه. ومن ديك الساعة، واعدين راسهم يبقاو ديما كيشاركو المشاعر الزوينة. ",Moroccan
597, البلاصة كانت فوق كرسي فالرواق. واحدة مدام لقات صاك جلدي تْخلى مور الكرسي. صوتت على الگاردي باش يتسائل على مول الصاك. شي ساعات وجا واحد كيجري كيقلب على صاكو اللي تفقد وشكر الناس كاملين على نزاهتهم. ,Moroccan
598, فواحد الريسطوران فخم، أحمد طلب طبق ديال اللحم البقري المشوي. وهو كيتسنى، شم ريحة البزار اللي خارجة من الكوزينة. الكارسون جاب الطبق لي توجد بالزربة، وملي ذاق أحمد اللحم، سد عينيه كيتمتع بالطعمة الزوينة. أحمد عطا شي بكشيش مزيان شكراً للكوك على مهارتو العالية. ,Moroccan
599," كولشي فدار كان كيوجد باش يستقبلو الضياف. الأم دارت الطياب والحلويات، والبا كان كيزوق الصالون. الجدة سولت بفضول: ""غادي تكون المائدة واجدة؟"" جاوبو كاملين بصوت واحد: ""إيه، غادي تكون واجدة فالوقت لي حددنا"". ",Moroccan
600, هيي بآخر الصالة. رح جيبلك شوي منها هلق. إذا بدك شي تاني بس خبرني. ولما رجعت، لقتو ترك المكان من دون ما يودعها. حست بحيرة وقلق، كانت جايبتلو هديتو يللي بيحبا. بلشت تدور عليه بكل أنحاء البناية، بتنادي ع اسمو بصوت عالي. وأخيرًا، لقتو بالحديقة عم يطلع عالنجوم، ابتسمت وعطتو الهدية. ,Lebanese
