MSA,Moroccan,lang
" في يوم مشمس، قررت ليلى شراء كتاب من الإنترنت. حينما استفسرت عن السعر، أخبرها البائع: ""حسنا، إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص"". فضلت ليلى خيار التوصيل الخاص لسرعته. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدأت في قراءته بحماس. "," فنهار شمشي، ليلى بغات تشري كتاب من الانترنت. ملي سولات على الثمن، البايع قال ليها: ""مزيان، غادي يكلفك خمسة وتمانين دولار في البريد العادي وتلاتة دولار في التوصيل الخاص"". ليلى اختارت التوصيل الخاص باش يوصل بالزربة. بعد تلاتة أيام، تسلمات ليلى الكتاب وبدات تقرا فيه بشوق. ",Moroccan
" في يومٍ مشمسٍ، قرر أحمد أن يذهب في رحلة بحرية، فتوجه إلى الميناء وسأل الصياد: ""هل يمكن أن أؤجر قارب ليوم؟"" وافق الصياد وأعطاه مفاتيح القارب الصغير. استمتع أحمد بيومه مبحراً بين الأمواج، وعاد مع غروب الشمس وقلبه مليء بالسلام. "," ف نهار شمسي، أحمد قرر يدير رحلة بحرية، مشا للميناء وسول الصياد: ""واش ممكن نكري قارب لنهار؟"" الصياد قبل وعطاه المفتاح ديال القارب الصغير. أحمد استمتع بنهارو كيتمشى بين الأمواج، ورجع مع غروب الشمس وقلبو مليان بالسلام. ",Moroccan
" عند أي نافذة يمكن أن أقوم بعمل الحجز؟ قالت المرأة بحيرة وهي تقف في الطابور الطويل. رد عليها الموظف بابتسامة، ""النافذة رقم خمسة يمكنك من خلالها إتمام حجزك."" وعندما وصلت إلى النافذة المحددة، وجدت أن الموظف كان صديقا قديما لها. فرحت كثيراً باللقاء المفاجئ وأنجزت حجزها بسهولة ويسر. "," فين يمكن ليا ندير الريزيرڤاسيون؟ سولات المرا بتحيّر وهي واقفة في الطابور الطويل. العامل تبسم وقال ليها ""الشباك نمرة خمسة تقدري ديري فيه الريزيرڤاسيون ديالك."" مللي وصلات للشباك لي قال ليها، تفاجأت بلي العامل كان صاحب قديم ديالها. فرحت بزاف بالموقف لي وقع وسالات الريزيرڤاسيون ديالها بكل سهولة. ",Moroccan
" وجد علي صندوقاً قديماً في العلية. تساءل بفضول ""ما هذا؟"". عند فتحه، اكتشف مجموعة من الرسائل القديمة. كانت الرسائل مليئة بقصص الأجداد ومغامراتهم. "," علي لقى صندوق قديم فوق في السطاح. قال بالفضول ""شنو هادا؟"". ملّي فتحو، لقى مجموعة ديال الرسايل القديمة. الرسايل كانوا عامرين بقصص الأجداد ومغامراتهم. ",Moroccan
" في يوم مشمس، سأل رجل عابر امرأة في الشارع، ""هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا؟"" فأجابته السيدة بابتسامة وأشارت إلى طريق مزدحم يؤدي إلى المكان المطلوب. وبينما كان يسير، أخذ يتأمل العمارات العالية والشوارع النظيفة. وصل الرجل في النهاية إلى الأوبرا، شاكرًا تلك السيدة في قلبه على مساعدتها. "," فنهار مشرق، واحد السيد سول واحد المرأة ف الزنقة، ""واش ممكن تقولي كيفاش نمشي للأوبرا؟"" جاوباتو بابتسامة وراتو طريق عامر بالناس لي غادي يوصلو للمطلوب. مشا كيتأمل في العمارات لكبار والزناقي لنقاو. في الأخير وصل للأوبرا، كايشكر فقلبو المرأة لي عاوناتو. ",Moroccan
 في الليلة الماضية، كان خالد مخموراً بدرجة كبيرة. تعثر في طريقه إلى المنزل وأسقط مفاتيحه. في الصباح، استيقظ بصداع شديد ولا يتذكر ما حدث. شعر بالندم وقرر ألا يشرب الكحول مجدداً. , البارح، خالد كان شارب بزاف. في طريقو للدار، تعتر وطاحت منو المفاتيح. في الصباح، فاق بصداع خايب وما عقلش شنو وقع. حس بالندامة وعاهد راسو ما يعاودش يشرب. ,Moroccan
" في يوم مشمس، ذهب خالد إلى المتحف الوطني. وجد على الباب لافتة تقول ""من فضلك اتبع التعليمات الصادرة من موظفينا"". داخل المتحف، التقى بمرشد ذكي أخبره بتاريخ القطع الأثرية. استمتع خالد بيومه وعاد إلى منزله مليئًا بالمعرفة والذكريات الجميلة. "," فنهار مشرق، خالد مشى للمتحف الوطني. لقا فالباب علامة كاتقول ""عافاك تبع التعليمات اللي كايعطيو الموظفين ديالنا"". جوا المتحف، خالد تلاقى بمرشد فهيم قال ليه على تاريخ القطع الأثرية. خالد استمتع بنهارو ورجع لدارو معمر بالعلم والذكريات زوينة. ",Moroccan
 في يوم من الأيام، سأل رجل عابر السبيل عن محل متعدد الأقسام بالقرب من المنطقة. فأشار له المارة إلى متجر كبير خلف الساحة العامة. وعندما وصل، وجد كل ما يحتاجه من مستلزمات. شعر بالسعادة لأنه وجد مكاناً يلبي كافة احتياجاته. , واحد النهار، شي حد سول على واحد المحل كبير فيه كلشي حدا المنطقة. الناس دلوه على محل شمكار مورا الساحة العمومية. مللي وصل، لقا كلشي باغي. فرح بزاف حيت لقى بلاصة كتجاوب على كلشي بغا. ,Moroccan
 املأ خزان الوقود من فضلك ؛ فالطريق طويل أمامك. وعندما أكملت المهمة، وجدت نفسي في قلب الصحراء. بلا أنيس سوى النجوم، أدركت قيمة الرفيق. ومع بزوغ الفجر، بدأت رحلة البحث عن واحة الأحلام. , عمر لي الرزروار ديال الصّبان عافاك؛ راه الطريق بعيدة قدامك. وملي ساليت الخدمة، لقيت راسي فقلب الصحراء. مكينش لي يصاحبني غير النجوم، حسيت بثمن الرفيق. ومع طلوع النهار، بديت الرحلة باش نلقى واحة الأحلام. ,Moroccan
 في أحد الفنادق القديمة، سأل مسافر عن تكلفة الإقامة. هل يوجد غرفة بسعر أرخص ؟ فأجابه البواب بأن هناك غرفة بسعر معقول لكنها بدون نافذة. وافق المسافر مرغماً وقضى ليلة هادئة في الغرفة الصغيرة. , فواحد من الفنادق القديمة، واحد السياح سول على ثمن الإقامة. واش كاينة شي حجرة بثمن أرخص؟ جاوبو البواب وقال ليه عندنا حجرة بثمن مناسب ولكن بلا شرجم. السياح وافق بالضرورة ودوز ليلة هانية فالحجرة الصغيرة. ,Moroccan
 أفضل سيارة بها نظام إلي لنقل الحركة، وهذا ما جعل أحمد يقرر شراءها. , كانت رحلاته أسرع وأكثر راحة. ,Moroccan
 سأقيم في مسكن الطلبة الخاص بجامعة هارفارد. سأستغل هذه الفرصة لأتعرف على ثقافات جديدة وأصدقاء من مختلف البلدان. ستكون الدراسة صعبة لكني مستعد للتحدي. وأخيرًا، أتمنى أن تساهم هذه التجربة في تحقيق أهدافي المستقبلية. , غادي نسكن في دار الطلبة ديال جامعة هارفارد. غادي نستغل هاد الفرصة باش نتعرف على ثقافات جديدة ونصاحب ناس من بلدان مختلفة. القراية غادي تكون صعيبة ولكن أنا مستعد للتحدي. وفالأخير، كنتمنى هاد التجربة تعاوني نحقق أهدافي المستقبلية. ,Moroccan
" في الصباح، استفسر أحمد عن سعر الصرف قائلاً ""ما هو سعر الصرف اليوم؟"" فأجابه الصراف بأن العملة قد ارتفعت قيمتها. شعر أحمد بالسعادة لأنه كان ينوي تحويل مبلغ كبير. وبعد إتمام التحويل، خرج مبتسماً من مكتب الصرافة. "," فالصباح، أحمد سول الصراف ""شحال هو سعر الصرف اليوم؟"" الصراف قال ليه بللي العملة طلعت فالقيمة. أحمد فرح حيت بغا يبدل مبلغ كبير. وملي سالا التحويل، خرج كيضحك من مكتب التصريف. ",Moroccan
 كان يوسف يعاني من الربو منذ الطفولة، وكانت نوبات الأزمة تهاجمه بشكل مفاجئ. في يوم من الأيام، تعرض لنوبة شديدة أثناء تواجده في المدرسة. استدعى المعلمون الإسعاف، وتم نقله إلى المستشفى. منذ ذلك الحين، حرص يوسف على حمل بخاخ الربو معه أينما ذهب. , يوسف كان كيعاني من الربو من نهار كان صغير، وكانت الكابوس ديال الأزمة كتجيه بلا موعد. شي نهار، جات ليه واحد النوبة خايبة وهو ف القراية. الأساتذة صوناو للإسعاف، ودوه للصبيطار. من ديك الساعة، يوسف ولا ديما كيجيب معاه البومبة ديال الربو فينما مشى. ,Moroccan
 معي حوالي ثلاثة آلاف دولاراً، فقررت أن أستثمرها في مشروع صغير. بدأت بمحل لبيع الحلويات في الحي. سرعان ما اشتهر المحل بجودة منتجاته. وبعد عام، تمكنت من فتح فرع ثاني. , عندي حوالي تلاتة الاف دولار، قررت نستثمرهم في مشروع صغير. بديت بدكان لبيع الحلويات فالحومة. دغيا ولا الدكان معروف بجودة ديالو. ومن بعد عام، قدرت نفتح فرع ثاني. ,Moroccan
" في مطعم راقٍ، جلس أمير يتأمل القائمة بشغف. حين اقتربت النادلة، سألته عن اختياره للطعام. أجاب أمير بحيرة: ""حسناً، سيدي. فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم، أيهما تحب؟"" بتفكير عميق وابتسامة، اختار أمير الأرز بالتوابل واللحم متخيلاً النكهات الغنية التي ستداعب حاسة التذوق لديه. "," فواحد الريستوران شيك، أمير كان جالس كيتأمل فالميني. مللي جات السرباية، سولاتو شنو باغي ياكل. جاوب أمير بشوية ديال الحيرة: ""أوكي، سيدي. جابت ليا السرباية خيارين، فريت أو رز بالتوابل واللحم، واش ندير؟"" بعد شوية ديال التفكير وابتسامة، اختار أمير الرز بالتوابل واللحم كيتخيل الذوق الغني للي غادي يدوق. ",Moroccan
" ذهب أحمد في رحلة إلى مدينة غريبة وتاه عن طريقه. سأل رجلاً في الشارع: ""كيف أصل إلى ذلك المكان؟"" فأشار الرجل إلى الطريق الصحيح بلطف. وأخيرًا، وصل أحمد إلى وجهته بفضل المساعدة التي حصل عليها. "," مشى أحمد في رحلة لمدينة جديدة وتاه في طريقو. سول واحد فالزنقة: ""كيفاش نوصل لهاد المكان؟"" وباش ما كان، دلك الراجل على الطريق الصحيح بكل احترام. وأخيرا، وصل أحمد للوجهة ديالو بالشكر للمساعدة اللي تلاقا. ",Moroccan
 في يوم من الأيام، وجد الصياد قنينة عتيقة على شاطئ البحر. عندما فتحها، خرج منها جني وعده بثلاث أمنيات. فطلب الصياد السلامة لعائلته، وشباكًا لا تتمزق، وسفينة تبحر بلا توقف. ومنذ ذلك اليوم، عمّ الرخاء في حياة الصياد وأصبح مشهورًا بين الناس. , ف واحد النهار، لقا الصياد قرعة قديمة ف شاطئ البحر. ملي حلها، خرج منها جني وعطاه وعد بتلاتة أمنيات. الصياد طلب السلامة لعائلتو، وشباك ماكتتقطعش، وسفينة تمخر البحر بلا توقف. ومن داك النهار، عاش الصياد الرخاء وولا مشهور بين الناس. ,Moroccan
 كان هناك رجل يزور البحر كل يوم. في يوم من الأيام، وجد زجاجة قديمة مغلقة تحتوي على رسالة. قرأ الرسالة واكتشف أنها خريطة كنز. بحث عن الكنز ثلاث مرات حتى وجده. , كان كاين راجل كيمشي للبحر كل نهار. نهار من الأيام، لقا قرعة قديمة فيها ورقة. قرا الورقة وعرف بللي هيا خريطة ديال كنز. بحث على الكنز ثلاث ديال المرات حتى لقاه. ,Moroccan
" كان علي يبحث عن طوابع ليرسل رسالة. سأل أحد المارة: ""أي نافذة تبيع الطوابع؟"" فأشار الرجل إلى النافذة الثالثة. شكره علي واشترى الطوابع التي يحتاجها بسرعة. "," علي كان كيقلب على طوابع باش يبعت رسالة. سول واحد من الناس: ""أي نافذة كتبيع الطوابع؟"" الراجل دلو على النافذة التالتة. علي شكر الراجل وشرى الطوابع اللي بغا بسرعة. ",Moroccan
 بعد أن هاجمني، هرب في شاحنة بيضاء. قمت بإبلاغ الشرطة فوراً وبدأت في وصف الشاحنة والمهاجم. بحثت الشرطة في كل مكان وتمكنوا من العثور على الشاحنة متوقفة بالقرب من محطة الوقود. تم القبض على الجاني واستعدتُ أغراضي التي سُرقت. , بعد ما هاجمني، طلع فشاحنة بيضة وزاد. ديتلهم الخبار للبوليس وعاونتهم بوصف الطوموبيل والمهاجم. البوليس داروا البحث فكل بلاصة وعرفوا يجدو الطوموبيل واقفة حدا وقيت البنزين. شدو الجاني ورجعتلي الأغراض اللي تشفرو. ,Moroccan
" كان أحمد ينوي شراء هدية لأمه. حين وصل إلى المتجر، قدم له البائع قسيمة خصم. قال البائع ""حسنًا، من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار"". شعر أحمد بسعادة غامرة لأنه سيوفر المال ويشتري هدية مميزة لأمه. "," أحمد بغا يشري كادو لمّو. ملّي وصل للحانوت، البايع عطاه ورقة تخفيض. گال ليه البايع ""مزيان، عافاك حافظ على هاد الورقة ووريها ليا ملّي تختار"". حس أحمد بفرحة كبيرة حيت غادي يوفر الفلوس ويشري كادو مميز لمّو. ",Moroccan
" كان يحسب أن السوق بعيد، فقرر أن يستقل الحافلة. وعندما وصل، رأى الشيء الذي طالما رغب في شرائه. فكر في الأمر قليلاً وقال لنفسه: ""كنت سأشتري هذا إن كنت في مكانك"". وبلا تردد، أخرج محفظته واشترى الغرض مبتسماً. "," كان كيحسب بللي السوق بعيد، فقرر يمشي بالكار. وملي وصل، شاف الحاجة لي بغا يشريها من زمان. فكر شوية وقال لراسو: ""كون كنت فبلاصتك كنت غادي نشري هادشي"". وبلا تردد، خرج المحفظة ديالو وشرا الحاجة كيضحك. ",Moroccan
 كان لدى علي فاتورة يجب أن يدفعها بقيمة مائتي دولار. تساءل إن كان يجب عليه دفع المبلغ نقدًا فوريًا أم عبر البطاقات الائتمانية. قرر في النهاية استخدام بطاقته الائتمانية لجمع نقاط المكافآت. بعد الدفع، شعر بالراحة لأنه أدار أمواله بحكمة. , عند علي فاتورة خاصو يخلصها بميتين دولار. كان كيفكر واش يخلص كاش دابا ولا بالكارط كريدي. قرر فاللخر يستعمل الكارط ديالو باش يجمع النقاط ديال الهدايا. مورا ما خلص، حس بالراحة حيت مدبر فلوسو مزيان. ,Moroccan
" كان البحار قديماً يسأل: ""كم من الوقت تستغرق السفينة لعبور هذا المحيط؟"" وكان الجواب دائماً محاطاً بالغموض. في إحدى الرحلات، قرر أن يقيس الوقت بنفسه. أبحر لأيام وليالٍ حتى وصل إلى الشاطئ الآخر. وأخيراً، استطاع أن يخبر الناس أن الرحلة استغرقت ثلاثين يوماً بالضبط. "," البحار قديما كان كيسول: ""شحال من الوقت كتاخد السفينة باش تعبر هاد المحيط؟"" والجواب ديما كان مبهم. في واحد السفرية, قرر يجرب يحسب الوقت بوحدو. دار رحلة لأيام وليالي حتى وصل للشط الآخر. وأخيراً, قدر يقول للناس باللي الرحلة خدات تلاتين يوم بالضبط. ",Moroccan
" في يوم من الأيام، سأل مريض طبيبه: ""هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء؟"" فأجابه الطبيب بأنه يجب عليه الابتعاد عن الأطعمة الدهنية والحارة. وببداية فترة العلاج، شعر المريض بصعوبة في التأقلم مع النظام الغذائي الجديد. ولكن مع مرور الوقت، تحسنت صحته بشكل ملحوظ، وشعر بالامتنان لنصيحة طبيبه. "," شي نهار، واحد السيد سول طبيبو: ""واش خاصني نتجنب شي أنواع ديال الأكل ملي كندير هاد الدوا؟"" طبيبو جاوبو بلي خاصو يبعد من الأكل اللي فيه الشحمة والحرور. فبداية العلاج، لقى السيد صعوبة باش يتأقلم مع النظام الغذائي الجديد. ولكن مع الوقت، صحتو تحسنات بزاف وحمد الله على نصيحة طبيبو. ",Moroccan
 في يوم مشمس، دخل رجل إلى محل الأحذية متسائلاً عن أحذية حريمي عند أصابع القدم. البائع، بابتسامة عريضة، أومأ إلى الركن حيث تتلألأ تشكيلة واسعة من الصنادل الأنيقة. الرجل اختار زوجاً لزوجته بعناية فائقة، متأملاً في تفاصيل التصميم الرقيقة. وعندما عاد إلى المنزل، قدم الهدية لزوجته التي ارتسمت على وجهها ابتسامة الرضا والسعادة. , واحد النهار، دخل راجل لمحل ديال الجواكي كيقلب على صباط ديال العيالات لي كيكونو مفتوحين من القدام. البائع بتبسم ورا ليه البلاصة فين كاينة كولكسيون زوينة ديال الصندلات. الراجل اختار زوج صباط بعناية كبيرة لمرتو، كيشوف في النقشة الدقيقة ديالهم. وملي رجع لدار، عطا لمرتو الهدية وهي فرحانة بزاف وضحكة على وجها. ,Moroccan
" في أحد الأيام، قرر محمد السفر عبر الحدود لزيارة أقاربه. قبل الرحلة، سأل صديقه: ""هل ستواجهني أية صعوبات في الجمارك؟"" صديقه أكد له أنه إذا كانت أوراقه مكتملة فلن يواجه أي مشاكل. وعندما وصل محمد إلى الجمارك، مرّ بسهولة بعد أن قدّم جميع الوثائق المطلوبة. "," واحد النهار، محمد قرر يمشي للخارج باش يزور العائلة ديالو. قبل ما يتحرك، سول صاحبو: ""واش غادي نواجه شي مشاكل فالجمارك؟"" صاحبو قال ليه إلى كانت الأوراق ديالو كاملة ما غاديش يكون عندو مشاكل. ملي وصل محمد للجمارك، داز بلا مشاكل بعد ما ورا كلشي ديال الوراق لي طلبو منو. ",Moroccan
 في إحدى الحانات القديمة، طلب رجل من النادل بعض النبيذ الأحمر. وبينما هو يتذوق الرحيق الأحمر، دخلت امرأة ذات ملامح جميلة. نظر إليها مليًا وابتسم، فقد كانت صديقته القديمة التي لم يرها منذ سنوات. , فواحد البار العتيق، طلب واحد الراجل من السرباي شوية ديال النبيذ الحمر. وهو كيتذوق الخمرة، دخلات واحد البنت زوينة. شاف فيها مزيان وتبسم، عرفها صاحبتو القديمة لي ماشافهاش من الزمان. ,Moroccan
 أخبرني عندما نصل إلى المتحف. وعندما وصلنا، كان المتحف مغلقًا بسبب التجديدات. شعرت بخيبة أمل كبيرة، ولكن صديقي اقترح أن نتجول في الحديقة بدلاً من ذلك. في الحديقة، وجدنا معرضًا فنيًا مفتوحًا كان يعرض لوحات نادرة. ," 9oli lama nwaslo lmat7af. Mli waslna, lmat7af kan msadda 7it kaydiro fiyih tajdidat. 7asset b khayba kbira, walakin sa7bi 9al yallah nro7o n7awlo f l7dai9a bache nstanna. F l7dai9a, l9ina ma3rad fanni ftou7 kay3rad lw7at nadira. ",Moroccan
" في أحد الأيام، سأل محمود السائق: ""هل يذهب هذا الأتوبيس إلى فندق الشيراتون؟"" فأجابه السائق بابتسامة وقال: ""نعم، اصعد وتفضل بالجلوس."" خلال الرحلة، تعرف محمود على مسافرين من مختلف الجنسيات. وبعد وصوله، شكر السائق وتمنى له يومًا سعيدًا. "," فواحد النهار، محمود سول الشيفور: ""واش هاد الكار هو كايمشي للفندق شيراتون؟"" الشيفور تبسم وقال ليه: ""أه، طلع معانا وتفضل اجلس."" فالطريق، محمود تعرف على ناس من جنسيات مختلفة. وملي وصل، شكر الشيفور وتمنى ليه نهار زوين. ",Moroccan
" في يوم ما، تساءل خالد عن نتائج جهوده. ""إلى أي شيء وصل ذلك الأمر؟""، قال وهو ينظر إلى الأفق. بعد عام، أصبحت فكرته مشروعًا ناجحًا. وأدرك أن الصبر والمثابرة هما مفتاح النجاح. "," فواحد النهار، خالد بدا يتساءل على نتائج خدمتو. ""واش هاد الشي وصل لشي حاجة؟""، قال و هو كيشوف فالأفق. من بعد عام، ولات فكرتو مشروع ناجح. وعرف بلي الصبر والاجتهاد هما سر النجاح. ",Moroccan
 كان الجو حارًا ذلك اليوم، وشعرت بالضيق في الغرفة. إنه ساخن بدرجة بسيطة. هل يمكن أن أفتح النافذة؟ سألت وأنا أنظر إلى زملائي في الصف. وبمجرد أن فتحتها، هبت نسمة منعشة جعلتنا جميعًا نشعر بالراحة. , كان الجو شاد حرارة هاد النهار، وحسيت بشوية ديال الحبسة فالبيت. راه سخون شوية. واش يمكن ليا نحل الشرجم؟ سولت وأنا كنشوف فصحابي فالقسم. وملي حليتو، دخلات نسمة ديال الهوا لي خلاتنا كاملين نتنفسو باراحة. ,Moroccan
" في يوم من الأيام، كان هناك رجل يملك دشاً واحداً في بيته. دائماً ما كان يقول لأولاده ""فقط دش يكفي"". ولكن في أحد الأيام، تعطل الدش وأصبح الجميع في حيرة من أمرهم. في النهاية، اضطروا إلى الاستحمام بدلو الماء حتى يتم إصلاحه. "," فنهار من الأيام، كان هناك راجل عندو دوش واحد في دارو. ديما كان كيقول لولادو ""غير دوش واحد يكفي"". ولكن فنهار، الدوش تخربق وجميع تحيرو. فالأخير، خاصهم يدوشو بالطاسة حتى يتصلح. ",Moroccan
 عيني محمرة قليلا لأنني قضيت ساعات طويلة أمام الكمبيوتر. شعرت بالتعب والإرهاق بعد يوم عمل شاق. قررت أن أخذ استراحة وأذهب للتنزه في الحديقة. هناك، التقيت بصديق قديم وتبادلنا أطراف الحديث. , عينيا حمرين شوية حيت بقيت ساعات طوال كنخدم قدام الكمبيوتر. حسيت بالتعب والعياء بعد نهار ديال الخدمة الصعيب. قررت ناخد وقت ديال الراحة ونمشي نتسارى فالحديقة. تماك، تلاقيت مع صاحب قديم ودردشنا شوية. ,Moroccan
 لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة. وافق النزيل على الاقتراح وشعر بالراحة في الغرفة الواسعة. في الصباح، استيقظ على صوت العصافير وأشعة الشمس الدافئة. تناول فطوره وهو يتأمل جمال الحديقة من نافذته. , لا، واش يمكن ليا نقترح عليك تاخد غرفة فيها جوج نمرات للاستعمال الشخصي؟ عندنا وحدة هاكا. الزبون وافق وحس بالراحة فالغرفة الكبيرة. فالصباح، فاق على صوت العصفور ودفء الشمس. كلا فطورو وهو كيشوف زين الجردة من شرجمو. ,Moroccan
" لم يكن لدى سامر أي خيار سوى المحاولة. قال لصديقه بتصميم: ""لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا."" وبالفعل، بدأوا في العمل معاً من أجل حل المشكلة. في النهاية، تمكنوا من تحقيق نجاح غير متوقع. "," سامر ما عندو حتى خيار آخر غير أنه يجرب. قال لصاحبو بإصرار: ""ما نقدرش نضمن ليك هادشي، ولكن غادي نديرو كل جهدنا."" داروا الخدمة مع بعضياتهم باش يحلو المشكل. وفالأخير، توفقوا وحققو نجاح ما كانش متوقع. ",Moroccan
" في أحد الأيام، قررت ليلى أن تغير من مظهرها فذهبت إلى صالون التجميل. وقالت للمصفف: ""أريد تمويج متقارب لشعري، من فضلك"". بعد ساعات من العمل الدقيق، انعكس جمال شعرها المتموج في المرآة. خرجت ليلى من الصالون وهي تشعر بالتجديد والثقة بالنفس. "," واحد النهار، ليلى قررات تبدل شكلها ومشات لصالون ديال الزين. وقالت للكوافير: ""بغيت ندير تموج مقرب لشعري، عافاك"". بعد سوايع ديال الخدمة الدقيقة، ليلى شافت الزين ديال شعرها المجعد فالمرايا. خرجات ليلى من صالون وهي كتحس بالتجديد والثقة فنفسها. ",Moroccan
 كان البحر إلى الأسفل من بعيد. وقفت ليلى تنظر إليه بشوق، فقد طال انتظارها لتلك اللحظة. أخذت نفساً عميقاً وبدأت بالهبوط نحو الشاطئ. ومع كل خطوة، زادت دقات قلبها ترقباً للموج الهادئ. , كان البحر تحتاني من بعيد. ليلى واقفة كتشوف فالموج بحنين، منتظرة هاد اللحظة بزاف. دارت نفس عميق وبدات تهبط للشاطئ. مع كل خطوة، قلبها كيزيد يضرب بشوق للموج الهاني. ,Moroccan
 هي تريد بيرة، فذهبت إلى البار المجاور. وجدت البار مزدحمًا للغاية. تحدثت مع النادل وطلبت بيرة خاصة. استمتعت بشربها وهي تستمع للموسيقى الحية. , بغات بيرة، مشات للبار لي حداهم. لقاتو عامر بنادم بزاف. هضرت مع السرفور وطلبات بيرة خاصة. استمتعات بيها وهي كتسمع للموسيقى مباشرة. ,Moroccan
 كان محمود يعاني من آلام شديدة في البطن، فذهب إلى الطبيب الذي أخبره أنه بحاجة إلى إجراء عملية. شعر بالقلق لكنه قرر أن يثق بالطاقم الطبي. بعد العملية، استيقظ محمود وقد زالت الآلام تمامًا. شعر بالامتنان للأطباء والممرضين الذين اعتنوا به. , محمود كان كيعاني من ألم شديد في كرشو، مشا عند الطبيب اللي قال ليه خاصو يدير عملية. حس بالخلعة ولكن قرر يثق فالطاقم الطبي. بعد ما دار العملية، فاق محمود بلا ما يحس بالألم. كان ممتن بزاف للأطباء والممرضين اللي عتنو بيه. ,Moroccan
" ذهب أحمد إلى السوق ليشتري بعض الطعام. وجد أن سعر البيض قد ارتفع، لكنه قرر شراء المزيد منه. عندما عاد إلى المنزل، قالت أمه بابتسامة: ""المزيد من البيض من فضلك."" فابتسم أحمد وأخرج البيض الذي اشتراه. "," مشى أحمد للسوق باش يشري شي حوايج للأكل. شاف بلّي ثمن البيض طلع، ولكن قرر يشري مزيد. فاش رجع لدار، مّو قالتلو بابتسامة: ""زيدنا من البيض عافاك."" أحمد تبسم وجبد البيض لي شرا. ",Moroccan
" كان أحمد يريد الذهاب إلى سنترال بارك للقاء أصدقائه. سأل أحد المارة: ""أين محطة الأتوبيس المتجه إلى سنترال بارك؟"" أرشده المارة إلى المحطة الصحيحة وأخبروه أن الأتوبيس سيأتي بعد خمس دقائق. شكر أحمد المارة وانتظر الأتوبيس الذي وصل في الوقت المحدد. "," أحمد بغا يمشي لسنترال بارك باش يتلاقى مع صحابو. سول واحد من الناس: ""فين غادي الباص لسنترال بارك؟"" الناس دلوه على لاستاسيون الصحيحة وقالوليه الباص جاي فخمس دقايق. شكر أحمد الناس وبقا كايتسنى الباص اللي وصل فوقتو. ",Moroccan
 في يوم ماطر، احتاج خالد إلى سيارة أجرة ليصل إلى مقابلة عمل مهمة. وجد سيارة أجرة بعد وقت طويل من الانتظار وتحت الأمطار الغزيرة. خلال الرحلة، شارك السائق قصصاً ملهمة عن النجاح بعد الفشل. وصل خالد إلى المقابلة في الوقت المناسب وملؤه الأمل والتفاؤل. , فنهار مطر، خالد كان محتاج لطاكسي باش يمشي لمقابلة خدمة مهمة. لقا طاكسي بعد ما ضرب الصبر وسط الشتا. فالطريق، الشيفور قال ليه قصص زوينة على النجاح بعد الفشل. وصل خالد للمقابلة في الوقت وعامر أمل وتفاؤل. ,Moroccan
 ها هو مفتاحك، يا سيدي. غرفة ستة وخمسون إثنى عشر. ابتسم الرجل شاكرًا وتوجه نحو الغرفة المذكورة. بعد دقائق من السير في الأروقة الطويلة، وجد الغرفة التي تحمل الرقم المطلوب. لكن عندما فتح الباب، وجد الغرفة مختلفة تمامًا عما توقع. كانت مليئة بالزهور والبالونات، وكان أصدقاؤه ينتظرونه هناك لمفاجأته بعيد ميلاده. , ها هو مفتاحك، سيدي. البيت ستة وخمسون اثنا عشر. الراجل تبسم بالشكر ومشى للبيت اللي قالولو عليه. بعد ما داز شوية في الرواق الطويل، لقا البيت اللي كيحمل النمرة لي بغا. ولكن، ملي فتح الباب، لقى البيت مخالف تماما للي كان كيتصور. كانت مليانة بالزهور والبالونات، وصحابو كانوا تما كيتسناوه باش يفاجئوه بعيد ميلادو. ,Moroccan
" كان هناك شاب يملك جاكتاً أنيقاً وكان يفخر به كثيراً. في يوم من الأيام، أثناء سيره في السوق، لاحظت فتاة جميلة الجاكت وقالت ""أحب الجاكت الخاص بك"". شعر الشاب بالسعادة لأن الجاكت قد جلب له إعجاب الناس. ومنذ ذلك الحين، أصبح الجاكت الخاص به رمزاً للحظ الجيد. "," كان هناك شاب عندو جاكيط شيك بزاف و كان فخور بيه بزاف. واحد النهار، و هو كيتمشى فالسوق، شافتو شي بنت زوينة و قالت ليه ""كنبغي الجاكيط ديالك"". الشاب حس بالفرحة حيت الجاكيط جاب ليه الإعجاب ديال الناس. و من ديك الساعة، الجاكيط ديالو ولا رمز ديال الزهر. ",Moroccan
