MSA,Yemeni,lang
" في يومٍ مشمسٍ، قرر أحمد أن يذهب في رحلة بحرية، فتوجه إلى الميناء وسأل الصياد: ""هل يمكن أن أؤجر قارب ليوم؟"" وافق الصياد وأعطاه مفاتيح القارب الصغير. استمتع أحمد بيومه مبحراً بين الأمواج، وعاد مع غروب الشمس وقلبه مليء بالسلام. "," في يوم مشمس، أحمد قرر يسافر في رحلة بحرية، راح للميناء وسأل الصياد: ""يمكن لي أستأجر قارب ليوم؟"" الصياد وافق وأعطاه المفتاح لقارب صغير. أحمد تمتع بيومه يجوب بين الأمواج، ورجع مع مغيب الشمس وقلبه مليان بالراحة.",Yemeni
" عند أي نافذة يمكن أن أقوم بعمل الحجز؟ قالت المرأة بحيرة وهي تقف في الطابور الطويل. رد عليها الموظف بابتسامة، ""النافذة رقم خمسة يمكنك من خلالها إتمام حجزك."" وعندما وصلت إلى النافذة المحددة، وجدت أن الموظف كان صديقا قديما لها. فرحت كثيراً باللقاء المفاجئ وأنجزت حجزها بسهولة ويسر. "," فين الشباك اللي أقدر أعمل فيه الحجز؟ سألت المرأة وهي حائرة واقفة في الطابور الطويل. أجابها الموظف وهو يبتسم ""الشباك رقم خمسة تقدري تنجزي منه حجزك."" ولما وصلت للشباك اللي قال لها عنه، لقت إن الموظف صديق قديم لها. فرحت كثير وأتمت الحجز بسهولة ومرونة.",Yemeni
" وجد علي صندوقاً قديماً في العلية. تساءل بفضول ""ما هذا؟"". عند فتحه، اكتشف مجموعة من الرسائل القديمة. كانت الرسائل مليئة بقصص الأجداد ومغامراتهم. "," علي لقى صندوق قديم فوق في البيت العلوي. قال متعجب ""شو هذا؟"". لما فتحه، لقى مجموعة رسايل قديمة. الرسايل كانوا مليانين بقصص الأجداد ومغامراتهم.",Yemeni
" في يوم مشمس، سأل رجل عابر امرأة في الشارع، ""هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا؟"" فأجابته السيدة بابتسامة وأشارت إلى طريق مزدحم يؤدي إلى المكان المطلوب. وبينما كان يسير، أخذ يتأمل العمارات العالية والشوارع النظيفة. وصل الرجل في النهاية إلى الأوبرا، شاكرًا تلك السيدة في قلبه على مساعدتها. "," في يوم مشرق، سأل رجل امرأة في الشارع، ""ممكن تخبريني كيف أوصل للأوبرا؟"" ردت عليه المرأة بابتسامة وأشارت له طريق مليان ناس يوديه للمكان المطلوب. وهو ماشي، كان يتأمل البنايات العالية والشوارع النضيفة. وأخيرًا وصل الرجل للأوبرا، مشكورًا المرأة اللي ساعدته في قلبه.",Yemeni
 في الليلة الماضية، كان خالد مخموراً بدرجة كبيرة. تعثر في طريقه إلى المنزل وأسقط مفاتيحه. في الصباح، استيقظ بصداع شديد ولا يتذكر ما حدث. شعر بالندم وقرر ألا يشرب الكحول مجدداً. , الليلة الفاتت، كان خالد شرب لحد السكر. وهو راجع للبيت، تعكز وطاحت منه المفاتيح. صبح اليوم وهو بصداع شديد ومش ذاكر إيش صار. حس بالأسف وعاهد نفسه ما يشرب القات مرة ثانية.,Yemeni
" في يوم مشمس، ذهب خالد إلى المتحف الوطني. وجد على الباب لافتة تقول ""من فضلك اتبع التعليمات الصادرة من موظفينا"". داخل المتحف، التقى بمرشد ذكي أخبره بتاريخ القطع الأثرية. استمتع خالد بيومه وعاد إلى منزله مليئًا بالمعرفة والذكريات الجميلة. "," في يوم مليان بالشمس، خالد راح للمتحف الوطني. شاف على الباب لوحة مكتوب فيها ""تكرم اتبع التعليمات الصادرة من موظفينا"". جوة المتحف، خالد لقى مرشد ذكي حكاله عن تاريخ الأثريات. خالد استمتع بيومه ورجع لبيته محمل بالمعرفة وذكريات جميلة.",Yemeni
 في يوم من الأيام، سأل رجل عابر السبيل عن محل متعدد الأقسام بالقرب من المنطقة. فأشار له المارة إلى متجر كبير خلف الساحة العامة. وعندما وصل، وجد كل ما يحتاجه من مستلزمات. شعر بالسعادة لأنه وجد مكاناً يلبي كافة احتياجاته. , في يوم، واحد سأل عن مركز تجاري كبير قريب من هنا. الناس دلوه على دكان كبير خلف الساحة. لما وصل، حصل كل اللي يريده. فرح حيل لما لقى مكان يجمع كل مطالبه.,Yemeni
 املأ خزان الوقود من فضلك ؛ فالطريق طويل أمامك. وعندما أكملت المهمة، وجدت نفسي في قلب الصحراء. بلا أنيس سوى النجوم، أدركت قيمة الرفيق. ومع بزوغ الفجر، بدأت رحلة البحث عن واحة الأحلام. , عبّي خزان الديزل لو سمحت؛ الطريق طويلة قدامك. ولما خلصت المشوار، لقيت روحي في قلب الصحراء. مافيش حد معاي غير النجوم، اكتشفت قيمة الصاحب. ومع طلوع الفجر، شرعت في رحلة البحث عن واحة الأحلام.,Yemeni
 في أحد الفنادق القديمة، سأل مسافر عن تكلفة الإقامة. هل يوجد غرفة بسعر أرخص ؟ فأجابه البواب بأن هناك غرفة بسعر معقول لكنها بدون نافذة. وافق المسافر مرغماً وقضى ليلة هادئة في الغرفة الصغيرة. , في واحد من الفنادق القديمة، سأل مسافر عن كم الإقامة. يوجد غرفة بسعر أرخص؟ رد عليه البواب وقال في غرفة بسعر معقول لكن من دون شباك. المسافر وافق مرغم وقضى ليلة مستريح في الغرفة الصغيرة.,Yemeni
 أفضل سيارة بها نظام إلي لنقل الحركة، وهذا ما جعل أحمد يقرر شراءها. , لما بدأ يستخدمها، حس بفرق كبير في الأدا. ,Yemeni
 سأقيم في مسكن الطلبة الخاص بجامعة هارفارد. سأستغل هذه الفرصة لأتعرف على ثقافات جديدة وأصدقاء من مختلف البلدان. ستكون الدراسة صعبة لكني مستعد للتحدي. وأخيرًا، أتمنى أن تساهم هذه التجربة في تحقيق أهدافي المستقبلية. , باسكن في سكن الطلبة تاع جامعة هارفارد. باغتنم هذه الفرصة لأتعرف على ثقافات جديدة وأصحاب من بلدان متنوعة. الدراسة بتكون صعبة لكن أنا مستعد للتحدي. وفي الأخير، أتمنى هذه التجربة تساعدني أحقق أهدافي المستقبلية.,Yemeni
" في الصباح، استفسر أحمد عن سعر الصرف قائلاً ""ما هو سعر الصرف اليوم؟"" فأجابه الصراف بأن العملة قد ارتفعت قيمتها. شعر أحمد بالسعادة لأنه كان ينوي تحويل مبلغ كبير. وبعد إتمام التحويل، خرج مبتسماً من مكتب الصرافة. "," الصبح، أحمد سأل الصراف ""كم سعر الصرف اليوم؟"" الصراف أجابه إن العملة قد ازدادت قيمتها. أحمد فرح لأنه كان بيدور يحول كمية كبيرة من الفلوس. وبعد ما انتهى من التحويل، خرج مبتسم من محل الصرافة.",Yemeni
 كان يوسف يعاني من الربو منذ الطفولة، وكانت نوبات الأزمة تهاجمه بشكل مفاجئ. في يوم من الأيام، تعرض لنوبة شديدة أثناء تواجده في المدرسة. استدعى المعلمون الإسعاف، وتم نقله إلى المستشفى. منذ ذلك الحين، حرص يوسف على حمل بخاخ الربو معه أينما ذهب. , يوسف كان يعاني من الربو من أيام ما كان صغير، والهجمات كانت تجيه فجأة. في يوم، اجته هجمة شديدة وهو في المدرسة. الأستاذة نادوا الإسعاف، وشالوه على المستشفى. من ذاك اليوم، يوسف صار دايمًا يشيل معاه البخاخ الربو وين ما ذهب.,Yemeni
 معي حوالي ثلاثة آلاف دولاراً، فقررت أن أستثمرها في مشروع صغير. بدأت بمحل لبيع الحلويات في الحي. سرعان ما اشتهر المحل بجودة منتجاته. وبعد عام، تمكنت من فتح فرع ثاني. , عندي حوالي ثلاثة آلاف دولار، فكرت أستثمرهم في مشروع صغير. فتحت محل حلويات في الحارة. المحل سرعان ما صار معروف بجودة منتجاته. وبعد سنة، استطعت أفتح فرع ثاني.,Yemeni
" في مطعم راقٍ، جلس أمير يتأمل القائمة بشغف. حين اقتربت النادلة، سألته عن اختياره للطعام. أجاب أمير بحيرة: ""حسناً، سيدي. فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم، أيهما تحب؟"" بتفكير عميق وابتسامة، اختار أمير الأرز بالتوابل واللحم متخيلاً النكهات الغنية التي ستداعب حاسة التذوق لديه. "," في مطعم فخم، أمير كان جالس يتأمل المنيو بشوق. لما جات النادلة سألته شو يريد يطلب. أمير أجاب متحير: ""حسناً، يا سيدي. جابت لي خيارين، بطاطس مقلية ولا رز مع بهارات ولحم، أيش الأحسن؟"" بعد تفكير وابتسامة، اختار أمير الرز بالبهارات واللحم وهو يتصور الطعم الرائع اللي بينتظره.",Yemeni
" ذهب أحمد في رحلة إلى مدينة غريبة وتاه عن طريقه. سأل رجلاً في الشارع: ""كيف أصل إلى ذلك المكان؟"" فأشار الرجل إلى الطريق الصحيح بلطف. وأخيرًا، وصل أحمد إلى وجهته بفضل المساعدة التي حصل عليها. "," ذهب أحمد في رحلة إلى مدينة ما يعرفهاش وضيع الطريق. سأل واحد في الشارع: ""كيف أوصل لذاك المكان؟"" الرجل دله على الطريق الصحيح بكرم. وفي النهاية، وصل أحمد للمكان اللي كان متوجه له بفضل المساعدة اللي حصل عليها.",Yemeni
 في يوم من الأيام، وجد الصياد قنينة عتيقة على شاطئ البحر. عندما فتحها، خرج منها جني وعده بثلاث أمنيات. فطلب الصياد السلامة لعائلته، وشباكًا لا تتمزق، وسفينة تبحر بلا توقف. ومنذ ذلك اليوم، عمّ الرخاء في حياة الصياد وأصبح مشهورًا بين الناس. , في يوم من الأيام، لقى الصياد قارورة قديمة على شاطئ البحر. لما فتحها، طلع له جني وعده بثلاث أمنيات. الصياد طلب السلامة لأهله، وشباك ما تتشق، وسفينة تجري بلا توقف. ومن يومها، عاش الصياد في نعمة وصار مشهور بين الناس.,Yemeni
 كان هناك رجل يزور البحر كل يوم. في يوم من الأيام، وجد زجاجة قديمة مغلقة تحتوي على رسالة. قرأ الرسالة واكتشف أنها خريطة كنز. بحث عن الكنز ثلاث مرات حتى وجده. , كان في رجل بيزور البحر كل يوم. في يوم، لقى زجاجة قديمة فيها رسالة. لما قرأ الرسالة، عرف إنها خريطة كنز. دور على الكنز ثلاث مرات حتى لقاه.,Yemeni
" كان علي يبحث عن طوابع ليرسل رسالة. سأل أحد المارة: ""أي نافذة تبيع الطوابع؟"" فأشار الرجل إلى النافذة الثالثة. شكره علي واشترى الطوابع التي يحتاجها بسرعة. "," علي كان يريد يشتري طوابع باش يرسل رسالة. سأل شخص ماشي: ""أي شبّاك يبيع طوابع؟"" الريال دلّه على الشباك الثالث. علي شكره واشترى الطوابع اللي كان محتاجها بسرعة.",Yemeni
 بعد أن هاجمني، هرب في شاحنة بيضاء. قمت بإبلاغ الشرطة فوراً وبدأت في وصف الشاحنة والمهاجم. بحثت الشرطة في كل مكان وتمكنوا من العثور على الشاحنة متوقفة بالقرب من محطة الوقود. تم القبض على الجاني واستعدتُ أغراضي التي سُرقت. , بعد ما هجم علي، هرب في شاحنة بيضا. بلغت الشرطة حالاً ووصفت لهم الشاحنة والمهاجم. الشرطة دوروا في كل مكان وقدروا يجدوا الشاحنة واقفة عند محطة البنزين. قبضوا على الجاني واسترجعت الأشياء اللي سرقها.,Yemeni
" كان أحمد ينوي شراء هدية لأمه. حين وصل إلى المتجر، قدم له البائع قسيمة خصم. قال البائع ""حسنًا، من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار"". شعر أحمد بسعادة غامرة لأنه سيوفر المال ويشتري هدية مميزة لأمه. "," أحمد كان مشتي يشتري هدية لأمه. لما وصل للمحل، البايع أعطاه قسيمة تخفيض. قال له البايع ""حسنًا، من فضلك امسك بهذه القسيمة ووريني إياها لما تختار"". فرح أحمد كثير لأنه بيوفر فلوس ويشتري هدية حلوة لأمه.",Yemeni
" كان يحسب أن السوق بعيد، فقرر أن يستقل الحافلة. وعندما وصل، رأى الشيء الذي طالما رغب في شرائه. فكر في الأمر قليلاً وقال لنفسه: ""كنت سأشتري هذا إن كنت في مكانك"". وبلا تردد، أخرج محفظته واشترى الغرض مبتسماً. "," كان يحسب إن السوق بعيد، فقرر يركب الباص. ولما وصل، شاف الشيء اللي كان يتمنى يشتريه. فكر شويه وقال لنفسه: ""كنت باشتري هذا لو كنت مكانك"". وبدون تردد، طلع جيبه واشترى الحاجة وهو يبتسم.",Yemeni
 كان لدى علي فاتورة يجب أن يدفعها بقيمة مائتي دولار. تساءل إن كان يجب عليه دفع المبلغ نقدًا فوريًا أم عبر البطاقات الائتمانية. قرر في النهاية استخدام بطاقته الائتمانية لجمع نقاط المكافآت. بعد الدفع، شعر بالراحة لأنه أدار أمواله بحكمة. , عند علي فاتورة لازم يدفعها بميتين دولار. كان محتار يدفعها كاش هسة ولا بالكارت الائتماني. قرر في الآخر يستخدم الكارت الائتماني عشان يحصل على النقاط. بعد ما دفع، حس براحة لأنه تعامل بحكمة مع ماله.,Yemeni
" كان البحار قديماً يسأل: ""كم من الوقت تستغرق السفينة لعبور هذا المحيط؟"" وكان الجواب دائماً محاطاً بالغموض. في إحدى الرحلات، قرر أن يقيس الوقت بنفسه. أبحر لأيام وليالٍ حتى وصل إلى الشاطئ الآخر. وأخيراً، استطاع أن يخبر الناس أن الرحلة استغرقت ثلاثين يوماً بالضبط. "," البحار قديمًا كان يسأل: ""كم من الوقت تستغرق السفينة لتجاوز هذا البحر؟"" وكان الرد دائمًا مش واضح. في أحد الرحلات، قرر يحسب الوقت بنفسه. سافر أيام وليالي حتى وصل للشاطئ الآخر. وأخيرًا، استطاع يخبر الناس إن الرحلة استغرقت ثلاثين يوم بالضبط.",Yemeni
" في يوم من الأيام، سأل مريض طبيبه: ""هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء؟"" فأجابه الطبيب بأنه يجب عليه الابتعاد عن الأطعمة الدهنية والحارة. وببداية فترة العلاج، شعر المريض بصعوبة في التأقلم مع النظام الغذائي الجديد. ولكن مع مرور الوقت، تحسنت صحته بشكل ملحوظ، وشعر بالامتنان لنصيحة طبيبه. "," في يوم، واحد سأل دكتوره: ""هل يجب علي أن أتجنب أنواع معينة من الأكل وأنا باخذ هذا الدواء؟"" الدكتور قال له يتجنب الأكل اللي فيه زيوت والحر. في أول العلاج، الرجل كان يجد صعوبة في التأقلم مع النظام الغذائي الجديد. بس مع الوقت، صحته تحسنت كثير وصار ممتن لنصيحة دكتوره.",Yemeni
 في يوم مشمس، دخل رجل إلى محل الأحذية متسائلاً عن أحذية حريمي عند أصابع القدم. البائع، بابتسامة عريضة، أومأ إلى الركن حيث تتلألأ تشكيلة واسعة من الصنادل الأنيقة. الرجل اختار زوجاً لزوجته بعناية فائقة، متأملاً في تفاصيل التصميم الرقيقة. وعندما عاد إلى المنزل، قدم الهدية لزوجته التي ارتسمت على وجهها ابتسامة الرضا والسعادة. , في يوم مشرق، دخل واحد لمحل الكنادر وسأل عن كنادر حريمي تكون مكشوفة عند أصابع الرجلين. البايع ابتسم وأراه الزاوية اللي فيها تشكيلة جميلة من الصنادل. الرجل اختار لزوجته زوج بعناية، يتأمل في النقشات الرقيقة اللي عليها. ولما رجع للبيت، قدم لزوجته الهدية وهي انبسطت وضحكت من قلبها.,Yemeni
" في أحد الأيام، قرر محمد السفر عبر الحدود لزيارة أقاربه. قبل الرحلة، سأل صديقه: ""هل ستواجهني أية صعوبات في الجمارك؟"" صديقه أكد له أنه إذا كانت أوراقه مكتملة فلن يواجه أي مشاكل. وعندما وصل محمد إلى الجمارك، مرّ بسهولة بعد أن قدّم جميع الوثائق المطلوبة. "," في يوم، محمد قرر يسافر برا البلاد لزيارة قرايبه. قبل ما يروح، سأل صاحبه: ""بتواجه مشاكل في الجمارك؟"" صاحبه طمنه وقال لو الأوراق مرتبة ما بتصادفش أي معوقات. ولما وصل محمد الجمارك، عدى بسهولة بعد ما قدم كل الأوراق اللازمة.",Yemeni
 في إحدى الحانات القديمة، طلب رجل من النادل بعض النبيذ الأحمر. وبينما هو يتذوق الرحيق الأحمر، دخلت امرأة ذات ملامح جميلة. نظر إليها مليًا وابتسم، فقد كانت صديقته القديمة التي لم يرها منذ سنوات. , في واحد من المقاهي القديمة، طلب رجُل من الجرسون شوية من النبيذ الأحمر. وهو يتمتع بالطعم، دخلت امرأة جميلة جدًا. شافها صح وابتسم، لأنها كانت صديقته القديمة اللي ما شافها من زمن طويل.,Yemeni
 أخبرني عندما نصل إلى المتحف. وعندما وصلنا، كان المتحف مغلقًا بسبب التجديدات. شعرت بخيبة أمل كبيرة، ولكن صديقي اقترح أن نتجول في الحديقة بدلاً من ذلك. في الحديقة، وجدنا معرضًا فنيًا مفتوحًا كان يعرض لوحات نادرة. ," Qul li lamma nasil l-mathaf. Lamma wasalna, l-mathaf kan maghlaq min ajl ettajdidat. Hesst b'khayb-ah kebira, bas sahbi qal yallah nimshi nzaher bil hadeeqa hatta yiftah l-mathaf. Fil hadeeqa, lageena ma'rad fanni maftou7 bi y3ared lohaf nadira.",Yemeni
" في أحد الأيام، سأل محمود السائق: ""هل يذهب هذا الأتوبيس إلى فندق الشيراتون؟"" فأجابه السائق بابتسامة وقال: ""نعم، اصعد وتفضل بالجلوس."" خلال الرحلة، تعرف محمود على مسافرين من مختلف الجنسيات. وبعد وصوله، شكر السائق وتمنى له يومًا سعيدًا. "," في يوم، محمود سأل السائق: ""هل الباص هذا بيروح لفندق الشيراتون؟"" السائق ابتسم وقال له: ""أيوه، اصعد وتفضّل اجلس."" في الطريق، محمود تعرّف على ناس من بلدان مختلفة. ولما وصل، شكر السائق وتمنى له يوم مبارك.",Yemeni
" في يوم ما، تساءل خالد عن نتائج جهوده. ""إلى أي شيء وصل ذلك الأمر؟""، قال وهو ينظر إلى الأفق. بعد عام، أصبحت فكرته مشروعًا ناجحًا. وأدرك أن الصبر والمثابرة هما مفتاح النجاح. "," في يوم، خالد كان يتساءل عن نتائج مجهوده. ""هاذي الحكاية وصلت لإيش؟""، قال وهو شايف الأفق. بعد سنة، وجد إن فكرته تحولت لمشروع مُثمر. وفهم إن الصبر والاجتهاد هما سر النجاح.",Yemeni
 كان الجو حارًا ذلك اليوم، وشعرت بالضيق في الغرفة. إنه ساخن بدرجة بسيطة. هل يمكن أن أفتح النافذة؟ سألت وأنا أنظر إلى زملائي في الصف. وبمجرد أن فتحتها، هبت نسمة منعشة جعلتنا جميعًا نشعر بالراحة. , كان الجو حار ذا اليوم، وأحسيت بضيق في الغرفة. هو حار شوية. ممكن أفتح الشباك؟ سألت وأنا أشوف على زمايلي في الصف. ولما فتحته، دخلت نسمة باردة ريحتنا كلنا.,Yemeni
" في يوم من الأيام، كان هناك رجل يملك دشاً واحداً في بيته. دائماً ما كان يقول لأولاده ""فقط دش يكفي"". ولكن في أحد الأيام، تعطل الدش وأصبح الجميع في حيرة من أمرهم. في النهاية، اضطروا إلى الاستحمام بدلو الماء حتى يتم إصلاحه. "," في يوم من الأيام، كان هناك رجل عنده دش واحد في بيته. دايماً كان يقول لأولاده ""دش واحد بس يكفي"". لكن في يوم، الدش عطل والكل صاروا محتارين. في الآخر، اضطروا يستحموا بالدلو حتى يصلح.",Yemeni
 عيني محمرة قليلا لأنني قضيت ساعات طويلة أمام الكمبيوتر. شعرت بالتعب والإرهاق بعد يوم عمل شاق. قررت أن أخذ استراحة وأذهب للتنزه في الحديقة. هناك، التقيت بصديق قديم وتبادلنا أطراف الحديث. , عيني محمرة شوية لأني قضيت ساعات طويلة أمام الكمبيوتر. حسيت بالتعب والمشقة بعد يوم شغل طويل. قررت أخذ استراحة وأمشي أتمتع في البستان. هناك، لقيت صديق قديم وتبادلنا الحديث.,Yemeni
 لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة. وافق النزيل على الاقتراح وشعر بالراحة في الغرفة الواسعة. في الصباح، استيقظ على صوت العصافير وأشعة الشمس الدافئة. تناول فطوره وهو يتأمل جمال الحديقة من نافذته. , لا، هل بأقدر أقترح عليك تأخذ حجرة فيها سريرين لاستعمالك الخاص؟ عندنا واحدة زي كده. الضيف وافق على الاقتراح وحس بالارتياح في الحجرة الوسيعة. الصباح، قام على صوت العصافير ودفء الشمس. أكل الفطور وهو يطالع جمال البستان من شباكه.,Yemeni
" لم يكن لدى سامر أي خيار سوى المحاولة. قال لصديقه بتصميم: ""لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا."" وبالفعل، بدأوا في العمل معاً من أجل حل المشكلة. في النهاية، تمكنوا من تحقيق نجاح غير متوقع. "," سامر ما عنده باس طريقة ثانية، لازم يحاول. قال لصاحبه بإصرار: ""ما أقدر أعدك، بس حنحاول قدر المستطاع."" وصاروا يشتغلوا مع بعض لحل المشكلة. وفي الأخير، قدروا يحققوا نصر ما كانوا حتى متوقعينه.",Yemeni
" في أحد الأيام، قررت ليلى أن تغير من مظهرها فذهبت إلى صالون التجميل. وقالت للمصفف: ""أريد تمويج متقارب لشعري، من فضلك"". بعد ساعات من العمل الدقيق، انعكس جمال شعرها المتموج في المرآة. خرجت ليلى من الصالون وهي تشعر بالتجديد والثقة بالنفس. "," في يوم، ليلى قررت تغير من شكلها وراحت للصالون. وقالت للحلاق: ""أريد تمويج متقارب لشعري، لو سمحت"". بعد ساعات من العمل الفني، ليلى شافت شعرها المتموج في المراية وعجبها. خرجت ليلى من الصالون وهي تشعر بالتغيير والثقة بنفسها.",Yemeni
 كان البحر إلى الأسفل من بعيد. وقفت ليلى تنظر إليه بشوق، فقد طال انتظارها لتلك اللحظة. أخذت نفساً عميقاً وبدأت بالهبوط نحو الشاطئ. ومع كل خطوة، زادت دقات قلبها ترقباً للموج الهادئ. , كان البحر تحت من بعيد. ليلى واقفة تنظر للبحر بشوق، كانت متشوقة لهذه اللحظة من زمان. أخذت نفس عميق وبدأت تنزل للشاطئ. ومع كل خطوة، قلبها يزيد دقاته مترقبة للموج الهادي.,Yemeni
 هي تريد بيرة، فذهبت إلى البار المجاور. وجدت البار مزدحمًا للغاية. تحدثت مع النادل وطلبت بيرة خاصة. استمتعت بشربها وهي تستمع للموسيقى الحية. , هي تريد بيرة، فمشت للبار اللي جنبهم. لقت البار مليان حد الزحمة. كلمت الجرسون وطلبت بيرة خاصة. استمتعت وهي تشرب وتستمع للموسيقى الحية.,Yemeni
 كان محمود يعاني من آلام شديدة في البطن، فذهب إلى الطبيب الذي أخبره أنه بحاجة إلى إجراء عملية. شعر بالقلق لكنه قرر أن يثق بالطاقم الطبي. بعد العملية، استيقظ محمود وقد زالت الآلام تمامًا. شعر بالامتنان للأطباء والممرضين الذين اعتنوا به. , محمود كان يشكي من ألم شديد في بطنه، فذهب للطبيب اللي قال له لازم يعمل عملية. كان متوتر لكنه قرر يثق بالمعالجين. بعد ما أجرى العملية، صحى محمود والألم اختفى. حس بامتنان كبير للدكاترة والتمريض اللي كانوا جنبه.,Yemeni
" ذهب أحمد إلى السوق ليشتري بعض الطعام. وجد أن سعر البيض قد ارتفع، لكنه قرر شراء المزيد منه. عندما عاد إلى المنزل، قالت أمه بابتسامة: ""المزيد من البيض من فضلك."" فابتسم أحمد وأخرج البيض الذي اشتراه. "," ذهب أحمد للسوق يشتري لنا أكل. لقى سعر البيض ارتفع، لكنه قرر يشتري زيادة. لما رجع البيت، أمه قالت له وهي تبتسم: ""زدنا بيض، لو سمحت."" أحمد ابتسم وأظهر البيض اللي اشتراه.",Yemeni
" كان أحمد يريد الذهاب إلى سنترال بارك للقاء أصدقائه. سأل أحد المارة: ""أين محطة الأتوبيس المتجه إلى سنترال بارك؟"" أرشده المارة إلى المحطة الصحيحة وأخبروه أن الأتوبيس سيأتي بعد خمس دقائق. شكر أحمد المارة وانتظر الأتوبيس الذي وصل في الوقت المحدد. "," أحمد كان مشتي يروح سنترال بارك يلتقي بأصحابه. سأل واحد من الناس اللي ماشي: ""وين محطة الباص اللي بتروح سنترال بارك؟"" الناس دلوه للمحطة الصح وقالوا له الباص بيجي بعد خمس دقايق. أحمد شكر الناس وقعد ينتظر الباص اللي جاء بالوقت المحدد.",Yemeni
 في يوم ماطر، احتاج خالد إلى سيارة أجرة ليصل إلى مقابلة عمل مهمة. وجد سيارة أجرة بعد وقت طويل من الانتظار وتحت الأمطار الغزيرة. خلال الرحلة، شارك السائق قصصاً ملهمة عن النجاح بعد الفشل. وصل خالد إلى المقابلة في الوقت المناسب وملؤه الأمل والتفاؤل. , في يوم مطر، خالد كان محتاج لتاكسي علشان يروح لمقابلة شغل مهمة. لقى تاكسي بعد ما صبر كثير تحت الأمطار. في الطريق، السايق حكاله قصص طيبة عن النجاح بعد الفشل. وخالد وصل للمقابلة في الوقت المناسب وهو متفائل.,Yemeni
 ها هو مفتاحك، يا سيدي. غرفة ستة وخمسون إثنى عشر. ابتسم الرجل شاكرًا وتوجه نحو الغرفة المذكورة. بعد دقائق من السير في الأروقة الطويلة، وجد الغرفة التي تحمل الرقم المطلوب. لكن عندما فتح الباب، وجد الغرفة مختلفة تمامًا عما توقع. كانت مليئة بالزهور والبالونات، وكان أصدقاؤه ينتظرونه هناك لمفاجأته بعيد ميلاده. , ها هو مفتاحك يا سيدي. الحجرة ستة وخمسين اثنين عشر. الرجل ابتسم مقدر ومشى نحو الحجرة اللي قالوا له عليها. بعد ما مشى له شوية في الرواق الطويل، لقى الحجرة اللي تحمل الرقم اللي هو يريده. بس لما فتح الباب، لقى الحجرة مختلفة كليًا عما كان يتوقع. كانت مليانة بالورود والبالونات، وأصحابه كانوا منتظرينه هناك عشان يفاجئوه بعيد ميلاده.,Yemeni
" كان هناك شاب يملك جاكتاً أنيقاً وكان يفخر به كثيراً. في يوم من الأيام، أثناء سيره في السوق، لاحظت فتاة جميلة الجاكت وقالت ""أحب الجاكت الخاص بك"". شعر الشاب بالسعادة لأن الجاكت قد جلب له إعجاب الناس. ومنذ ذلك الحين، أصبح الجاكت الخاص به رمزاً للحظ الجيد. "," كان هناك شاب عنده جاكيت فخم وكان مغتر فيه كثير. في يوم، وهو يمشي في السوق، شافته بنت حلوة الجاكيت وقالت له ""معجباني الجاكيت حقك"". الشاب فرح كثير لأن الجاكيت جاب له إعجاب الناس. ومن ذاك اليوم، صار الجاكيت حقه علامة للحظ الزين.",Yemeni
 في يوم من الأيام، كان هناك شاب يعمل بجد لتحقيق حلمه. استمر في السعي خلف طموحاته رغم الصعاب التي واجهها. وبعد سنوات من العمل الشاق، أصبح أخيرًا مديرًا لشركته الخاصة. شعر بفخر عظيم لأنه لم يستسلم أبدًا. , كان هناك شاب يعمل بجهد ليحقق حلمه. استمر يتابع طموحاته حتى مع الصعاب اللي قابلها. وبعد سنين من العمل الشاق، صار في الأخير مدير لشركته الخاصة. حس بفخر عظيم لأنه ما استسلم أبدًا.,Yemeni
 ها نحن قد وصلنا، هذا هو فندقك. توجه الرجل إلى الاستقبال لتسجيل الدخول. وجد غرفته مريحة وذات إطلالة جميلة. استلقى على السرير مستعدًا لقضاء ليلة هادئة. , وصلنا، هذا فندقك. الرجل مشى للاستقبال ليسجل دخوله. حصل الغرفة مريحة وبها منظر جميل. استرخى على السرير مستعد يقضي ليلة مريحة.,Yemeni
 بدأت المباراة في الساعة السابعة مساءً. تجمع الجمهور في المدرجات يهتفون بحماس. لعب الفريقان بمهارة عالية والنتيجة كانت متقاربة. في النهاية، فاز الفريق المضيف بفارق نقطة واحدة. , بدت المباراة الساعة سبعة بالليل. الناس تجمعوا في المدرجات وهم يشجعوا بقوة. الفريقين لعبوا بمهارة وكانت النتيجة قريبة. وفي النهاية، الفريق الأرضي فاز بنقطة وحدة.,Yemeni
