MSA,Algerian,lang
 نعم، نحن لدينا منهج نصف يوم، ومنهج ليوم كامل. في المدرسة، كان الطلاب يختارون المنهج الذي يناسبهم. طارق اختار المنهج الكامل ليستفيد أكثر. وبعد سنة، استطاع طارق التفوق بفضل جهده والمنهج المتكامل. , اه، عندنا برنامج لنص نهار، وبرنامج لليوم كامل. في المدرسة، التلاميذ يقدروا يختارو البرنامج اللي يعجبهم. طارق اختار البرنامج الكامل باش يستافد بزاف. ومن بعد عام، طارق قدر يتفوق بفضل مجهودو والبرنامج المتكامل. ,Algerian
 كان هناك طائر جميل يحلق في السماء الزرقاء، وكان يحبذ أن يطير عالياً ليرى العالم من حوله. في يوم من الأيام، وجد مكانًا مثاليًا لبناء عشه. ومع مرور الوقت، أصبح العش ملاذًا لطيور أخرى تحبذ أيضًا حلق في السماء الواسعة. , كاين طير زين يطير في السما الزرقة، وتمنى ديما يطير عالي باش يشوف العالم من حواليه. فواحد النهار، لقى بلاصة ملاح تصلح باش يبني فيها عشو. مع مرور الوقت، العش تبدل لجو ملاذ للطيور الأخرى اللي تحب تطير فوق في السما الكبيرة. ,Algerian
 ذهب محمد إلى المتجر لشراء منبه جديد. وجد العديد من الأنواع لكنه اختار واحدًا متطورًا. دفع ثمنه وعاد إلى البيت مسرورًا. في اليوم التالي، استيقظ مبكرًا بفضل المنبه الجديد. , محمد مشى للحانوت باش يشري ريفي جديد. لقى بزاف الأنواع ولكن اختار واحد سوفيستيكي. خلص ورجع للدار مفرح. ليوم لي بعدو، فاق بكري بفضل الريفي الجديد. ,Algerian
" في أحد الأيام، قرر محمد إلغاء حجزه في فندق الواحة لأنه وجد مكانًا أقرب إلى موقع العمل. اتصل بالفندق وقال، ""أريد إلغاء حجزي، من فضلك."" تفهم موظف الاستقبال الوضع وألغى الحجز دون رسوم إضافية. شعر محمد بالراحة لأنه سيوفر الوقت والمال في التنقلات. "," فواحد النهار، محمد قرر يلغي حجزو في فندق الواحة حيت لقى بلاصة أقرب لخدمتو. عيط للفندق وقال، ""بغيت نلغي حجزي، من فضلكم."" الموظف فالاستقبال فهم الموقف ولغى لو الحجز بلا ما يخلص زيادة. حس محمد بالراحة حيت غادي يوفر الوقت والفلوس فالتنقل. ",Algerian
" في يوم من الأيام، كان هناك رجل يتساءل ""ما هو نظام الاسترداد؟""، فقرر البحث عن إجابة. وبعد جهد وبحث طويل، اكتشف أن نظام الاسترداد عبارة عن مجموعة من الإجراءات التي تسمح للمستهلكين بإعادة السلع أو الحصول على تعويض في حالة وجود عيب. شعر بالرضا لأنه أصبح يعرف حقوقه كمستهلك، وقرر أن يشارك معلوماته هذه مع الآخرين ليستفيدوا. "," في واحد النهار، شي واحد كان يتساءل ""واش هو نظام الاسترداد؟""، قرر يقلب على الجواب. وبعد معاناة وتقليب طويل، لقى أن نظام الاسترداد هو مجموعة من الإجراءات اللي تخلي الزبائن يرجعو السلع أو ياخدو تعويض إذا كان فيه عيب. حس بالراحة لأنه عرف حقوقو كزبون، وقرر يشارك المعلومة هاذي مع الناس باش يستفادو. ",Algerian
 في إحدى الليالي المظلمة، اكتشف أحمد أن الإضاءة لا تعمل في منزله. حاول إصلاحها بنفسه، لكن دون جدوى. دعا الكهربائي الذي وجد مشكلة في الأسلاك. بعد الإصلاح، عادت الأنوار لتضيء المنزل مجددًا. , في واحدة من الليالي المظلمة، اكتشف أحمد بلي الضوء ما يخدمش في دارو. حاول يصلحه بوحدو، ولكن ما عرفش. جاب الكهربائي اللي لقى العطب في الأسلاك. ومن بعد ما صلح، الضوء رجع يخدم في الدار. ,Algerian
 بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني مقيم في القاهرة. جئت إلى هنا لدراسة اللغة العربية وآثار الفراعنة. في كل يوم، أذهب إلى المكتبة لأقرأ الكتب النادرة. وقد وجدت صديقًا مصريًا يشاركني شغفي بالتاريخ. , على فكرة، سميتي هيروشي إيجيما، وأنا باحث ياباني ساكن في القاهرة. جيت لهنا باش نقرا في لغة العربية وآثار الفراعنة. كل نهار، نمشي للمكتبة باش نقرا الكتب القديمة. وتلاقيت مع صاحب مصري يشاركني حب التاريخ. ,Algerian
 كان أحمد يعمل مع شركة دولية وكان عليه أن يعقد اجتماعاً مع زملائه في طوكيو. فتساءل ما هو فارق التوقيت بين طوكيو وهنا. بعد البحث عرف أن الفارق هو ٩ ساعات. فاضطر أحمد لضبط منبهه ليستيقظ في منتصف الليل لحضور الاجتماع. , أحمد كان خدام مع شركة عالمية وكان خاصو يدير ميتينڨ مع زمايلو في طوكيو. حبس يتساءل شحال هي الفرقة في الوقت بين طوكيو وهنا. ملي بحث عرف بلي الفرق هو ٩ ساعات. فأحمد ضروري يضبط الريفيل باش يفيق في نصف الليل باش يحضر الميتينڨ. ,Algerian
 في يوم مشمس، استقل محمد القطار متوجهاً إلى لاك فورست. وأثناء الرحلة، تعرف على راكب بجانبه يدعى أحمد. بدأ الاثنان بتبادل الحديث عن وجهتهما وما يخططان لفعله هناك. وعندما اقترب القطار من المحطة، تأكد محمد من أن القطار يتوقف في لاك فورست، فأومأ أحمد برأسه مؤكداً. , في نهار شمسي، محمد ركب القطار باش يمشي لاك فورست. وفي الطريق، تعرف على واحد حداه اسمو أحمد. دارو حديث بيناتهم على وين رايحين وشنو يديرو هناك. وقتلي القطار وصل قريب للمحطة، محمد بغى يتأكد بلي القطار يوقف في لاك فورست، وأحمد هز راسو بالإيجاب. ,Algerian
" في أحد الأسواق الشعبية، سأل رجل تاجراً عن سعر بعض البضائع، فأجابه التاجر بابتسامة، ""كم السعر الإجمالي؟""، فأخرج الرجل محفظته وأعطى التاجر النقود بعد أن حصل على إجابة. "," في واحد السوق الشعبي، واحد الزوالي سأل حانوتي قداه تمن هادي الحوايج، الحانوتي تبسم وقال ليه ""شحال كلشي؟""، هكاكا جبد الزوالي فلوسو وعطاهم للحانوتي بعد ما سمع الجواب. ",Algerian
 شكراً يا سيدي، لقد أنقذت حياتي. عندما سقطت في النهر، جاء الرجل الشجاع وأمسك بيدي. بعد أن أخرجني من الماء، قدم لي بطانية دافئة وشاياً ساخناً. لن أنسى معروفه طوال حياتي. , شكراً سيدي، راك ساويتلي الكبير. وقت اللي طحت في الواد، جا واحد الراجل الشجاع وشد في يدي. بعد ما نتشلني من المي، جابلي كوفرطة دافية وأتاي يحرق. حياتي ما ننسى الخير اللي دارلي. ,Algerian
 تقدم للأمام واتجه يمينًا عند الناصية الثالثة، فوجد بابًا خشبيًا قديمًا. دق الباب بحذر، ففتحت له عجوز تحمل مصباحًا. طلب منها المساعدة فأشارت إلى كتاب على الطاولة. كان الكتاب مفتاحًا لألغاز كثيرة كان يبحث عنها منذ سنوات. , راح لقدام ودار يمين في الناصية الثالثة، لقى باب خشب قديم. طق الباب بالشوية، فتحتلو واحدة العجوزة جابت معاها فانوس. سقساها باغي مساعدة، دارتلو إشارة لكتاب على الطابلة. هذا الكتاب كان السر لألغاز بزاف كان يدور عليهم من زمان. ,Algerian
 في أحد الأيام، استيقظ يوسف وهو يشعر بألم حاد في معدتيه. حاول تجاهل الألم وتناول بعض الأدوية المسكنة، لكن بلا فائدة. اضطر أخيرًا إلى زيارة الطبيب، الذي أخبره بأنه يعاني من التهاب حاد في المعدة ويحتاج إلى الراحة والعلاج. بعد اتباع التعليمات والراحة لعدة أيام، شعر يوسف بتحسن كبير وعاد إلى حياته اليومية بصحة جيدة. , في يوم من الأيام، فاق يوسف وحس بألم خايب في كرشو. حاول ينسى الألم وشرب شوية دوا، ولكن ما فيهش فائدة. تلزم يروح للطبيب في الأخير، اللي قال لو أنو فيه التهاب قوي في المعدة وخاصو يستريح ويتعالج. بعد ما سمع النصايح واستراح ليه شوية أيام، حس يوسف بتحسن كبير ورجع لحياتو العادية بصحة مليحة. ,Algerian
 كان هناك شاب ياباني يعشق الأخطبوط والحبار، لذلك قرر أن يتعلم فن طهيهما ببراعة. بعد سنوات من التدريب، أصبح الشاب طاهيًا مشهورًا في طوكيو. كانت مطعمه يجذب السياح من جميع أنحاء العالم لتذوق أطباقه الفريدة. وفي كل مرة يزور فيها الناس مطعمه، كانوا يشيدون بمهارته في تحضير الأخطبوط والحبار. , كاين شاب ياباني كان يموت على الأخطبوط والكلمار، حب يتعلم كيفاش يطيبهم بطريقة ماهرة. ورا بزاف ديال السنين، ولا الشاب طايب معروف في طوكيو. مطعمو كان يجيب السياح من كل بلاصة باش يذوقو الأطباق لي يخرجهم. وكل مرة الناس يروحو لمطعمو، كانو يثنيو على يديه في تحضير الأخطبوط والكلمار. ,Algerian
" في أحد الأيام وأثناء سيري في الحديقة، شاهدت طائراً نادراً يقف على غصن شجرة. استوقفني جماله وألوانه الزاهية فوقفت أتأمله. تساءلت في نفسي ""هل رأيت ذلك من قبل؟"" لأنني لم أرَ مثله في حياتي. بقيت هناك لوقت طويل أراقب الطائر حتى طار بعيداً. "," فواحد النهار وأنا نتمشى في الحديقة، شفت طير نادر واقف على غصن شجرة. جمالو وألوانو الزاهية خلوني نوقف نتفرج فيه. سولت روحي ""شفت هادا قبل؟"" لأنني ما شفتش بحالو في حياتي. بقيت تماك نشوف في الطير حتى طار بعيد. ",Algerian
" أحضر محمد هدية مميزة لعيد ميلاد صديقه العزيز. طلب من البائع أن يقوم بتغليفها بعناية فائقة. قال البائع مبتسمًا: ""أنها هدية. هل يمكنك أن تقوم بلف هذه الهدية لي؟"" فوافق محمد على الفور وشعر بسعادة غامرة لتقديمها. "," محمد جاب كادو خاص لعيد ميلاد صاحبو المقرب. طلب من البايع يديرلو التغليف بشكل حنين. البايع ضحك وقال: ""هذي كادو. تقدر تغلفهالي؟"" محمد قاله علاش لا وفرح بزاف بنية يعطيها. ",Algerian
 مساء الخير، السيدة كنت. لم نلتقي منذ زمن بعيد. في ذلك اليوم، كان الجو باردا والسماء صافية عندما التقت السيدة كنت بصديقة قديمة في الحديقة. تبادلا الأخبار والذكريات، وضحكا على الأيام الخوالي. قررتا بعد ذلك أن يجددا العهد بلقاءات دورية ليحافظا على الصداقة القوية. ومع غروب الشمس، ودعتا بعضهما بابتسامة دافئة، عازمتين على عدم ترك الزمن يفرق بينهما مجددا. , مساء الخير، مدام كنت. راه طويلة ما شفناكش. فذاك النهار، كان الجو بارد والسماء صافية لما مدام كنت تلاقات مع صاحبتها القديمة فالحديقة. درجوا الحديث وتبادلوا الذكريات، وضحكوا على الأيام اللي فاتوا. حددوا بعدها يتعاودوا اللقاء بصفة منتظمة باش يحافظوا على صداقتهم القوية. ومع الغروب، توادعوا بابتسامة حارة، مصممين ما يخلوش الزمن يفرقهم مرة أخرى. ,Algerian
" في يوم حار، ذهب خالد إلى المحطة ليحجز تذكرتين إلى شيكاغو. وقف عند الشباك وسأل بأدب: ""هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغو، من فضلك؟"" ابتسم الموظف وأعطاه التذاكر، متمنياً له رحلة سعيدة. شعر خالد بسعادة غامرة وهو يتطلع إلى الرحلة. "," في نهار شاعل، خالد راح للمحطة باش يحجز تذكرتين لشيكاغو. واقف قدام الشباك وسقسا بلادب: ""يمكن ناخذ تذكرتين ثاني درجة لشيكاغو، من فضلك؟"" الموظف ضحك وعطاه تذاكر، وقاليه ""تسافر بالفرحة."" خالد حس بفرحة كبيرة وكان حابس يروح الرحلة. ",Algerian
" كان هناك رجل يشعر بالتعاسة دائمًا. ذات يوم، قرر أن يغير من نظرته للحياة ويبحث عن السعادة. بدأ بمساعدة الآخرين واكتشف أن ذلك يجعله سعيدًا. في نهاية المطاف، تحولت حياته وأصبح يقول دائمًا ""أنا أسعد"". "," كان هناك واحد دايما ماهوش مرتاح. واحد النهار، قرر يبدل في طريقة تفكيره ويدور على السعادة. شرع في مساعدة الناس واكتشف بلي هذا يخليه فرحان. في الأخير، تبدلت حياتو وولا ديما يقول ""أنا أسعد"". ",Algerian
 لقد ذهبت إلى نيويورك. وأثناء تجولي في شوارع المدينة، شعرت بالإثارة لرؤية ناطحات السحاب. التقيت بأشخاص من مختلف الثقافات، وتناولت أشهى الأطعمة. في نهاية الرحلة، وجدت نفسي مغرمًا بعبق التاريخ وحداثة المدينة. , رحت لنيويورك. وفي قلب المدينة، حسيت بشوق كبير وأنا نشوف العمارات العالية. تلاقيت مع ناس من ثقافات مختلفة، ودوقت أحسن الأكلات. في الآخر، لقيت روحي معجب بالتاريخ والحداثة ديال المدينة. ,Algerian
 قررت ليلى تغيير حجزها للرحلة الجوية رقم 205 لتفاجأ بأن التذاكر قد نفدت. بحثت بكل جهد عن رحلة بديلة ووجدت واحدة تغادر في اليوم التالي. اتصلت بالشركة فوراً وتمكنت من حجز مقعد في اللحظة الأخيرة. شعرت بالامتنان لأنها ستستطيع اللحاق بموعد مهم في الثاني من أكتوبر. , قررت ليلى تبدل حجزها للرحلة رقم 205 وتفاجأت كي لقات بلي التذاكر خلاص تمو. حوست بكل قوتها على رحلة أخرى ولقات وحدة تمشي اليوم اللي بعده. صونات للشركة ديراكت وتمكنت من حجز بلاصة في آخر لحظة. حست بالشكر الكبير حيت غادي تقدر تحضر لموعد مهم في الثاني من أكتوبر. ,Algerian
" في أحد أيام الصيف الحارة، توجه محمد إلى المطار حاملاً حقائبه متجهًا نحو مكتب الاستعلامات وسأل الموظف: ""ما هو رقم الرحلة الجوية؟"". ابتسم الموظف وأخبره بأن رحلته ستقلع بعد ساعتين. شعر محمد بالارتياح وقرر قضاء بعض الوقت في متجر الكتب بالمطار. عندما حان وقت الصعود إلى الطائرة، كان محمد متحمسًا لبدء مغامرته الجديدة. "," في واحد من الأيام الشاطحة تاع الصيف، محمد مشى للعيروبور حامل كاباتو وتوجه لبيرو ديال الإستعلامات وسقسى الواعر: ""شحال رقم الفول ديال الطيارة؟"". الواعر ضحك وقال لو أن الفول ديالو غادي يطلع من بعد ساعتين. محمد حس بالفرحة وقرر يقضي وقتو في محل الكتب في العيروبور. يوماشي جا وقت يركب للطيارة، محمد كان متشوق باش يبدا المغامرة ديالو الجديدة. ",Algerian
" وجد أحمد نفسه في مطار مزدحم يبحث عن طاولة التسجيل الخاصة بشركة دلتا. بعد جولة من التخبط, استطاع أخيرا أن يجدها في زاوية بعيدة. سجل حقيبته بسرعة وتنفس الصعداء. انطلق بعدها صوب بوابة الصعود للطائرة، متحمسًا لرحلته القادمة. ", أحمد لقى روحو في مطار مليان، كان يقلب على طاولة تسجيل دلتا. بعد دورة كبيرة، لقاها في كونة بعيدة. سجل باغاجو بالسرعة وشهد الراحة. من بعد مشا للباب الطيارة، حامس للفوياج الجديد. ,Algerian
" كان يعقوب يتبع حمية غذائية خاصة بسبب مشاكل في ضغط الدم. فسأل الطباخ في المطعم: ""هل هذه وجبة منخفضة الصوديوم؟"" اطمأن عندما أكد له الطباخ ذلك. ومنذ ذلك اليوم، أصبح يعقوب يزور هذا المطعم بانتظام. "," يعقوب كان يتبع ريجيم خاص على خاطر عندو مشاكل في الضغط. سول الطباخ: ""واش هادي وجبة قليلة في الملح؟"" لما الطباخ طمّنو، يعقوب ولى يروح لهاد المطعم بزاف. ",Algerian
 هذا البند غير مسموح به في السوق، فقد حظرته الحكومة بسبب مخاطره. كان علي الحاج أن يبحث عن بديل يمكنه تداوله. بعد جهد وتفكير، وجد سلعة أخرى مربحة وقانونية. أصبح بعد ذلك من أشهر التجار في البلدة. , هاذ الشيء ماهوش مسموح بيه في السوق، حيت الحكومة حرمتو بسباب الخطر ديالو. خاص الحاج يقلب على شي حاجة أخرى يقدر يخدم بيها. مور مجهود وتفكير، لقى بضاعة أخرى رابحة وقانونية. ولّى بعد هاك من أشهر التجار في البلاصة. ,Algerian
 أعتقد أننا نستطيع. ها هي ورقتك. في تلك اللحظة، شعر أحمد بأن كل جهوده قد تكللت بالنجاح. أخذ الورقة بيد مرتعشة، وعيناه تلمعان بالدموع. قرأ النتيجة بصوت عالٍ أمام أصدقائه المتجمعين، والجميع يهتفون فرحين بنجاحه. وفي الخارج، كانت أمه تنتظر بفارغ الصبر لتحتفل مع ابنها النابغة. , نقدرو نديروها. ها هي ورقتك. في داك الوقت، حس أحمد بلي كلشي عملو توج بالنجاح. خذا الورقة بيديه المرتجفة، وعيونو كانت تبرق بالدموع. قرا النتيجة بصوت عالي قدام صحابو اللي جمعو، وكلهم كيفرحو ويهتفو بنجاحو. وفي الخارج، يماه كانت تسنى بفارغ الصبر باش تفرح مع ولدها المتفوق. ,Algerian
 في ليلة باردة، خلع يوسف قميصه الثقيل قبل أن يذهب للنوم. وضعه بعناية فوق الكرسي الخشبي المتهالك. تسلل البرد إلى جسده، لكنه شعر براحة بالغة تحت الأغطية الدافئة. أغمض عينيه واستسلم للنوم العميق بعد يوم طويل وشاق. , في ليلة بردانة، يوسف حيد قميجتو الثقيلة قبل ما يروح يرقد. حطها فوق الكرسي القديم بالحرص. البرد دخل ليه للعظام، ولكن تحت اللحاف الدافي حس براحة ناصعة. سد عيونو واستسلم للنوم العميق بعد يوم طويل وصعيب. ,Algerian
" وصل عمر إلى الفندق متأخرًا وكان متعبًا، فطلب من الاستقبال إيقاظه مبكرًا. قال للموظف: ""لا، سوف أخذها خلال فترة إقامتي""، مشيرًا إلى الصحيفة المجانية. استيقظ عمر باكرًا وتناول القهوة بينما يقرأ الأخبار. عند تسجيل الخروج، شكر الموظفين ووعدهم بالعودة في المرة القادمة. "," عمر وصل للهوتيل متعب بزاف وطلب من الاستقبال يفيقوه بكري. قالهم: ""لا، غادي نشد الجريدة طول ما نكون هنا""، كاينة وحدة مجانية كان يقصد. عمر فاق بكري، شرب قهوتو وهو يقرا الأخبار. وقت اللي غادي يخرج، شكر العمال وقالهم يرجع المرة الجاية. ",Algerian
" كانت قطعة القماش تتغير ألوانها حسب الضوء، فأحياناً تبدو زرقاء وأحياناً خضراء. لاحظ الخياط هذه الظاهرة فسأل نفسه ""هل هو ثابت اللون؟"" قرر أن يختبر القماش تحت أنواع مختلفة من الإضاءة. وجد أن القماش يحتفظ بخاصية التغير مهما تعددت مصادر الضوء. "," القطعة ديال القماش كتبدل ألوانها مع الضوء، مرات تشوفها زرقاء ومرات خضراء. الخياط لاحظ هاد الشي وسول راسو ""هل هو ثابت اللون؟"" قرر يجرب القماش تحت أنواع مختلفة ديال الضوء. درك لقى بلّي القماش كيحافظ على قدرتو في التبدل مهما تبدلت مصادر الضوء. ",Algerian
 في أحد أحياء المدينة العتيقة، كانت توجد بوابة زمنية تنقل من يعبرها إلى الماضي. السكان المحليون اعتبروها خاصية خاصة بهذا الحي. يوماً ما، قرر شاب مغامر العبور من خلالها، فاكتشف عوالم لم يكن يعلم بوجودها. عاد محملاً بالحكايات والأسرار التي جعلت الحي مشهوراً ومحط أنظار العالم. , في واحد من أقدم أحياء المدينة، كان فيه باب زماني ينقل لي يعبرو للماضي. الناس اللي ساكنين هناك عتبرو هذي خاصية خاصة بحومتهم. واحد الشاب المغامر قرر يتعدى منو، واكتشف عوالم ما كانش يعرف بوجودهم. رجع مليان بقصص وأسرار خلّت حومتهم مشهورة ومركز انتباه العالم. ,Algerian
 كان هناك طفل يدعى عمر يحب البسكويت كثيرًا. في كل مرة يزور فيها جدته، كانت تعد له أطيب أنواع البسكويت. ذات يوم، قرر عمر أن يتعلم كيفية صنع البسكويت بنفسه. بعد عدة محاولات، أصبح عمر يصنع البسكويت بمهارة وأصبحت وصفاته مشهورة بين أصدقائه. , كان فيه ولد اسمو عمر يحب البسكويت بزاف. كل مرة يروح لجدته، كانت تديرلو أحسن بسكويت. في نهار، قرر عمر يتعلم كيفاش يدير البسكويت بوحدو. بعد عدة محاولات، ولا عمر يصنع البسكويت بمهارة والوصفات تاعو ولات مشهورة بين صحابو. ,Algerian
" في يوم مشمس، قرر أحمد أن يسافر إلى نيويورك ليحقق حلمه بزيارة تمثال الحرية. بعد التخطيط لأسابيع، وجد نفسه واقفًا أمام مكتب حجز التذاكر يقول ""واحد لنيويورك، من فضلك"". خلال الرحلة، التقى بمسافرين من مختلف الثقافات وتبادل معهم القصص والخبرات. وعند وصوله، شعر أحمد بالإثارة والنشوة وهو ينظر إلى المدينة التي لطالما حلم بزيارتها. "," في يوم مع الشمس، أحمد قرر يروح لنيويورك باش يشوف تمثال الحرية اللي ديما كان يحلم بيه. بعد ما خلص كامل التحضيرات، وقف قدام الكَيش وقال ""واحد لنيويورك، عفاك"". في الطيارة، تلاقى مع ناس من ثقافات مختلفة وتبادل معاهم الحكايات. وملي وصل، حس بشعور عظيم وهو يتأمل في المدينة اللي طول عمرو يحلم يزورها. ",Algerian
 لعدة أيام قليلة، بقي الطائر صغيراً في عشه ينتظر عودة أمه. في اليوم الخامس، لاحظ أن الغابة أصبحت هادئة بشكل غريب. شعر بالجوع الشديد، فقرر أن يخرج بحثاً عن الطعام. وخلال رحلته، وجد صديقاً جديداً يعلمه كيف يطير. , لبعض الأيامات القلال، طير صغير بقى في عشو يستنى في ميمتو ترجعلو. في النهار الخامس، لاحظ بلي الغابة ولات هادية بطريقة غريبة. حس بالجوع الشديد، قرر يخرج يقلب على الأكل. وفي سيرتو، لقى صاحب جديد يعلمو كيفاش يطير. ,Algerian
 في يوم حافل بالأحداث، وجد خالد نفسه في طابور طويل أمام مكتب البريد. وبعد انتظار طويل، حان دوره ليقترب من الشباك. ذكره الموظف بأن يتبع التعليمات المعلقة على الجدار. فنظر خالد إلى الإرشادات وتقدم الثاني من على اليسار. , في يوم كانت فيه الحركة بزاف، خالد وجد روحو في طابور طويل قدام مكتب البريد. وبعدما صبر بزاف، جا دورو باش يقرب للشباك. الموظف قال لو يتبع الإرشادات لي معلقين على الحيط. خالد شاف الإرشادات وتقدم التاني على اليسار. ,Algerian
 في يوم من الأيام، وجدت قطة صغيرة تائهة في الشارع، يبدون في حجم صغير جداً. اقترب منها صبي صغير وقرر أن يأخذها إلى بيته. عندما وصلوا، أطعمها واعتنى بها. ومع مرور الوقت، أصبحت القطة الصغيرة جزءًا لا يتجزأ من عائلته. , في نهار، لقى قطوس صغير ضايع في الزنقة، كان بان صغير بزاف. واحد الدري صغير جا عندها وقرر يديها لدارهم. يوما وصلو، طعمها وعتنى بيها. ومع مرور الوقت، القطوس الصغير ولا جزء من العائلة ديالهم. ,Algerian
 في إحدى البطولات القوية، وجد اللاعب نفسه أمام تحديات كبيرة. كانت الجولات معقدة وكل خصم أقوى من الآخر. تمكن بعزيمة وتصميم من تخطي الصعوبات. وفي النهاية، ارتفعت يداه معلنًا فوزه المستحق. , في واحد من المنافسات القوية، لقى اللاعب روحو قدام تحديات كبيرة. الدورات كانو معقدين وكل خصم قوى من لي قبلو. بالعزيمة والإصرار تمكن يتجاوز الصعوبات. وفي الأخير، طلعت يديه فوق يعلن فوزو اللي يستاهلو. ,Algerian
" في يوم مشمس، قرر أحمد السفر إلى المدينة المجاورة. عندما وصل إلى المحطة، طلب من الموظف: ""أريد مقعدًا بالقرب من النافذة، من فضلك"". جلس أحمد بجوار النافذة، يتأمل الطبيعة الخلابة خلال رحلته. وصل إلى وجهته مستمتعًا بجمال الريف الذي لاحظه خلال الطريق. "," في يوم مشرق، حسم عمر رأيه يروح للمدينة اللي جنبنا. ملّي وصل لمحطة القطار، طلب من العون: ""حبّيت نقعد حدا الطاقة، عافاك"". جلس عمر حدا الطاقة، يتأمل في مناظر الطبيعة الفاتنة طول الطريق. وصل للوجهة متهني بالجمال اللي شافو من القرى والحقول على جنبات الطريق. ",Algerian
 كان أحمد يتساءل إن كان بإمكانه استخدام تذكرة اشتراك القطار الأوروبي في رحلته. فذهب إلى المحطة وسأل الموظف، فأكد له أن التذكرة صالحة. شعر أحمد بالسعادة لأنه سيوفر الكثير من المال. ومنذ ذلك الحين، أصبح يستخدم القطار دائمًا في تنقلاته الأوروبية. , أحمد كان يحوس يعرف واش يقدر يستعمل الباس ديال القطار الأوروبي في سفرتو. مشى للمحطة وسقسى العون، اللي قال لو تذكرتو صحيحة. فرح بزاف حيت غادي يقدر يخلص قل من الثمن. ومن ديك الساعة، ولات القطارات هي وسيلة السفر ديالو الدائمة في أوروبا. ,Algerian
 سأل أحمد صديقه عن الوقت اللازم للسفر إلى اليابان. فأجابه صديقه أن الرحلة تستغرق حوالي عشر ساعات طيران. شعر أحمد بالحماسة لزيارة طوكيو والتعرف على ثقافتها. بدأ في التخطيط لرحلته وجمع المعلومات اللازمة لهذه المغامرة. , أحمد سقسى صاحبو شحال يحتاج باش يوصل لليابان. صاحبو جاوبو بلي يحتاج حوالي عشر سوايع في الطيارة. أحمد تحمس بزاف باش يروح لطوكيو ويتعرف على الثقافة تاعهم. بدا يخطط للفوياج ديالو ويجمع المعلومات اللي يحتاجها لهاد المغامرة. ,Algerian
" كان الرجل يخطط لرحلة في الصحراء وسأل العابر، ""هل لديك خرائط للطرق؟"" فأجاب العابر ""نعم، ويمكنني مساعدتك في التخطيط لمسارك."" شكره الرجل وبدأ يدرس الخرائط بعناية. وبفضل المساعدة التي حصل عليها، تمكن من إكمال رحلته بنجاح. "," واحد الراجل كان حاب يروح سفرية في الصحراء وسقسى واحد، ""عندك شي خرائط للطرقان؟"" جاوبو الراجل ""ايه، ونقدر نعاونك تخطط لطريقك."" شكره الراجل وبدا يشوف فالخرائط بالدقة. وبالعون اللي جاب، قدر يخلص سفرتو بلا مشاكل. ",Algerian
 أوه، نعم. لقد قرأت عنه في الدليل. فقررت أن أزور ذلك المكان العجيب. وعندما وصلت، وجدت تحفًا فنية قديمة أذهلتني. بقيت هناك لساعات أتأمل الجمال والإبداع الإنساني. , أه، إيه. قريت عليه فالدليل. حبيت نزور هذا المكان العجيب. وملي وصلت، لقيت أعمال فنية قديمة خلتني منبهر. بقيت تماك ساعات نتأمل فالجمال والإبداع ديال الإنسان. ,Algerian
 لقد طلبت ثلاثة أكواب من الشاي، لكن لم يأتِ إلا اثنين فقط. فغضبتُ من النادل واشتكيتُ للمدير. فاعتذر النادل بأدب وشرح أن هناك خطأ في المطبخ. وفي النهاية، أحضر لي كوب الشاي الثالث مع حلوى مجانية تعويضًا. , طلبت ثلاثة كيسان من الأتاي، ولكن جاتني غير جوج. تعصبت على السرفور وشكيت للمدير. السرفور عتذر بأدب وقال لي فيه غلط في المطبخ. وفي اللخر، جاب لي الكاس الثالثة وحلوى بلاش كتعويض. ,Algerian
 في مدينة صغيرة، وجدت مريم الأجهزة الكهربائية رخيصة جداً، فاشترت كل ما تحتاجه لمنزلها الجديد. لكنها اكتشفت أن مصاريف الأكل والسكن مرتفعة جداً، مما جعل ميزانيتها محدودة. بدأت مريم بالبحث عن عروض خاصة للطعام والسكن. واستطاعت أخيراً أن تجد توازناً مالياً يسمح لها بالعيش براحة. , في مدينة صغيرة، مريم لقات الأجهزة الكهربائية بثمن رخيص بزاف، علاش اشرات كلش لدارها الجديدة. ولكن تفاجأت بلي مصاريف الأكل والسكناية غاليين بزاف، وهذا خلا الميزانية ديالها تولي محدودة. مريم بدات تقلب على العروض الخاصة باش توفر في الأكل والسكن. وفالتالي، قدرت تلقا توازن مالي يخليها تعيش مرتاحة. ,Algerian
" في يوم مشمس جميل، قرر أحمد أن يأخذ طعامه ويتناوله في الحديقة. وجد مكانًا هادئًا تحت شجرة كبيرة وانتشرت رائحة الزهور في الهواء. بينما هو يأكل، التقى بعصفور صغير جاء يشاركه الفتات. ضحك أحمد وقال: ""سأتناولها بالخارج أكثر في المرات القادمة"". "," في نهار شمسي مليح، أحمد قرر ياخذ قوتو ويمشي يكل في الجردة. لقى بلاصة هانية تحت شجرة كبيرة وريحة الزهور عامرة في الهواء. وهو ياكل، واحد العصفور الصغير جا يشاركو في الكسرات. أحمد ضحك وقال: ""سأتناولها بالخارج أكثر في المرات الجايين"". ",Algerian
