MSA,Iraqi,lang
 نعم، نحن لدينا منهج نصف يوم، ومنهج ليوم كامل. في المدرسة، كان الطلاب يختارون المنهج الذي يناسبهم. طارق اختار المنهج الكامل ليستفيد أكثر. وبعد سنة، استطاع طارق التفوق بفضل جهده والمنهج المتكامل. , اي، عدنا منهج لنص يوم، ومنهج ليوم كامل. بالمدرسة، الطلاب يكدرون يختارون المنهج اللي يناسبهم. طارق اختار المنهج الكامل علمود يستفاد اكثر. وبعد سنة، طارق قدر يتفوق بفضل مجهوده والمنهج الكامل.,Iraqi
 كان هناك طائر جميل يحلق في السماء الزرقاء، وكان يحبذ أن يطير عالياً ليرى العالم من حوله. في يوم من الأيام، وجد مكانًا مثاليًا لبناء عشه. ومع مرور الوقت، أصبح العش ملاذًا لطيور أخرى تحبذ أيضًا حلق في السماء الواسعة. , كان أكو طير حلو يطير بالسماء الزرقة، وكلش كان يحب يطير عالي حتى يشوف الدنيا من حوله. بيوم من الأيام، لكه مكان زين يبني بيه عشه. وبمرور الأيام، صار العش مأوى لطيور ثانية تحب همين تطير عالي بالسما الفسيحة.,Iraqi
 ذهب محمد إلى المتجر لشراء منبه جديد. وجد العديد من الأنواع لكنه اختار واحدًا متطورًا. دفع ثمنه وعاد إلى البيت مسرورًا. في اليوم التالي، استيقظ مبكرًا بفضل المنبه الجديد. , محمد راح للمحل يشتري منبه يديد. لكة أنواع وايد بس اختار واحد حديث. دفع فلوسه ورجع للبيت مستانس. اليوم اللي بعده، كعد بكير بفضل المنبه اليديد.,Iraqi
" في أحد الأيام، قرر محمد إلغاء حجزه في فندق الواحة لأنه وجد مكانًا أقرب إلى موقع العمل. اتصل بالفندق وقال، ""أريد إلغاء حجزي، من فضلك."" تفهم موظف الاستقبال الوضع وألغى الحجز دون رسوم إضافية. شعر محمد بالراحة لأنه سيوفر الوقت والمال في التنقلات. "," بيوم، محمد قرر يلغي حجزه بفندق الواحة لأن لكه مكان أقرب لدوامه. اتصل بالفندق وگال، ""أريد ألغي حجزي، لو تكرمت."" الموظف بالاستقبال فهم السالفة وألغى الحجز من دون أي فلوس زيادة. محمد استراح لأنه راح يوفر وقت وفلوس بالتنقل.",Iraqi
" في يوم من الأيام، كان هناك رجل يتساءل ""ما هو نظام الاسترداد؟""، فقرر البحث عن إجابة. وبعد جهد وبحث طويل، اكتشف أن نظام الاسترداد عبارة عن مجموعة من الإجراءات التي تسمح للمستهلكين بإعادة السلع أو الحصول على تعويض في حالة وجود عيب. شعر بالرضا لأنه أصبح يعرف حقوقه كمستهلك، وقرر أن يشارك معلوماته هذه مع الآخرين ليستفيدوا. "," بيوم من الأيام، واحد كان يتساءل ""شنو يعني نظام الاسترداد؟""، فقرر يبحث عن الجواب. وبعد تعب وبحث طويل، اكتشف إن نظام الاسترداد هو مجموعة إجراءات تخول للزبائن إرجاع السلع أو ياخذون تعويض إذا كانت فيها عيب. ارتاح لأنه عرف حقوقه مثل زبون، وقرر يشارك هذا العلم ويا الناس حتى يستفادون.",Iraqi
 في إحدى الليالي المظلمة، اكتشف أحمد أن الإضاءة لا تعمل في منزله. حاول إصلاحها بنفسه، لكن دون جدوى. دعا الكهربائي الذي وجد مشكلة في الأسلاك. بعد الإصلاح، عادت الأنوار لتضيء المنزل مجددًا. , بإحدة من الليالي المظلمة، اكتشف أحمد إن النور ما يشتغل بالبيت. حاول يدبرها بروحه، بس ما كدر. ياب الكهربائي اللي شاف المشكلة بالأسلاك. وبعد الإصلاح، النور رد يشتغل بالبيت مرة ثانية.,Iraqi
 بالمناسبة، اسمي هيروشي إيجيما، وأنا باحث ياباني مقيم في القاهرة. جئت إلى هنا لدراسة اللغة العربية وآثار الفراعنة. في كل يوم، أذهب إلى المكتبة لأقرأ الكتب النادرة. وقد وجدت صديقًا مصريًا يشاركني شغفي بالتاريخ. , بالصدفة، اسمي هيروشي إيجيما، وأنا باحث ياباني عايش ببغداد. جيت لهنا أدرس اللغة العربية وآثار الفراعنة. كل يوم أروح للمكتبة أقره الكتب النادرة. وصادقت واحد عراقي يحب التاريخ مثلي.,Iraqi
 كان أحمد يعمل مع شركة دولية وكان عليه أن يعقد اجتماعاً مع زملائه في طوكيو. فتساءل ما هو فارق التوقيت بين طوكيو وهنا. بعد البحث عرف أن الفارق هو ٩ ساعات. فاضطر أحمد لضبط منبهه ليستيقظ في منتصف الليل لحضور الاجتماع. , أحمد كان يشتغل ويا شركة دولية وكان لازم يسوي ميتينك ويا رفاقه بطوكيو. جان يتساءل شكد الفرق بالوقت بين طوكيو وهنا. يوم دور لكه إن الفرق تسع ساعات. فأحمد صار لازم يضبط المنبه حتى يكعد بنص الليل ويحضر الميتينك.,Iraqi
 في يوم مشمس، استقل محمد القطار متوجهاً إلى لاك فورست. وأثناء الرحلة، تعرف على راكب بجانبه يدعى أحمد. بدأ الاثنان بتبادل الحديث عن وجهتهما وما يخططان لفعله هناك. وعندما اقترب القطار من المحطة، تأكد محمد من أن القطار يتوقف في لاك فورست، فأومأ أحمد برأسه مؤكداً. , بيوم مشمس، محمد ركب القطار رايح لاك فورست. وبالطريق، تعرف على شخص يمه اسمه أحمد. سولفوا وتبادلوا الحجي عن وين رايحين وشنو الخطط مالتهم هناك. ولما القطار جان يقترب من المحطة، محمد استفسر إذا القطار راح يوقف بلاك فورست، وأحمد أكدله بإيماءة من راسه.,Iraqi
" في أحد الأسواق الشعبية، سأل رجل تاجراً عن سعر بعض البضائع، فأجابه التاجر بابتسامة، ""كم السعر الإجمالي؟""، فأخرج الرجل محفظته وأعطى التاجر النقود بعد أن حصل على إجابة. "," بسوك من الأسواك الشعبية، واحد سأل بائع شكد سعر هاي البضاعة، البائع ابتسم وقال له ""شكد السعر الكلي؟""، الزبون طلع فلوسه ودفع للبائع بعد ما استلم الجواب.",Iraqi
 شكراً يا سيدي، لقد أنقذت حياتي. عندما سقطت في النهر، جاء الرجل الشجاع وأمسك بيدي. بعد أن أخرجني من الماء، قدم لي بطانية دافئة وشاياً ساخناً. لن أنسى معروفه طوال حياتي. , شكراً جزيلاً يا سيدي، أنت فعلاً أنقذت حياتي. لمن طحت بالنهر، يجي واحد رجال شجاع ويمسك إيدي. وبعد ما يطلعني من الماي، يعطيني بطانية دافية وجاي حار. همينة ما أنسى الي سواه وياي طول عمري.,Iraqi
 تقدم للأمام واتجه يمينًا عند الناصية الثالثة، فوجد بابًا خشبيًا قديمًا. دق الباب بحذر، ففتحت له عجوز تحمل مصباحًا. طلب منها المساعدة فأشارت إلى كتاب على الطاولة. كان الكتاب مفتاحًا لألغاز كثيرة كان يبحث عنها منذ سنوات. , راح لجدام واتجه يمين عند الزاوية الثالثة، لكى باب خشبي قديم. دك الباب بهدوء، فتحت صاحبة البيت عجوز تحمل فانوس. طلب منها مساعدة فأشارتله على كتاب على الطاولة. هذا الكتاب كان مفتاح لأسرار وايد كان دايخ عليها سنين.,Iraqi
 في أحد الأيام، استيقظ يوسف وهو يشعر بألم حاد في معدتيه. حاول تجاهل الألم وتناول بعض الأدوية المسكنة، لكن بلا فائدة. اضطر أخيرًا إلى زيارة الطبيب، الذي أخبره بأنه يعاني من التهاب حاد في المعدة ويحتاج إلى الراحة والعلاج. بعد اتباع التعليمات والراحة لعدة أيام، شعر يوسف بتحسن كبير وعاد إلى حياته اليومية بصحة جيدة. , في يوم، صحى يوسف وهو يحس بألم قوي بكرشه. حاول يتناسى الوجع وأخذ شوية دواء، بس ما فاد شي. ضروري صار لازم يروح للطبيب، اللي كلله إن عنده التهاب كلش قوي بالمعدة ويحتاج يستريح ويتعالج. بعد ما سمع للنصيحة واستراح لكم يوم، يوسف حس بتحسن كبير ورد لحياته اليومية بصحة زينة.,Iraqi
 كان هناك شاب ياباني يعشق الأخطبوط والحبار، لذلك قرر أن يتعلم فن طهيهما ببراعة. بعد سنوات من التدريب، أصبح الشاب طاهيًا مشهورًا في طوكيو. كانت مطعمه يجذب السياح من جميع أنحاء العالم لتذوق أطباقه الفريدة. وفي كل مرة يزور فيها الناس مطعمه، كانوا يشيدون بمهارته في تحضير الأخطبوط والحبار. , كان يمة شاب ياباني يحب الأخطبوط والكلمار حيل، فصمم يتعلم يطبخهم بيد ماهرة. بعد سنين من التدريب، صار الشاب طباخ معروف بطوكيو. مطعمه صار يجذب سواح من كل مكان يجون يذوقون أطباقه الخاصة. وكل مرة الناس تزور مطعمه، يمدحونه على شغله بتحضير الأخطبوط والكلمار.,Iraqi
" في أحد الأيام وأثناء سيري في الحديقة، شاهدت طائراً نادراً يقف على غصن شجرة. استوقفني جماله وألوانه الزاهية فوقفت أتأمله. تساءلت في نفسي ""هل رأيت ذلك من قبل؟"" لأنني لم أرَ مثله في حياتي. بقيت هناك لوقت طويل أراقب الطائر حتى طار بعيداً. "," بيوم من الأيام وأني ماشي بالحديقة، شفت طير نادر واكف على غصن شجرة. جماله وألوانه الفاقعة خلاني أوكف أتأمل بيه. كلت لنفسي ""شفت هذا من قبل؟"" لأن ما شفت مثله بحياتي. كعدت هناك فترة طويلة أتفرج بالطير لحد ما طار لبعيد.",Iraqi
" أحضر محمد هدية مميزة لعيد ميلاد صديقه العزيز. طلب من البائع أن يقوم بتغليفها بعناية فائقة. قال البائع مبتسمًا: ""أنها هدية. هل يمكنك أن تقوم بلف هذه الهدية لي؟"" فوافق محمد على الفور وشعر بسعادة غامرة لتقديمها. "," محمد جاب هدية حلوة لعيد ميلاد رفيجه الروح. كال للبايع يخلي باله ويغلفها زين. البايع ابتسم وكال: ""هاي هدية. تكدر تغلفها الي؟"" محمد وافق بسرعة وحس بفرحة كبيرة وهو يستعد يهديها.",Iraqi
 مساء الخير، السيدة كنت. لم نلتقي منذ زمن بعيد. في ذلك اليوم، كان الجو باردا والسماء صافية عندما التقت السيدة كنت بصديقة قديمة في الحديقة. تبادلا الأخبار والذكريات، وضحكا على الأيام الخوالي. قررتا بعد ذلك أن يجددا العهد بلقاءات دورية ليحافظا على الصداقة القوية. ومع غروب الشمس، ودعتا بعضهما بابتسامة دافئة، عازمتين على عدم ترك الزمن يفرق بينهما مجددا. , مساء الخير، السيدة كنت. صارلنا زمان ما شفنا بعض. بهذاك اليوم، كان الجو بارد والسماء صافية لما السيدة كنت تلاقت ويه رفيجتها القديمة بالحديقة. تبادلوا الأخبار والذكريات، وضحكوا على أيام اللي راحت. واتفقوا يجددون اللقاءات باستمرار حتى يحافظون على صداقتهم القوية. وبوكت مغيب الشمس، ودعوا بعضهم بابتسامة حلوة، متعهدين ما يخلون الزمن يفرق بينهم مرة ثانية.,Iraqi
" في يوم حار، ذهب خالد إلى المحطة ليحجز تذكرتين إلى شيكاغو. وقف عند الشباك وسأل بأدب: ""هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغو، من فضلك؟"" ابتسم الموظف وأعطاه التذاكر، متمنياً له رحلة سعيدة. شعر خالد بسعادة غامرة وهو يتطلع إلى الرحلة. "," بيوم حار، خالد راح للمحطة حتى يحجز تذكرتين لشيكاغو. وكف عند الشباك وكله بأدب: ""أقدر أخذ تذكرتين درجة ثانية لشيكاغو، تكرم؟"" الموظف ابتسم وناوله التذاكر، وكله ""تسافر بخير وعافية."" خالد حس بفرحة كبيرة وهو متشوق للسفره.",Iraqi
" كان هناك رجل يشعر بالتعاسة دائمًا. ذات يوم، قرر أن يغير من نظرته للحياة ويبحث عن السعادة. بدأ بمساعدة الآخرين واكتشف أن ذلك يجعله سعيدًا. في نهاية المطاف، تحولت حياته وأصبح يقول دائمًا ""أنا أسعد"". "," كان أكو واحد دائما مهموم. يوم واحد، قرر يغير من نظرته للحياة ويشوف وين السعادة. شرع بمساعدة الناس واكتشف إن هذا الشي يخليه مستانس. في النهاية، تبدلت حياته وصار دايماً يگول ""أنا أسعد"".",Iraqi
 لقد ذهبت إلى نيويورك. وأثناء تجولي في شوارع المدينة، شعرت بالإثارة لرؤية ناطحات السحاب. التقيت بأشخاص من مختلف الثقافات، وتناولت أشهى الأطعمة. في نهاية الرحلة، وجدت نفسي مغرمًا بعبق التاريخ وحداثة المدينة. , رحت لنيويورك. وهناك، وأني أمشي بشوارعها، حسيت بحماسة كبيرة لمن شفت البنايات الشاهقة. تعرفت على ناس من ثقافات متنوعة، وذقت أطيب الأكل. وبنهاية السفرة، لكيت نفسي مفتون بتاريخ وحداثة هالمدينة.,Iraqi
 قررت ليلى تغيير حجزها للرحلة الجوية رقم 205 لتفاجأ بأن التذاكر قد نفدت. بحثت بكل جهد عن رحلة بديلة ووجدت واحدة تغادر في اليوم التالي. اتصلت بالشركة فوراً وتمكنت من حجز مقعد في اللحظة الأخيرة. شعرت بالامتنان لأنها ستستطيع اللحاق بموعد مهم في الثاني من أكتوبر. , قررت ليلى تبدل حجزها للطيارة رقم 205 وانصدمت يوم لكت البطاقات كلهن انباعوا. دورت بكل قوتها على رحلة ثانية ولكت وحدة تطير باليوم اللي وراه. دكت على الشركة حالاً وقدرت تحصل على مقعد بآخر لحظة. حست بامتنان كبير لأنها راح تكدر توصل لموعد مهم بالثاني من أكتوبر.,Iraqi
" في أحد أيام الصيف الحارة، توجه محمد إلى المطار حاملاً حقائبه متجهًا نحو مكتب الاستعلامات وسأل الموظف: ""ما هو رقم الرحلة الجوية؟"". ابتسم الموظف وأخبره بأن رحلته ستقلع بعد ساعتين. شعر محمد بالارتياح وقرر قضاء بعض الوقت في متجر الكتب بالمطار. عندما حان وقت الصعود إلى الطائرة، كان محمد متحمسًا لبدء مغامرته الجديدة. "," بيوم من الأيام الحارة مال الصيف، محمد راح للمطار شايل جناطه وتوجه للإستعلامات وسأل الموظف: ""شنو رقم الرحلة الجوية؟"". الموظف ابتسم وكله رحلتك راح تنطلق بعد ساعتين. محمد حس بالاستراحة وقرر يمر الوقت بمحل الكتب بالمطار. يوم جاء وقت الصعود للطيارة، محمد كان متشوق ليبدأ مغامرته الجديدة.",Iraqi
" وجد أحمد نفسه في مطار مزدحم يبحث عن طاولة التسجيل الخاصة بشركة دلتا. بعد جولة من التخبط, استطاع أخيرا أن يجدها في زاوية بعيدة. سجل حقيبته بسرعة وتنفس الصعداء. انطلق بعدها صوب بوابة الصعود للطائرة، متحمسًا لرحلته القادمة. ", أحمد لكه نفسه بمطار زحمة، يدور على طاولة تسجيل دلتا. بعد مدة من التمشي، حصلها بزاوية بعيدة. سجل حقيبته بسرعة وارتاح. راح لبوابة الطيارة، متحمس للسفرة الي جاية.,Iraqi
" كان يعقوب يتبع حمية غذائية خاصة بسبب مشاكل في ضغط الدم. فسأل الطباخ في المطعم: ""هل هذه وجبة منخفضة الصوديوم؟"" اطمأن عندما أكد له الطباخ ذلك. ومنذ ذلك اليوم، أصبح يعقوب يزور هذا المطعم بانتظام. "," يعقوب كان ملتزم برجيم خاص لأن عنده مشكلة بالضغط. سأل الطباخ: ""هاي الوجبة قليلة بالملح؟"" يوم الطباخ طمنه، يعقوب صار يجي للمطعم دائماً.",Iraqi
 هذا البند غير مسموح به في السوق، فقد حظرته الحكومة بسبب مخاطره. كان علي الحاج أن يبحث عن بديل يمكنه تداوله. بعد جهد وتفكير، وجد سلعة أخرى مربحة وقانونية. أصبح بعد ذلك من أشهر التجار في البلدة. , هذا الشي مو مسموح بيه بالسوق، الحكومة منعته لأنه خطر. لازم علي الحاج يدور على شي ثاني يكدر يشتغل بيه. بعد تفكير وتعب، لكه سلعة ثانية مفيدة ومو ممنوعة. وصار بعدين من أشهر التجار بالمحلة.,Iraqi
 أعتقد أننا نستطيع. ها هي ورقتك. في تلك اللحظة، شعر أحمد بأن كل جهوده قد تكللت بالنجاح. أخذ الورقة بيد مرتعشة، وعيناه تلمعان بالدموع. قرأ النتيجة بصوت عالٍ أمام أصدقائه المتجمعين، والجميع يهتفون فرحين بنجاحه. وفي الخارج، كانت أمه تنتظر بفارغ الصبر لتحتفل مع ابنها النابغة. , أظن إحنا نكدر. هاي ورقتك. بهذيك اللحظة، حس أحمد إن كل تعبه جاب نتيجة. أخذ الورقة وإيديه ترجف، وعيونه مليانة دموع. قرة النتيجة بصوت عالي قدام ربعه اللي كانوا واكفين حواليه، وكلهم فرحانين ويصيحون بنجاحه. وبره، أمه كاعدة تنتظر بكل شوق تحتفل ويا ولدها الفطين.,Iraqi
 في ليلة باردة، خلع يوسف قميصه الثقيل قبل أن يذهب للنوم. وضعه بعناية فوق الكرسي الخشبي المتهالك. تسلل البرد إلى جسده، لكنه شعر براحة بالغة تحت الأغطية الدافئة. أغمض عينيه واستسلم للنوم العميق بعد يوم طويل وشاق. , بليلة باردة، يوسف شلع قميصه الثگيل قبل لا يروح ينام. حطه فوك الكرسي الخشب القديم. البرد دخل بيه، بس تحت الحافات الدافية حس براحة كومة. غمض عيونه ونام نومة غطة بعد يوم طويل ومتعب.,Iraqi
" وصل عمر إلى الفندق متأخرًا وكان متعبًا، فطلب من الاستقبال إيقاظه مبكرًا. قال للموظف: ""لا، سوف أخذها خلال فترة إقامتي""، مشيرًا إلى الصحيفة المجانية. استيقظ عمر باكرًا وتناول القهوة بينما يقرأ الأخبار. عند تسجيل الخروج، شكر الموظفين ووعدهم بالعودة في المرة القادمة. "," عمر وصل للفندق متأخر وكان منهك، فطلب من الاستقبال يوعوه بالصبح. كلهم: ""لا، أني راح آخذها طول مدة إقامتي""، ويقصد الجريدة المجانية. عمر قام بالصبح وشرب قهوته وهو يقرأ الأخبار. لما هم بالمغادرة، شكر العاملين ووعدهم يزورهم مرة ثانية.",Iraqi
" كانت قطعة القماش تتغير ألوانها حسب الضوء، فأحياناً تبدو زرقاء وأحياناً خضراء. لاحظ الخياط هذه الظاهرة فسأل نفسه ""هل هو ثابت اللون؟"" قرر أن يختبر القماش تحت أنواع مختلفة من الإضاءة. وجد أن القماش يحتفظ بخاصية التغير مهما تعددت مصادر الضوء. "," الكمشة كانت تغير ألوانها بالنور، مرات تصير زركة ومرات خضرة. الخياط انتبه لهاي الظاهرة وسأل نفسه ""هل هو ثابت اللون؟"" قرر يختبر الكمشة تحت أنواع مختلفة من النور. لكة الكمشة تحافظ على هاي الصفة حتى بتغيير مصادر النور.",Iraqi
 في أحد أحياء المدينة العتيقة، كانت توجد بوابة زمنية تنقل من يعبرها إلى الماضي. السكان المحليون اعتبروها خاصية خاصة بهذا الحي. يوماً ما، قرر شاب مغامر العبور من خلالها، فاكتشف عوالم لم يكن يعلم بوجودها. عاد محملاً بالحكايات والأسرار التي جعلت الحي مشهوراً ومحط أنظار العالم. , بواحد من أقدم أحياء المدينة، كان في باب زمني ينقل الي يمر منه للماضي. الناس الي ساكنة هناك كانو يعتبروها ميزة خاصة بهاي الحي. واحد شاب مغامر قرر يجرب ويمر منها، فاكتشف عوالم ما كان يدري بيها. رجع وياه قصص وأسرار خلت الحي مشهور ومركز اهتمام العالم.,Iraqi
 كان هناك طفل يدعى عمر يحب البسكويت كثيرًا. في كل مرة يزور فيها جدته، كانت تعد له أطيب أنواع البسكويت. ذات يوم، قرر عمر أن يتعلم كيفية صنع البسكويت بنفسه. بعد عدة محاولات، أصبح عمر يصنع البسكويت بمهارة وأصبحت وصفاته مشهورة بين أصدقائه. , كان أكو ولد اسمه عمر يحب البسكويت وايد. كل مرة يروح لجدته، كانت تسويله أحلى بسكويت. في يوم من الأيام، قرر عمر يتعلم يسوي البسكويت بنفسه. بعد محاولات وايد، صار عمر يصنع البسكويت بمهارة وانتشرت وصفاته بين أصدقائه.,Iraqi
" في يوم مشمس، قرر أحمد أن يسافر إلى نيويورك ليحقق حلمه بزيارة تمثال الحرية. بعد التخطيط لأسابيع، وجد نفسه واقفًا أمام مكتب حجز التذاكر يقول ""واحد لنيويورك، من فضلك"". خلال الرحلة، التقى بمسافرين من مختلف الثقافات وتبادل معهم القصص والخبرات. وعند وصوله، شعر أحمد بالإثارة والنشوة وهو ينظر إلى المدينة التي لطالما حلم بزيارتها. "," بيوم مشمس، أحمد قرر يروح لـ نيويورك حتى يشوف تمثال الحرية اللي دومه كان يحلم بيه. بعد ما خطط لأسابيع، وصل لمكتب التذاكر وگال ""واحد لـ نيويورك، لو سمحت"". بالطيارة، تعرف على ناس من ثقافات مختلفة وحچى وياهم وتبادلوا القصص. ولما وصل، حس بفرحة كبيرة وهو يطالع المدينة اللي دائماً كان يحلم يزورها.",Iraqi
 لعدة أيام قليلة، بقي الطائر صغيراً في عشه ينتظر عودة أمه. في اليوم الخامس، لاحظ أن الغابة أصبحت هادئة بشكل غريب. شعر بالجوع الشديد، فقرر أن يخرج بحثاً عن الطعام. وخلال رحلته، وجد صديقاً جديداً يعلمه كيف يطير. , لكم يوم، العصفور الصغير بقى بعشه ينتظر أمه ترجعله. باليوم الخامس، لاحظ إن الغابة صارت هادئة بشكل غريب. حس بجوعة كبيرة، قرر يطلع يدور على أكل. وبطريقه، لكى صديق جديد علمه شلون يطير.,Iraqi
 في يوم حافل بالأحداث، وجد خالد نفسه في طابور طويل أمام مكتب البريد. وبعد انتظار طويل، حان دوره ليقترب من الشباك. ذكره الموظف بأن يتبع التعليمات المعلقة على الجدار. فنظر خالد إلى الإرشادات وتقدم الثاني من على اليسار. , بيوم مليان بالأحداث، خالد لكه نفسه واكف بصف طويل جدام مكتب البريد. وبعد ما انتظر فترة طويلة، أجه دوره يقرب للشباك. الموظف كلله لازم يتبع الإرشادات الي علقوها عالجدار. خالد ناظر للإرشادات وتقدم الثاني من على اليسار.,Iraqi
 في يوم من الأيام، وجدت قطة صغيرة تائهة في الشارع، يبدون في حجم صغير جداً. اقترب منها صبي صغير وقرر أن يأخذها إلى بيته. عندما وصلوا، أطعمها واعتنى بها. ومع مرور الوقت، أصبحت القطة الصغيرة جزءًا لا يتجزأ من عائلته. , في يوم، لكيت قطوة صغيرة ضايعة بالشارع، تطلع صغيرة موت. ولد صغير قرب منها وقرر ياخذها لبيتهم. يوم وصلو، سوالها أكل واهتم بيها. وبعد فترة، القطوة الصغيرة صارت جزء مهم من عايلته.,Iraqi
 في إحدى البطولات القوية، وجد اللاعب نفسه أمام تحديات كبيرة. كانت الجولات معقدة وكل خصم أقوى من الآخر. تمكن بعزيمة وتصميم من تخطي الصعوبات. وفي النهاية، ارتفعت يداه معلنًا فوزه المستحق. , بوحدة من البطولات القوية، لكه اللاعب نفسه قدام تحديات كبيرة. الجولات كانت معقدات وكل خصم أقوى من الثاني. بعزم وإصرار استطاع يتجاوز الصعاب. وبالنهاية، ارتفعت ايديه فوق ينادي بفوزه الي يستاهله.,Iraqi
" في يوم مشمس، قرر أحمد السفر إلى المدينة المجاورة. عندما وصل إلى المحطة، طلب من الموظف: ""أريد مقعدًا بالقرب من النافذة، من فضلك"". جلس أحمد بجوار النافذة، يتأمل الطبيعة الخلابة خلال رحلته. وصل إلى وجهته مستمتعًا بجمال الريف الذي لاحظه خلال الطريق. "," بيوم مشمس، قرر أحمد يروح للمدينة الجنبنا. يوم وصل للمحطة، كال للموظف: ""أريد كرسي يم الدريشة، لو سمحت"". جلس أحمد عند الدريشة، وظل يتأمل بالمناظر الحلوة ويه السفرة. وصل للمكان الراد يروحله وهو مستانس بالجمال الشافه بالطريق.",Iraqi
 كان أحمد يتساءل إن كان بإمكانه استخدام تذكرة اشتراك القطار الأوروبي في رحلته. فذهب إلى المحطة وسأل الموظف، فأكد له أن التذكرة صالحة. شعر أحمد بالسعادة لأنه سيوفر الكثير من المال. ومنذ ذلك الحين، أصبح يستخدم القطار دائمًا في تنقلاته الأوروبية. , أحمد كان محتار إذا يكدر يستخدم بطاقة الاشتراك الأوروبية للقطار بسفرته. راح للمحطة وسأل الموظف، والموظف أكدله إن التذكرة كلش زينة. فرح حيل لأنه راح يوفر فلوس وايد. ومن يومها صار يستخدم القطار دوم بسفراته بأوروبا.,Iraqi
 سأل أحمد صديقه عن الوقت اللازم للسفر إلى اليابان. فأجابه صديقه أن الرحلة تستغرق حوالي عشر ساعات طيران. شعر أحمد بالحماسة لزيارة طوكيو والتعرف على ثقافتها. بدأ في التخطيط لرحلته وجمع المعلومات اللازمة لهذه المغامرة. , أحمد سأل رفيجه شكد يحتاج وقت حتى يوصل لليابان. رفيجه جاوبه إنه السفرة تأخذ حوالي عشر ساعات بالطيارة. أحمد انبسط لفكرة زيارة طوكيو ويتعرف على ثقافتهم. شرع يخطط لرحلته ويجمع المعلومات الضرورية لهاي المغامرة.,Iraqi
" كان الرجل يخطط لرحلة في الصحراء وسأل العابر، ""هل لديك خرائط للطرق؟"" فأجاب العابر ""نعم، ويمكنني مساعدتك في التخطيط لمسارك."" شكره الرجل وبدأ يدرس الخرائط بعناية. وبفضل المساعدة التي حصل عليها، تمكن من إكمال رحلته بنجاح. "," كان زلمة يريد يروح سفرة بالصحراء وسأل واحد، ""عندك خرائط للطرق؟"" الشخص جاوب ""اي، وأكدر أساعدك تخطط لطريقك."" الزلمة شكره وشرع بقراءة الخرائط بعناية. وبالمساعدة الحصل عليها، كدر يكمل سفرته بنجاح.",Iraqi
 أوه، نعم. لقد قرأت عنه في الدليل. فقررت أن أزور ذلك المكان العجيب. وعندما وصلت، وجدت تحفًا فنية قديمة أذهلتني. بقيت هناك لساعات أتأمل الجمال والإبداع الإنساني. , أي، أي. أني قريت عنه بالدليل. فصرت أريد أزور هذا المكان الغريب. ويوم وصلت، شفت أشياء فنية قديمة مو صايرة، فتحت عيوني عالكبر. جلست ساعات أنظر وأتعجب من الجمال والأبداع الإنساني.,Iraqi
 لقد طلبت ثلاثة أكواب من الشاي، لكن لم يأتِ إلا اثنين فقط. فغضبتُ من النادل واشتكيتُ للمدير. فاعتذر النادل بأدب وشرح أن هناك خطأ في المطبخ. وفي النهاية، أحضر لي كوب الشاي الثالث مع حلوى مجانية تعويضًا. , طلبت ثلاثة أكواب من الچاي، بس وصلني اثنين بس. عصبت على الويتر وشكيت للمدير. الويتر اعتذر بأدب وكال في خطأ بالمطبخ. وبالأخير، يابلي كوب الچاي الثالث وياه حلويات ببلاش عربون.,Iraqi
 في مدينة صغيرة، وجدت مريم الأجهزة الكهربائية رخيصة جداً، فاشترت كل ما تحتاجه لمنزلها الجديد. لكنها اكتشفت أن مصاريف الأكل والسكن مرتفعة جداً، مما جعل ميزانيتها محدودة. بدأت مريم بالبحث عن عروض خاصة للطعام والسكن. واستطاعت أخيراً أن تجد توازناً مالياً يسمح لها بالعيش براحة. , بمدينة صغيرة، مريم لكت الأجهزة الكهربائية بأسعار واطية كلش، وشرت كل اللي يخص بيتها الجديد. بس اكتشفت أن مصاريف الأكل والمعيشة غالية حيل، وهذا سوى ميزانيتها ضيجة. مريم شرعت تدور على عروض للأكل والسكن. وبالأخير، أستطاعت تلكي توازن مالي يخليها تعيش مرتاحة.,Iraqi
" في يوم مشمس جميل، قرر أحمد أن يأخذ طعامه ويتناوله في الحديقة. وجد مكانًا هادئًا تحت شجرة كبيرة وانتشرت رائحة الزهور في الهواء. بينما هو يأكل، التقى بعصفور صغير جاء يشاركه الفتات. ضحك أحمد وقال: ""سأتناولها بالخارج أكثر في المرات القادمة"". "," بيوم مشمس حلو، أحمد قرر ياخذ أكله ويروح ياكل بالبستان. لكى مكان هادي تحت ظل شجرة كبيرة وريحة الزهور تعبي الجو. أثناء ما ياكل، جانه عصفور صغير يريد يشاركه الفتات. أحمد ضحك وكال: ""سأتناولها بالخارج أكثر بالمرات الياية"".",Iraqi
