id,split,MSA,ALG
4640,corpus-6-test-corpus-26-train,إنه لمن دواعي السرور أن أتحدث معك .,متشرف اللي حكيت معاك.
4644,corpus-6-test-corpus-26-test,هل هناك جولة بعد الظهر ؟,كاين رحلة بعد منتصف النهار؟
4648,corpus-6-test-corpus-26-test,إنني مع أصدقائي .,راني مع صحابي.
4653,corpus-6-test-corpus-26-train,لقد تمتعت بإقامتي . شكراً لك .,عجبتني الإقامة. صحا.
4654,corpus-6-test-corpus-26-train,الشاطئ أسفل يمينا . ياله من منظر رائع .,الشاطئ غير لتحتا. شحال شابين المناظر الطبيعية.
4658,corpus-6-test-corpus-26-train,شكراً لك على الانتظار ، يا أستاذه مكجوير . هاك هو . امض من فضلك .,يعطيك الصحة لي ستنيتي، السيدة مكغير. هايليك. اتفضلي، من فضلك.
4662,corpus-6-test-corpus-26-train,هل لديك أي صورة لبطاقة هوية ؟,عندك صورة شخصية للهوية؟
4671,corpus-6-test-corpus-26-train,سبعاً ، من فضلك .,سبعة، من فضلك.
4674,corpus-6-test-corpus-26-train,أريد أن أرسل هذا إلى المغسلة . متى ستكون جاهزة ؟,راني حاب نبعث هاذا للمغسلة. وقتاش يكون واجد؟
4685,corpus-6-test-corpus-26-train,لقد خلعت البنطلون .,عندي سروال مخطط.
4699,corpus-6-test-corpus-26-train,نعم . تم نقل أمتعة شخص آخر إلى غرفتي تواً . من فضلك ، هل من الممكن أن تقوم بفحصها ؟,ايه. الأمتعة تع واحدوخر حطوهم فالغرفة ديالي؟ تقدر تتحقق، من فضلك؟
4714,corpus-6-test-corpus-26-train,هل من الممكن أن تفصل أكثر ؟,تقدرو تشرحولي بالتفصيل كتر؟
4729,corpus-6-test-corpus-26-train,هل استرحت في نومك ؟,رقدت مليح؟
4733,corpus-6-test-corpus-26-train,هلا ضغطت على زر مصراع النافذة ؟,تقدر تضغط على زر الالتقاط؟
4740,corpus-6-test-corpus-26-train,مفتاحين من فضلك ؟,زوج مفاتح من فضلك.
4742,corpus-6-test-corpus-26-dev,أريد مصباحاً .,حبيت مصباح.
4744,corpus-6-test-corpus-26-train,في نهاية الممر .,فآخر الكولواغ.
4773,corpus-6-test-corpus-26-dev,أرغب في الحصول على بعض ورق الرسائل .,حبيت ورق تع برية.
4788,corpus-6-test-corpus-26-train,هل سنذهب بالحافلة ؟,اذا نروحوا فالحافلة؟
4790,corpus-6-test-corpus-26-train,هل قلت إنك ستغادر إلى طوكيو غدا ؟,قلت بلي راك رايح لطوكيو غدوة؟
4795,corpus-6-test-corpus-26-test,دعني أنام حتى التاسعة .,خليني نرقد حتى التسعة.
4801,corpus-6-test-corpus-26-train,يجب أن أنتقل إلى عربة مكيفة واحد صفر صفر . هل هذا ممكن ؟,لازم ناخذ الرحلة أ دوبلوفي. اذا كاين امكانية؟
4813,corpus-6-test-corpus-26-train,كيف حال اللعب معك هذه الأيام ؟,كيفاش كان اللعب ديالك هاذ اليامات؟
4814,corpus-6-test-corpus-26-dev,أشعر بضيق في الصدر .,راني حاس بصدري ضيق.
4826,corpus-6-test-corpus-26-train,لا توجد مشكلة . إذا حضرت في الخامس من سبتمبر ، فسيكون بإمكانك الاستمتاع بعرض فيلم علمي لأن عندنا يوماً خاصاً مفتوحاً أول يوم جمعة من كل شهر .,ماكنش مشكل. اذا جيت فالخامس سبتمبر، تقدر تحضر عرض فيلم علمي. عندنا يوم خاص أبواب مفتوحة في الأول من كل شهر.
4828,corpus-6-test-corpus-26-train,هل لديكم أية جولة سياحية أخرى ؟,عندك رحلة أخرى؟
4836,corpus-6-test-corpus-26-train,حسنا . خصم خمسة في المائة . هل يوافقك لك ؟,موافق. خصم خمسة بالمئة. يساعدك هكذا؟
4845,corpus-6-test-corpus-26-train,إنني ذاهب إلى باريس .,نروح لباريس.
4848,corpus-6-test-corpus-26-train,إنها ليست أحدث طراز ، أليس كذلك ؟,ماشي آخر نوع، ياك؟
4857,corpus-6-test-corpus-26-train,موعده المقرر هو الثامنة والنصف مساءْ بالتوقيت المحلي .,من المقرر على الثامنة والنصف، بالوقت المحلي.
4889,corpus-6-test-corpus-26-train,"أظهر هذا المبنى معنا , من فضلك .",خوذلنا تصويرة قدام هاذ المبنى، من فضلك.
4894,corpus-6-test-corpus-26-train,حسناً . أريد سلطانية من الحجم المتوسط ، وكرات الأرز .,أوكي. ناخذ بول متوسط و بولة واحدة تع الروز.
4901,corpus-6-test-corpus-26-train,كيف يبدو هذا ؟,لواش تشبه؟
4924,corpus-6-test-corpus-26-train,أريد أن أرى ذاك الذي في نافذة العرض ، من فضلك .,حبيت نشوف النموذج لي راهو فالواجهة، من فضلك.
4945,corpus-6-test-corpus-26-train,مستحيل . نحن في إجازة . إنني أرفض الجلوس في غرفة بالفندق ومشاهدة البيسبول في التلفاز . أريد الذهاب لمشاهدة مسرحية .,مستحيل. رانا في عطلة. نرفض نقعد في غرفة الفندق نشوف البيسبول. راني حاب نروح نشوف المقابلة الحقيقية.
4957,corpus-6-test-corpus-26-train,هل بإمكاني اللمس ؟,نقدر نمس؟
4974,corpus-6-test-corpus-26-train,أيمكنك الحضور إلى هنا لإصلاحه ؟,تقدر تجي تصلحو؟
4983,corpus-6-test-corpus-26-train,أريد بعض الألياف الصناعية .,راني حاب الألياف الاصطناعية.
4985,corpus-6-test-corpus-26-train,"اسمي "" تارو تاناكا "" لدي حجز مسبق .",حجزت باسم طانو طاناكا.
4990,corpus-6-test-corpus-26-train,أريد بعضاً من كريم التنظيف .,راني حاب كريمة لي تنحي الماكياج.
5004,corpus-6-test-corpus-26-train,أريد رداءا ذات أكمام طويلة .,راني حاب قميص بيدين طوال.
5009,corpus-6-test-corpus-26-train,لقد سُرقت حقيبتي .,سرقولي الساك ديالي.
5017,corpus-6-test-corpus-26-train,لقد تقابلنا بالصدفة لعدة مرات ، أليس كذلك ؟,رانا نتلاقاو بزاف، و لا لالا؟
5035,corpus-6-test-corpus-26-train,هل يمكنني أن ألقي نظرةً أخرى على قائمة الطعام ؟,نقدر نعاود نشوف لائحة الطلبات؟
5045,corpus-6-test-corpus-26-train,لا تزال تبدو عليهم علامات المرض وشحوبة الوجه .,مازال يبانو مبتدئين.
5082,corpus-6-test-corpus-26-train,كم عددها ؟,شحال؟
5083,corpus-6-test-corpus-26-train,فراولة ، من فضلك .,بالفريزة، من فضلك.
5090,corpus-6-test-corpus-26-dev,"قمة جبل "" فوجي "" هي اعلي قمة جبلية في اليابان حيث يبلغ ارتفاعها ثلاثة آلاف وسبعمائة وستون مترا .",جبل فوجي هو أعلى قمة في اليابان بثلاثة آلاف وسبعمئة وثلاثة وسبعون متر.
5091,corpus-6-test-corpus-26-train,لا ، ليس بعد ، هناك الكثير نختار فيه .,لالا، مازال. كاين بزاف الاختيارات.
5098,corpus-6-test-corpus-26-dev,أرغب في كريم مسائي للبشرة .,راني حاب كريمة لليل.
5104,corpus-6-test-corpus-26-test,إنها بين المخبز ومحل الجزارة .,بين المخبزة و الجزار.
5116,corpus-6-test-corpus-26-train,هل لك أن تقصّر الأكمام ؟,تقدر تنقصلي فاليدين؟
5117,corpus-6-test-corpus-26-train,أخشى أن لا يكون هنا أية دورة لتعليم الجولف .,ماكانش ملعب للجولف فالنواحي.
5121,corpus-6-test-corpus-26-train,هل لك أن تريني الخاتم الثاني من جهة اليسار ؟,تقدر توريلي الخاتم الثاني كي تروح من اليسار؟
5124,corpus-6-test-corpus-26-train,ألا تسأله أن يتصل بي ؟,تقدر تقولو يتصل بيا؟
5138,corpus-6-test-corpus-26-train,لقد حاولت إجراء مكالمة دولية ، هل نجح ذلك معك من قبل ؟,راني نحاول نتصل للخارج. قدرت أنت تتصل للخارج من قبل؟
5148,corpus-6-test-corpus-26-test,هذا خطأ .,غالط.
5175,corpus-6-test-corpus-26-train,نعم ، هي ، لأنك تستطيع أن ترى العلم أمام مكتب البريد .,ايه هاذي هي، علاجال كاين علام مقابل لمقر البريد.
5207,corpus-6-test-corpus-26-test,بالتأكيد سوف ترسلهم ، أليس كذلك ؟,تبعثهوملي أكيد، ياك؟
5219,corpus-6-test-corpus-26-train,أود إجراء مكالمة هاتفية باستخدام بطاقة ائتمان .,راني حاب ندير اتصال هاتفي ببطاقة الائتمان.
5224,corpus-6-test-corpus-26-train,أريد ما يخصني لكي أرحل .,راني حاب ديالي نديه معايا.
5245,corpus-6-test-corpus-26-train,لدي وصولها ، سوف ندفع ثمن شحنها إلى عنوان منزلك .,غير يوصل نبعثوه لعنوان بيتك من عندنا.
5246,corpus-6-test-corpus-26-dev,هذه الأيام ، استخدم الكمبيوتر بشكل دائم في العمل .,مؤخرا، راني نستعمل الكمبيوتر فالخدمة دايمن.
5250,corpus-6-test-corpus-26-train,أوه ! موافق ، لقد فهمت ، سوف آتي إلى مكانك .,أوه، موافق، راني فاهم. نجي عندكم.
5259,corpus-6-test-corpus-26-train,لا ، هذا يكفي .,لالا، هاذا يكفي.
5261,corpus-6-test-corpus-26-train,هل لي أن آخذ بطانية ووسادة ؟,نقدر نتحصل على غطاء و مخدة؟
5262,corpus-6-test-corpus-26-train,هل يمكنك أن تحضر هنا قريباً بقدر المستطاع ، من فضلك ؟,تقدر تجي هنا بسرعة، من فضلك؟
5263,corpus-6-test-corpus-26-train,"قدحاً من القهوة , من فضلك .",فنجان قهوة، من فضلك.
5267,corpus-6-test-corpus-26-test,ابحث عن كروت لمناظر تعكس طبيعة جزر هاواي .,راني نحوس على بطاقات تع هاواي خصيصا.
5272,corpus-6-test-corpus-26-train,هل لك بأن تضيق منطقة الوسط سنتيمترات ؟,تقدر تنقص المقياس بثلاثة سنتيمتر؟
5289,corpus-6-test-corpus-26-train,إنني في نفس السن .,عندي نفس العمر.
5300,corpus-6-test-corpus-26-train,ألا تحضر لي بعض القهوة ؟,تقدر تجيبلي قهوة؟
5307,corpus-6-test-corpus-26-dev,ثلاث مائة وخمسون دولارا ؟ إن هذا يفوق ميزانيتي .,ثلاثة مئة و خمسين دولار؟ هاذا فوق الامكانيات دياولي.
5323,corpus-6-test-corpus-26-train,"هل نحتاج إلى طرح هذا للتصويت ؟ إن لم نكن في حاجة إلى هذا ، فإمكاني أن أعتقد حينئذ أننا قد وصلنا إلى نتيجة , سأقوم بإرسالها إلى مجلس إدارتنا صباح غد .",لازم نديرو تصويت؟ واذا لالا، نظن بلي وصلنا للنتيجة، واللي راح نقولها لمجلس الإدارة ديالنا من غدوة صباح.
5334,corpus-6-test-corpus-26-train,هل تعرف ما إذا كان هناك أي فنادق رخيصة الأسعار ؟,اذا تعرف بلي كاين فنادق رخيصة؟
5361,corpus-6-test-corpus-26-train,صباح الخير . هل استرحت في نومك ؟,صباح الخير، رقدت مليح؟
5364,corpus-6-test-corpus-26-train,ماذا تنوي أن تفعل عقب الانتهاء من المدرسة . ؟,واش راك تخمم تدير كي تكمل الدراسة؟
5366,corpus-6-test-corpus-26-train,سرقت حقيبتي في الشارع .,سرقولي الساك ديالي فالطريق.
5367,corpus-6-test-corpus-26-train,هل كان لديك أية خدمات أخرى إلى جانب طعام الإفطار هذا الصباح ؟,طلبت خدمة واحدوخرا من غير فطور الصباح؟
5407,corpus-6-test-corpus-26-train,من فضلك ، أريد فنجاناً من القهوة البيضاء .,راني حاب قهوة حليب، من فضلك.
5410,corpus-6-test-corpus-26-test,وهو كذلك . هل فندق شيراتون قريب من هناك ؟,موافق. كاين فندق الشيراطون فالنواحي؟
5411,corpus-6-test-corpus-26-train,أتمنى ألا تكون متعبا جدا .,نتمنى ماتكونش بزاف عيان.
5431,corpus-6-test-corpus-26-train,أبغي تأجير سيارة من هذا الطراز لمدة يومين .,راني حاب نكري سيارة من هاذ الطراز ليومين.
5436,corpus-6-test-corpus-26-train,سآخذ صورة لجاك دانيلز .,ناخذ كاس جاك دانيال.
5437,corpus-6-test-corpus-26-train,أريد كيساً من الفشار ، من فضلك .,راني حاب كيس تع الماييز، من فضلك.
5447,corpus-6-test-corpus-26-train,سقط مني واحدا من عصى التزلج .,ضاعتلي العصا تع التزحلق.
5455,corpus-6-test-corpus-26-train,نحن لا نجلب أية هدايا إلى الحفل ، وبدلا من ذلك يحضر الضيوف أموالاً نقدية .,منجيبوش حتى هدية للاستقبال. في مكانه، الضياف يهديو الدراهم.
5458,corpus-6-test-corpus-26-train,أود أن أرسله عن طريق البريد .,راني حاب نبعثو بالنقل البري او البحري.
5492,corpus-6-test-corpus-26-train,وصلت الطائرة متأخرة بسبب الثلج الكثيف .,الطيارة توصل متأخرة على جال عاصفة ثلجية كبيرة.
5518,corpus-6-test-corpus-26-train,الفاتورة من فضلك ؟,الشحن، من فضلك.
5521,corpus-6-test-corpus-26-train,من فضلك هل يمكنك أن تتلقى رسالة ؟,تقدر تاخذ الرسالة، من فضلك؟
5540,corpus-6-test-corpus-26-train,آسف ، لا يمكنني متابعتك . هل من الممكن أن تتحدث ببطء أكثر من فضلك .,سامحني، مانيش نقدر نتبعك. تقدر تهدر بالشوية، من فضلك؟
5549,corpus-6-test-corpus-26-dev,ماذا يمكنني أن أريك ؟,واش نقدر نوريلك؟
5559,corpus-6-test-corpus-26-train,هل يمكنني أن التقط بعض الصور ؟,نقدر ناخذ تصاور؟
5570,corpus-6-test-corpus-26-train,من مائة .,على مئة.
5584,corpus-6-test-corpus-26-dev,رقم الرحلة الجوية اتش بي تسعة وثمانين المتجهة إلى طوكيو في الحادي عشر من مارس .,رقم الرحلة هو أش بي تسعة و ثمانون لطوكيو فالإحد عشر من مارس.
5585,corpus-6-test-corpus-26-train,هل بإمكاني الحصول على طبق آخر مثل هذا ؟,نقدر ندي نفس الطبق؟
5594,corpus-6-test-corpus-26-dev,هل لديك واحدة أخرى ؟,اذا عندكم واحدأوخر؟
5596,corpus-6-test-corpus-26-train,من فضلك ، احضر طعام الإفطار إلى غرفتي في السابعة من صباح الغد .,من فضلك جيبلي فطور الصباح للغرفة ديالي على السبعة تع الصبح.
5615,corpus-6-test-corpus-26-train,عامل الصيانة سيصعد في الحال .,المصلح المتخصص دوك شوية يطلع.
5617,corpus-6-test-corpus-26-dev,آسف سأعود لاحقاً .,سامحني. نعاود نجي ممبعد.
5640,corpus-6-test-corpus-26-test,كيف أستقلها ؟,كيفاش نقدرنديه؟
5648,corpus-6-test-corpus-26-train,هل هناك أماكن شاغرة بالنسبة لرحلة الخميس ؟,مازال كاين الأماكن للرحلة تع الخميس؟
5657,corpus-6-test-corpus-26-train,عفواً . هلا سمحت لي بالمرور ؟,المعذرة. نقدر نجوز؟
5680,corpus-6-test-corpus-26-train,هل لديك أية نباتات أو فواكه ؟,عندكم نباتات و فواكه؟
5684,corpus-6-test-corpus-26-train,من فضلك أخبرني كيف أملأ بطاقة النزول إلى البر ؟,تقدر تقولي كيفاش نعمر بطاقة الهبوط؟
5695,corpus-6-test-corpus-26-train,أعتقد أن سيارتي تستحق حوالي خمسة آلاف دولارا .,نظن بلي سيارتي تقدر بحوالي خمسة آلاف دولار.
5706,corpus-6-test-corpus-26-train,هل هذا الطعام منخفض السعرات الحرارية ؟,اذا هي الماكلة بسعرات حرارية قليلة؟
5717,corpus-6-test-corpus-26-train,أية حافلة يجب أن آخذ إلى المحطة ؟,واش من حافلة لازم نديها باش نروح للمحطة؟
5723,corpus-6-test-corpus-26-train,"نعم , إنه هو . ولكن ستضطر إلى الدوران يسارا في إشارة المرور الثالثة وتستمر في ذلك الشارع حتى تصل إلى الطريق رقم ستة وستين .",إيه، هاذا. بصح لازم تدور على اليسار عند الضوء الأحمر الثالث و تكمل في هاذ الطريق حتى للطريق ستة و ستون.
5733,corpus-6-test-corpus-26-dev,"أريد كوبا من الماء لأتناول بعض الدواء , من فضلك .",راني حاب كأس ماء باش نشرب الدوا، من فضلك.
5761,corpus-6-test-corpus-26-train,أكون ممتنا جدا لو أخذتني إلى الشاطئ .,نشكرك لوكان توصلني للبحر.
5772,corpus-6-test-corpus-26-train,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .,سامحني. هذه غلطة. معك تانكييوشا برس.
5779,corpus-6-test-corpus-26-train,إننا سندفع الحساب ونغادر .,رانا نسجل خروج.
5830,corpus-6-test-corpus-26-dev,ما نوع هذه الموسيقى ؟,واشنو هاذ الموسيقى؟
5847,corpus-6-test-corpus-26-train,"من فضلك أعط طفلك هذا الدواء الشراب , جرعة واحدة بعد كل وجبة .",من فضلك أعطي هاذ السيرو لوليدك، مقدار واحد بعد الأكل.
5848,corpus-6-test-corpus-26-train,"هذا الموديل متوفر بمقاسات ثمانية وعشرين , وواحد وثلاثين وخمسة وثلاثين سنتيمترا .",هاذ النوع متوفر في ثمانية و عشرون، و واحد وثلاثون وخمسة و ثلاثون سنتمتر.
5875,corpus-6-test-corpus-26-train,"أوه , يبدو كأنه قرعة .",أوه، هذا يشبه بزاف.
5898,corpus-6-test-corpus-26-train,هل يمكن أن أستعمل هاتفك ؟,نقدر نستعمل الهاتف ديالك، من فضلك؟
5902,corpus-6-test-corpus-26-test,رائحته جميلة . كم ثمنه ؟,ريحة بزاف شابة. شحال تسوا؟
5906,corpus-6-test-corpus-26-train,أريد أن أعيد التأكيد على رحلتي إلى شيكاغو في السابع عشر .,راني حاب نأكد على الرحلة ديالي لشيكاقو فالسابع عشر.
5913,corpus-6-test-corpus-26-train,أكلت كثيرا نوعا ما .,كليت شوية بزاف.
5914,corpus-6-test-corpus-26-train,هل يمكن أن أتحدث إلى السيدة براون ؟,نقدر نهدر مع السيد براون؟
5916,corpus-6-test-corpus-26-train,"هذا البيت يبدو مريحا للمعيشة فيه , أليس كذلك ؟",باينة بلي راحة كبيرة كي تعيش في هاذ الدار، ياك؟
5934,corpus-6-test-corpus-26-dev,أريد أن أحجز على شركة نورث وست إيرلينز على الرحلة رقم صفر ثمانية ستة في الخامس .,راني حاب نحجز للرحلة تع الخطوط نورثويست رقم صفر ستة و ثمانون نهار خمسة.
5940,corpus-6-test-corpus-26-train,"محفظتي , جواز السفر ومتعلقات شخصية أخرى .",محفظتي، جواز السفر ديالي و أغراض شخصية أخرى.
5956,corpus-6-test-corpus-26-train,متى تغلقون ؟,وقتاش تغلقو؟
5974,corpus-6-test-corpus-26-test,انتظر دقيقة . ربما أكون قد تركته في غرفة الاستراحة .,استنا دقيقة. وقيلا نسيتو فالمرحاض.
5987,corpus-6-test-corpus-26-train,هذا بالضبط ما كنت سأقوله .,هاذا بالضبط واش كنت حاب نقول.
5988,corpus-6-test-corpus-26-train,"نعم , أعتقد ذلك .",ايه، راني نخمم فيه أنا تاني.
5997,corpus-6-test-corpus-26-train,منزلك كبير . كم عدد الغرف ؟,دارك كبيرة، شحال فيها من غرفة؟
6006,corpus-6-test-corpus-26-train,استمتعنا بالعشاء .,عجبنا العشا.
6024,corpus-6-test-corpus-26-test,أفهم ، لكن لا أستطيع أن أقولها .,راني فاهم، بصح منقدرش نقوله.
6047,corpus-6-test-corpus-26-train,أوو ، نعم ، من فضلك . أنا أتمنى أن لا يصابوا بدوار البحر .,أوه إيه، من فضلك. نتمنى برك مايجيهومش دوار البحر.
6056,corpus-6-test-corpus-26-test,إلى طوكيو ، من فضلك .,لطوكيو، من فضلك.
6073,corpus-6-test-corpus-26-train,ما هو موعد وصولنا المقدر ؟,واش هو الوقت المقدر اللي نوصلو فيه؟
6086,corpus-6-test-corpus-26-train,سأغادر باكراً غداً ، لذلك أود أن أدفع الآن .,نروح بكري غدوة صبح، لهذا حبيت نخلص دوك.
6100,corpus-6-test-corpus-26-test,نبيذ غير حلو ، من فضلك .,دراي شيري، من فضلك.
6109,corpus-6-test-corpus-26-test,مقعد ممنوع به التدخين ، من فضلك .,مكان لغير المدخنين، من فضلك.
6156,corpus-6-test-corpus-26-train,هو مشغول الآن .,راهو مشغول دوكا.
6167,corpus-6-test-corpus-26-train,هل الأجانب يمكنهم الحصول على الكتب في المكتبة ؟,اذا الأجانب يقدروا يتحصلو على الكتابات في هاذ المكتبة؟
6179,corpus-6-test-corpus-26-train,هل من الممكن أن أمكث في غرفتي حتى الثانية مساءً ؟,نقدر نبقى فالغرفة ديالي حتى الساعة الثانية بعد الزوال؟
6190,corpus-6-test-corpus-26-train,ها-ها . صباح الخير حان دورك . إنه على ما يرام .,آه، آه. نهارك سعيد في وقتك. اتفقنا.
6193,corpus-6-test-corpus-26-train,أود بعضاً من فيلم رقم ايه إس ايه لهذه الكاميرا ، من فضلك .,راني حاب فيلم من هاذ الرقم ديال ال إيه إس إيه لهاذ آلة التصوير، من فضلك.
6205,corpus-6-test-corpus-26-train,أين رسومات مونيت ؟,وين راهم لوحات موني؟
6214,corpus-6-test-corpus-26-train,البيتزا لذيذة . من صنعها ؟,هاذ البيتزا بنينة، شكون دارها؟
6221,corpus-6-test-corpus-26-train,ما هو طعم هذا الطبق ؟,واش هو الذوق تع هاذ الطبق؟
6227,corpus-6-test-corpus-26-train,هم أيضاً غاليين .,هما تاني بزاف غاليين.
6228,corpus-6-test-corpus-26-train,متى يغادر القطار التالي إلى بوسطن ؟,وقتاش يروح القطار الموالي لبوستون؟
6232,corpus-6-test-corpus-26-dev,أخطط لتعلم الجولف .,راني نفكر نتعلم نلعب الغولف.
6247,corpus-6-test-corpus-26-dev,من فضلك أعطني مشروباً أخر .,تقدر تعطيني كأس واحدوأخر.
6253,corpus-6-test-corpus-26-train,يا له من راكب ماهر للأمواج .,شحال شاطر هاذ المتزحلق على الماء.
6272,corpus-6-test-corpus-26-train,أخشى أن تكون الأكمام قصيرة جدا .,سامحني اليدين قصار بزاف.
6283,corpus-6-test-corpus-26-train,هل يمكنك أن تريني كيف أضع الغاز ؟,نقدرو نورولك كيفاش تحط البترول؟
6285,corpus-6-test-corpus-26-train,هل أجرة الفندق تضم الإفطار ؟,اذا كان فطور الصباح داخل فالسعر تع الفندق؟
6287,corpus-6-test-corpus-26-train,هل هذا كل شيء ؟,هاذا ماكان؟
6291,corpus-6-test-corpus-26-train,إنه في نهاية هذا الطريق .,في أخر هاذ الطريق.
6339,corpus-6-test-corpus-26-train,من فضلك ابدأ العداد .,لو سمحت تشغل العداد.
6363,corpus-6-test-corpus-26-train,غرفتي أبرد من اللازم .,البرد بزاف فالغرفة ديالي.
6411,corpus-6-test-corpus-26-train,سأعود إليك عندما تكون أقل انشغالاً .,نكون في الخدمة ديالك غير نتفرغ شوية.
6413,corpus-6-test-corpus-26-dev,هل لديك واحد أكبر ؟,عندكم واحد كبير؟
6418,corpus-6-test-corpus-26-train,أشعر بتحسن .,راني نحس بروحي أفضل.
6430,corpus-6-test-corpus-26-dev,هل أنت ملم بجغرافيا اليابان ؟,تعرف مليح الجغرافيا تع اليابان؟
6436,corpus-6-test-corpus-26-train,من فضلك أرني أين أنا على هذه الخريطة .,من فضلك وريلي وين راني على هاذ المخطط.
6437,corpus-6-test-corpus-26-train,مائة بالمائة قطن .,مئة بالمئة قطن.
6466,corpus-6-test-corpus-26-train,أود أن أغير لغرفة تطل على المحيط . هل توجد أي رسوم إضافية ؟,راني حاب نبدل لغرفة تطل على المحيط. كاين إضافة؟
6472,corpus-6-test-corpus-26-train,كم ثمن إيجار نصف يوم للوحة ؟,شحال الكرية تع اللوحة لنص نهار؟
6481,corpus-6-test-corpus-26-train,العاشر من نوفمبر .,العاشر نوفمبر.
6484,corpus-6-test-corpus-26-dev,أود شريطاً للآلة الكاتبة .,راني حاب شريط لآلة كتابة.
6492,corpus-6-test-corpus-26-train,إنها لذيذة جداً .,عندها ذوق بزاف.
6497,corpus-6-test-corpus-26-train,متى سنقلع ؟,وقتاش نقلعو؟
6498,corpus-6-test-corpus-26-train,كيف عرفت السائق متى تريد أن تنزل ؟,كيفاش نفهم السائق بلي حبيت نهبط؟
6513,corpus-6-test-corpus-26-train,أربعة وعشرين دولاراً . هل تريد المزيد ؟,أربعة و عشرون دولار. حبيت كثر؟
6515,corpus-6-test-corpus-26-train,عملت الحجز في طوكيو منذ شهر .,درت الحجز لطوكيو عندها شهر.
6517,corpus-6-test-corpus-26-train,أشكرك من أعماق قلبي .,نشكرك من أعماق قلبي.
6525,corpus-6-test-corpus-26-train,هل أنزل هنا لمركز روكفيلر ؟,لازم نهبط هنا باش نروح لمركز روكفيلر؟
6539,corpus-6-test-corpus-26-train,من فضلك قس حجم حذائي .,تقدر تقيسلي شحال نلبس في رجلي.
6547,corpus-6-test-corpus-26-train,إنها رائعة .,روعة.
6550,corpus-6-test-corpus-26-train,هل ستحدد موعداً للخروج معي ؟,تحب تخرج معايا؟
6552,corpus-6-test-corpus-26-train,من فضلك نظف هذا المعطف .,من فضلك تنظفلي هاذ المنوطو.
6553,corpus-6-test-corpus-26-train,أود أن أؤجر قارب بمحرك .,راني حاب نكري سفينة بمحرك.
6574,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,وين جاي القسم تع النسا؟
6581,corpus-6-test-corpus-26-train,القهوة غير محسوبة .,القهوة ماشي داخلة؟
6593,corpus-6-test-corpus-26-train,في أي مجال كان من قبل ؟,واش من المجال كان من قبل؟
6602,corpus-6-test-corpus-26-train,اللعنة . اللعنة . اللعنة . اللعنة . لقد كبرت معتاداً على وجهها .,اللعنة، اللعنة، اللعنة، اللعنة. والفت وجهها.
6609,corpus-6-test-corpus-26-train,هل يجب أن أدفع الرسم الإضافي عندما أدخل مبنى ؟,لازم نخلص زيادة باش ندخل لهاذ البناية؟
6613,corpus-6-test-corpus-26-test,أهلاً ، شريكك على الخط . هيا ، من فضلك .,صباح الخير، المتحدث الخاص بك متصل. تكلم، من فضلك.
6625,corpus-6-test-corpus-26-train,جرحي يؤلمني .,الجرح ديالي وجعني.
6635,corpus-6-test-corpus-26-train,أين المحطة ؟,وين راهي المحطة؟
6657,corpus-6-test-corpus-26-train,عندي قشعريرة .,عندي قشعريرة برد و رجفة.
6659,corpus-6-test-corpus-26-train,ثلاثة أيام .,ثلاث أيام.
6660,corpus-6-test-corpus-26-dev,أعبر الجسر من هناك ، وستجد المكتبة على يدك اليسرى .,اقطع الجسر لي لهيك تصيب المكتبة على اليسار ديالك.
6692,corpus-6-test-corpus-26-dev,من فضلك ساعدني أعثر على مرشد يتحدث اليابانية .,من فضلك صيبلي دليل لي يهدر اليابانية.
6699,corpus-6-test-corpus-26-train,لا أريد واحدة ضخمة .,مانيش حاب واحد ضخم.
6700,corpus-6-test-corpus-26-train,سيكون هناك تأخير بسيط .,يكون تأخر صغير.
6715,corpus-6-test-corpus-26-train,ما هي الفوارق بين هذه الفنادق ؟,واش هو الفرق بين هاذ الفنادق؟
6724,corpus-6-test-corpus-26-test,فاتتني محطتي .,فاتني الموقف ديالي.
6736,corpus-6-test-corpus-26-train,كان عظيماً . شكراً .,كانت هايلة، صحا.
6740,corpus-6-test-corpus-26-dev,سأكون هناك حوالي السادسة مساءً .,نكون في حوالي الساعة الستة.
6746,corpus-6-test-corpus-26-train,هل لديك أي شيء لفترة أطول قليلاً ؟,عندك حاجة طويلة شوية؟
6766,corpus-6-test-corpus-26-train,تاريخ الانتهاء تسعة عشر من مارس تسعة وتسعين .,تاريخ انتهاء الصلاحية ألف و تسعمئة و تسعة و تسعون.
6780,corpus-6-test-corpus-26-test,كيف كانت ؟,كيفاش كان؟
6800,corpus-6-test-corpus-26-train,هل توجد أية كازينوهات جيدة ؟,كاين كازينو مليح؟
6810,corpus-6-test-corpus-26-train,هذه هي فلوس أقلام الحبر . فاتورة بمائة دولار .,تفضل الدراهم تع أقلام الحبر. ورقة مئة دولار.
6812,corpus-6-test-corpus-26-train,أين قسم السيدات ؟,وين جاي القسم تع النسا؟
6825,corpus-6-test-corpus-26-train,أين يمكن أن أركب القارب ؟,وين نقدر نومباركي؟
6832,corpus-6-test-corpus-26-train,صديقي مصاب .,صاحبي راهو مجروح.
6835,corpus-6-test-corpus-26-train,تبدو بصحة جيدة .,جاك شباب.
