id,split,MSA,ALG,ALG Translation
2591,corpus-6-test-corpus-26-train,أجري .,اجري.,n'a n'a n'a n'a n'
2601,corpus-6-test-corpus-26-train,هناك قطع في بلوزتي . أتساءل هل يمكنك أن تخيطيه لي ، من فضلك ؟,تقطعلي القميص ديالي من هنا، تقدر تعاود تخيطهولي، من فضلك؟,n'a n'a n'a n'a n'
2613,corpus-6-test-corpus-26-dev,كم الأجرة إلى مانشستر ؟,شحال الأجرة لمنشستر؟,কত دولار أمريكي إلى مانشستر؟
2643,corpus-6-test-corpus-26-train,هل يمكن أن تقرضني سلك إمداد ؟,تقدر تسلفلي كابل التشغيل؟,- Should I calculate the fuel?
2644,corpus-6-test-corpus-26-train,أين يمكنني أن أشتري حصيرة للشاطئ ؟,وين نقدر نشري زربية الشاطئ؟,Where can I buy a beach?
2670,corpus-6-test-corpus-26-test,إذاَ ، من فضلك أعطني حجزاً جديداً .,إمالا، ديرلي حجز جديد، من فضلك.,"n'o, n'o, n'o, n'o"
2676,corpus-6-test-corpus-26-train,أعطني قطعة لحم الخنزير هذه ، ولكن ليس بسمك تلك .,أعطني شريحة من لحم الخنزير المشوي، بصح ماشي خشينة هكذا.,n'azali n'o n'azali n'o 
2678,corpus-6-test-corpus-26-train,سنأتي في السابعة .,نوصلوا على السبعة.,ଆମେ ଶତାବ୍ଦୀ ହୋଇଛନ୍ତି।
2687,corpus-6-test-corpus-26-train,عندما أرى الأسعار بهذا الرخص ، يبدو الأمر سخيفاً أن أشتري أي شيء في اليابان .,كي نشوف الأسعار ناقصة، تبانلي سخافة كي نشري أي حاجة فاليابان.,"عند رأي الأسعار على هذا الرخص, يبدو الأمر"
2690,corpus-6-test-corpus-26-train,سرقت سجلاتي ، أيضاً .,سرقولي الملفات تاني.,- e-mail e-mail e-mail e-mail 
2695,corpus-6-test-corpus-26-train,مخروط من الأيس كريم الفانيليا ، من فضلك .,كورني من اآيس كريم ذوق فانيلا، من فضلك.,n'abal n'abal n'abal n'a
2702,corpus-6-test-corpus-26-train,أوافق . يجب أن تصبح طبيعية جداً .,راني موافق. ولات حاجة طبيعية.,Okay. Okay.
2704,corpus-6-test-corpus-26-train,لاحظ الفجوة ، لاحظ الفجوة ، ثم قرب الأبواب ، من فضلك .,بالاكوا الخطوات، بالاكوا الخطوات، ابقوا قراب من الأبواب، من فضلكم.,"لاحظ أزرار, لاحظ أزرار, ثم قرب الأب"
2707,corpus-6-test-corpus-26-train,سأحتاج إلى بطاقة ائتمان .,نحتاج الى بطاقة الائتمان.,আমি بحاجة إلى بطاقة ائتمان.
2708,corpus-6-test-corpus-26-dev,تفضل الرقم .,تفضل الرقم.,Awesome numbers.
2715,corpus-6-test-corpus-26-test,أخبرني عن منطقة جيدة لهذا النهر ، من فضلك .,قلي على مكان جميل على هاذ النهر، من فضلك.,- - - - - - - - - 
2726,corpus-6-test-corpus-26-train,من فضلك أعطني تقريراً عن الحادث .,من فضلك أعطني التقرير.,Please give me a report on the incident.
2729,corpus-6-test-corpus-26-train,لا ، أشكرك حالياً .,لالا صحا، ماشي دوكا.,"- n'abal, n'abal, n'"
2734,corpus-6-test-corpus-26-train,حسنا ، ابق على الخط . سيد/ ناكاجيما ، الآنسة/ سايتو يبدو أنها لا ترد على المكالمة . هل تريدني أن أتصل عليها فترة أطول ؟,أوكي، من فضلك ابق على الخط. سيد ناكاجيما، أظن أن السيدة سايتو ماهيش ترد على الهاتف. راك حاب نزيد نخليه يصوني كثر؟,"Okay, okay, okay, okay, okay, okay, "
2736,corpus-6-test-corpus-26-dev,ربما ، ولكن ينبغي أن ندرس كلا على حدا .,بالاك، لكن لازم نوزنوهم كل واحد واحدو.,"Maybe, although we should study both together."
2747,corpus-6-test-corpus-26-train,يبدو أنها نادرة جداً .,بانلي نادر شوية.,ଏହା ନିର୍ଦ୍ଦିଷ୍ଟ ଭାବ
2748,corpus-6-test-corpus-26-train,أين بيان أمتعة الرحلة سبعة صفر ثلاثة ؟,وين جاي مكان استلام الأمتعة تع الرحلة سبعمائة و ثلاثة؟,Where is the average passenger satisfaction?
2760,corpus-6-test-corpus-26-train,شيء خطأ مع حقيبتك .,كاين خلل فالقبضة ديالك.,Otu n'o n'o n'o n'o 
2765,corpus-6-test-corpus-26-train,هل هذا سيفسد ؟,اذا يقدر يفسد؟,"Yes, this will be saved?"
2772,corpus-6-test-corpus-26-train,لا ، شكراً . من الأفضل أن لا أشرب المزيد .,لالا، صحا. خير لوكان منزيدش نشرب.,"- okay, thanks. - okay, okay."
2808,corpus-6-test-corpus-26-train,من فضلك أخبرني عن بعض الشوارع المناسبة للتسوق .,من فضلك اعطيلي أسماوات الطرق اللي نقدر نشري فيها كثر.,Please tell me some places to shop.
2811,corpus-6-test-corpus-26-dev,هل هذه الحافلة تذهب إلى فندق هيلتون ؟,اذا الحافلة تروح لفندق الهيلتون؟,Ɛnɛ n'a n'a n'a n'
2816,corpus-6-test-corpus-26-train,الآن ، هذه اللوحة خاصة جداً . رسمها تسوروتارو كاتاأوكا . إنه معروف بأنه فنان عالمي .,بالاكو، هاذي لوحة ماشي عادية. هاذي من صنع فنان عالمي، تسوروتارو كاتاوكا.,"Agora, n'o n'o n'o n'o"
2850,corpus-6-test-corpus-26-train,لدي تقدير كبير للموسيقى الكلاسيكية .,نحب بزاف الموسيقى الكلاسيكية.,আমি 很高興 সংগীত كلاسيكي.
2851,corpus-6-test-corpus-26-dev,هل يمكنني أن أدعوك للعشاء في الخارج وقتاً ما ؟,نقدر نعرضكم للعشا كاش نهار؟,আমি يمكنك أن أدعوك للعشاء في الخارج وقتاً ما
2862,corpus-6-test-corpus-26-train,حسنا . ما هو اسم شريكك ورقمه ، من فضلك .,أوكي. واش هو الأسم ديال الشخص الثاني ورقم هاتفه، من فضلك.,Bonjour. - Bonjour! - Bonjour! - Bonjour
2871,corpus-6-test-corpus-26-train,عذراً . دعني أخرج ، من فضلك .,سامحني. خليني نخرج، من فضلك.,"Okay, okay, okay, okay, okay, okay, "
2878,corpus-6-test-corpus-26-train,هل يمكنك أن تستدعي موظفاً يتحدث اليابانية ؟,تقدر تعيط لكاش عامل يهدر اليابانية؟,ଆପଣ ଆଇନାଲୀୟ ଭାବରେ ନ
2898,corpus-6-test-corpus-26-train,نزور أقاربنا كثيراً إلى حد ما .,نزورو بزاف العائلة تاعنا.,আমি كثيرًا نراه عند عائلتي.
2939,corpus-6-test-corpus-26-train,ميكي هاياكاوا . هذه غرفة سبعة صفر اثنين .,ميكي هاياكاوا. غرفة سبعمائة و اثنان.,Mickey Haley. _SPLIT_ Ụlọ n'oge 
2945,corpus-6-test-corpus-26-train,علي أن أمكث هنا الليلة ، أليس كذلك ؟ هل يمكنك مساعدتي حجز غرفة بفندق ؟,لازم نجوز الليلة هنا، ولا لالا؟ تقدر تعاوني باش نحجز غرفة في الفندق؟,"আমি هنا الليلة, ليس كذلك ؟ هل يمكنك "
2947,corpus-6-test-corpus-26-train,يجب أن لا تكون طويلة . خمسة عشر دقيقة في الأغلب .,مايكونش طويل. خمسة عشر دقيقة على الأكثر.,ଏହା ଉପରେ ଏକ ଘଣ୍ଟା ନ
2960,corpus-6-test-corpus-26-train,هل يمكنك أن تخبرني بقيمة هذه المكالمة ؟,تقدر تقولي السومة تع هاذ الاتصال؟,ଆପଣ يمكنك أن أخبرني بقيمة هذه المكالمة
2964,corpus-6-test-corpus-26-train,حسنا ، هل يمكنك أن تخبرها أنني اتصلت ، من فضلك ؟ سأتصل بها مرة أخرى فيما بعد .,حسنا، تقدر تقولو بلي اتصلت بيه، من فضلك؟ راني نعاود نتصل بيه ممبعد.,"Okay, otú otú otú otú otú "
2973,corpus-6-test-corpus-26-train,هل توجد أية جولة صباحية ؟,كاين رحلة فالصبح؟,"Yes, there are any morning nights?"
2982,corpus-6-test-corpus-26-train,هل تغير عملات أجنبية ؟,تبدلو عملات خارجية؟,"Yes, foreign workers changed?"
2983,corpus-6-test-corpus-26-test,إجمالي ميزانيتنا حوالي خمسين دولاراًً لثلاثة أشخاص .,الميزانية تاعنا هي حوالي خمسين دولار كامل لينا حنا الثلاثة.,إجمالي تكلفة هذه ثلاثة أشخاص.
2990,corpus-6-test-corpus-26-train,أن يمكنني أن أشتري لفة من الفيلم ؟,وين نقدر نشري بيليكول؟,- Should I Buy a movie?
2995,corpus-6-test-corpus-26-train,هل لديك بيرة يابانية ؟,عندكم البيرة اليابانية؟,Ị nwere n'o n'o n'o n
3001,corpus-6-test-corpus-26-test,"أريد بذلة استحمام مقاس صغير , من فضلك .",راني حاب لباس سباحة بمقاس صغير، من فضلك.,"أنا بحاجة إلى بذلة الاستحمام صغيرة, فضل"
3016,corpus-6-test-corpus-26-train,أريد تسجيل أمتعتي .,راني حاب نسجل الأمتعة دياولي.,I want to download my memories.
3029,corpus-6-test-corpus-26-train,هذه السيدة كاوازو في غرفة رقم ستة عشر أحدى عشر .,معاك اآنسة كاوازو من الغرفة ألف و ستمئة و احدعشر.,এই महिला كانت على غرفة رقم 7.
3030,corpus-6-test-corpus-26-train,مرحباً بك .,العفو.,Bonjour!
3038,corpus-6-test-corpus-26-dev,لا يوجد أي منها .,ماكاش.,Tidak e n'a n'o n'o.
3040,corpus-6-test-corpus-26-train,"أيهما أكثر أهمية للشعب الياباني , عيد رأس السنة أم عيد الكريسماس ؟",واش هو المهم ليكم أنتوما اليابانيين؟ رأس العام و لا النوال؟,Ǹjì n'a n'a n'a n'
3041,corpus-6-test-corpus-26-test,رقم مقعدك هو اثنان وثلاثون أ . بعد ذلك سر في خط مستقيم في هذه الطرقة . إنه المقعد المجاور للنافذة .,بلاصتك هي اثنان و ثلاثون ايه. أمشي لاخر فالكولواغ، البلاصة جايا قدام الطاقة.,namba n'o n'o n'o n'o 
3073,corpus-6-test-corpus-26-train,لحظة من فضلك .,دقيقة، من فضلك.,n'oge n'oge n'oge n'o
3109,corpus-6-test-corpus-26-train,من فضلك أكمل البيانات الناقصة في التقرير .,من فضلك عمر بيان الضياع.,Please complete the basic data in the report.
3111,corpus-6-test-corpus-26-dev,لا أفهم الإنجليزية الأمريكية ، إنما أتحدث الإنجليزية الراقية .,منفهمش اللغة الأمريكية، نهدر الانجليزية البريطانية.,"আমি لست على علم باللغة الأمريكية, لكن أنا "
3120,corpus-6-test-corpus-26-train,منذ أمس .,ملبارح.,n'oge n'oge n'oge n'o
3129,corpus-6-test-corpus-26-train,تشمل تأمين ضد التصادم والدين .,تأمين التصادم والمسئولية القانونية داخل.,ଏହା ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ 
3134,corpus-6-test-corpus-26-test,فقدت بطاقة المطالبة .,ضاعلي بطاقة الاستلام ديالي.,n'abalɔ n'abalɔ n'abalɔ 
3152,corpus-6-test-corpus-26-train,هل لديكم دبابيس زينة ذات تصميمات رائعة ؟,عندكم دي بروش شابين؟,ଆପଣ ଆପଣ ଆପଣ ଏକ ଚାଲ
3155,corpus-6-test-corpus-26-train,إنني أتصل من كشك عمومي في ماسي .,راني نتصل من كابين عام في ماصي.,أنا اتصل من كشك كامل في مالي.
3170,corpus-6-test-corpus-26-test,هذه كبيرة جداً .,كبار بزاف.,ଏହା صغير جداً.
3176,corpus-6-test-corpus-26-train,كم أجر الانتظار في الساعة ؟,شحال سعر موقف السيارات بالوقت؟,কত ساعة انتظار ؟
3179,corpus-6-test-corpus-26-train,سيداتي سادتي ، لدينا على متن رحلتنا اليوم مضيفين يتحدثون اليابانية يمكن التعرف عليهم من خلال الشارة التي يلبسونه . إذا كنت تعرف أي شخص يريد مساعدة في الترجمة ، من فضلك دعنا نعرف .,سيداتي و سادتي، في هاذ الرحلة، كاين عمال يابانيين تقدرو تعرفوهم من لعلام الصغير على السترة ديالهم. ويدا شفتوا كاش واحد يسحق معاونة فاللغة، عرفونا بيه.,"Bonjour, sɛ, sɛ, sɛ, sɛ,"
3182,corpus-6-test-corpus-26-train,هل توجد أي حقبة معينة للفن تفضلها ؟,عندك وقت فني مفضل؟,Yes
3185,corpus-6-test-corpus-26-train,من فضلك تحقق منها مرة أخرى .,من فضلك عاود تأكد مرة اخرى.,Please repeat it again.
3195,corpus-6-test-corpus-26-train,سر في خط مستقيم على طول النهر حوالي نصف ميل . ستصل للمتنزه .,اهبط مع الواد نصف ميل تقريبا و توصل للحديقة.,ଆପଣ ଉପରେ ଉପରେ ଉପରେ ଉପ
3201,corpus-6-test-corpus-26-dev,كلاً ، إنهم متينين جداً .,لالا يقاوموا مليح.,"Both, They are very weak."
3207,corpus-6-test-corpus-26-train,حسناً ، سأرسلها لك إلى لاس فيجاس .,ايه، دوك نبعتوهلك الى لاس فيقاس.,"Okay, e-mail a greeting you to Las Vegas."
3209,corpus-6-test-corpus-26-train,أبحث عن قميص للجري .,راني نحوس على لبسة تع الجري.,أنا بحث عن قميص رياضي.
3220,corpus-6-test-corpus-26-train,هل تود شرب شيئاً من الحانة ؟,راك حاب تزيد تاخذ كاش حاجة من البار؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
3222,corpus-6-test-corpus-26-dev,هذا الطريق من فضلك . خذ هذا المصعد .,من هنا، من فضلك. خذ هاذ المصعد.,এই मार्ग أنت فضلك. خذ هذا المصعد.
3238,corpus-6-test-corpus-26-train,من الأفضل أن تستقل قطار الثامنة والنصف .,خير لوكان تاخذ القطار تع الثامنة و النصف.,Otu esi n'abalagba n'oge n'oge
3267,corpus-6-test-corpus-26-test,هل يوجد دار للسينما بالقرب من هنا ؟,اذا كاين مسرح قريب من هنا؟,"Yes, there is a shrine near here?"
3269,corpus-6-test-corpus-26-train,الآن موسم جمع المحار ، لذلك سيكونون في حالة جيدة .,راهو وقت المحار، امالا يكونوا بنان.,Ɛnɛ n'oge n'oge n'oge
3279,corpus-6-test-corpus-26-train,أريد ساعة مستعملة .,راني حاب مع ساعة يد ثانية.,أنا بحاجة لساعة مستعملة.
3284,corpus-6-test-corpus-26-train,سأقوم بتسجيل الدخول في تمام الساعة الثامنة مساءاً تقريباً .,نسجل على التاسعة و نص تاع اليل تقريبا.,আমি سوف يدخل الاجتماع مساء الساعة الثامنة مساء.
3285,corpus-6-test-corpus-26-train,الوقت يتأخر . يجب أن أرحل .,راهو راح الحال. لازم نروح.,وقت طويل. - Should I go back.
3289,corpus-6-test-corpus-26-train,لم أستخدم خدمة الغسيل عندكم . أيمكنك التحقق مرة أخرى ؟,أنا مستعملتش خدمة الغسيل ديالك. تقدر تعاود تتأكد منه؟,أنا لست بحاجة إلى استخدام خدمة غسيل عندكم 
3292,corpus-6-test-corpus-26-train,أريد شاي من فضلك .,راني حاب شاي، من فضلك.,أنا بحاجة إلى الشاي.
3295,corpus-6-test-corpus-26-train,كلاً ، لا يوجد .,لالا، ماكانش.,n'a n'a n'a n'a n'
3304,corpus-6-test-corpus-26-train,هل هذه هي آخر محطة ؟,اذا هاذي هي المحطة الأخيرة؟,ଏହା ثاني مكان؟
3318,corpus-6-test-corpus-26-train,لنتصل به .,هيا نتصلو بيه.,n'abal n'abal.
3323,corpus-6-test-corpus-26-train,هل هذا المتبل حار ؟,حار بزاف؟,"Yes, this sweater is cold?"
3334,corpus-6-test-corpus-26-train,أين يمكنني أن أستقل حافلة لمشاهدة المعالم ؟,وين نقدر نصيب حافلة تع السياحة؟,Where can I go to see the world?
3335,corpus-6-test-corpus-26-train,أجل ، أريد مشاهدة معالم المدينة .,ايه، راني حاب نزور المدينة.,"Okay, wanna see the cities."
3351,corpus-6-test-corpus-26-test,يوجد الكثير من السائحين بالقرب من المبنى ، ويبدو أنهم تجمعوا لإلقاء نظرة على ما يحدث .,كاين بزاف السياح دايرين بهاذ المبنى. وقيلا تلايمو باش يشوفو واش كاين.,ଏହି ସ୍ଥାନରେ বেশ সংখ্যক দর্শक র
3359,corpus-6-test-corpus-26-train,شكراً على كرم ضيافتك .,يعطيك الصحة على حسن الضيافة.,شكرًا على كرم ضيافتك.
3375,corpus-6-test-corpus-26-train,الأمانة هي السياسة المثلى .,الصدق هو أفضل سياسة.,权力 হল السياسة المثلى.
3385,corpus-6-test-corpus-26-train,هل لك أن توقظني في تمام السادسة من فضلك ؟,تقدر تنوظني على الساعة الستة، من فضلك؟,ଆପଣ يمكنني أن أعطيني وقتًا كافي
3392,corpus-6-test-corpus-26-train,كم السعر لنصف يوم ؟,شحال تسوا لنص نهار؟,कितनी دولار لكل يوم؟
3397,corpus-6-test-corpus-26-train,أنا كينجي .,إسمي كنجي.,أنا كينج.
3402,corpus-6-test-corpus-26-train,هل تعرف أي أماكن جيدة لمشاهدتها في شيكاجو ؟,تعرف بلايص شابين للزيارة في شيكاقو؟,أنت تعرف أي مكان رائع لمشاهدةها في شيكاغو؟
3404,corpus-6-test-corpus-26-train,"حسناً ، في حالة إصرار كليكما , سأذهب معكما .",مليح، اذا راك مصر، نرافقك.,"Okay, n'oge n'oge n'oge "
3413,corpus-6-test-corpus-26-dev,هل لك أن تستبدل هذه بواحدة أخرى من نفس النوع من فضلك ؟,تحب تبدل هاذا بواحدأوخر من نفس النوع، من فضلك؟,ଆପଣ ଆପଣ ଏହା অন্য نوع من فضل
3446,corpus-6-test-corpus-26-train,أريد القيام بحجز للساعة الثالثة والنصف ظهراُ .,راني حاب نحجز للساعة الثالثة و نصف بعد الزوال.,আমি ফোन କରିବା ଆବଶ୍ୟକ 2:30 a.
3489,corpus-6-test-corpus-26-train,"خزينة الودائع , من فضلك .",الخزنة، من فضلك.,"- e-mail, please."
3502,corpus-6-test-corpus-26-train,من فضلك أحضر نبيذاً مناسباُ .,من فضلك خير النبيذ لي يوالم.,Please bring a good bread.
3512,corpus-6-test-corpus-26-test,أريد مكان ما صغير .,راني حاب مكان صغير.,أنا بحاجة إلى مكان صغير.
3522,corpus-6-test-corpus-26-train,هل مطلوب منى دفع ثمن الغاز ؟,لازم نخلص المازوت؟,ଆପଣ يمكن أن يدفع ثمن الغاز ؟
3557,corpus-6-test-corpus-26-train,لص . أمسكوا به .,السارق. شدوه.,n'a n'a n'a n'a n'
3562,corpus-6-test-corpus-26-test,نحن في انتظار حضور أصدقائنا .,رانا نستناو يجو صحابنا.,ଆପଣ ଆପଣଙ୍କ साथ ଆପଣଙ୍କ साथ 
3572,corpus-6-test-corpus-26-train,من فضلك أعطني بعض النقود الفكة .,ديرلي شوية صرف من فضلك.,Please give me some eggs.
3619,corpus-6-test-corpus-26-test,تموج شعر دائم مشدود من فضلك .,برمانونت قوي، من فضلك.,الشعر يوميًا يُقشر عند فضلك.
3628,corpus-6-test-corpus-26-train,إنها صغيرة الجسم وذكية .,صغيرة و شابة.,They are small body and tiny body.
3638,corpus-6-test-corpus-26-test,ما عرض الأوبرا اليوم ؟,شكون الأوبرا تع اليوم؟,كيف عرض الأوبرا اليوم؟
3640,corpus-6-test-corpus-26-train,مقلي من فضلك .,فوق الطبق، من فضلك.,n'abal n'abal n'abal n'a
3644,corpus-6-test-corpus-26-train,غسيلي لم يرجع حتى الآن .,مرجعوليش الغسيل تاعي.,غسلي ليس رجعا حالاً.
3649,corpus-6-test-corpus-26-train,"على فكرة , هل أنت غير مشغول السبت القادم ؟",حقأ، اذا ماعندك والو السبت الجاي؟,"Okay, otú otú otú otú otú "
3667,corpus-6-test-corpus-26-train,"حسناً ، إذن , ربما سننسجم مع بعضنا .",حسنا، بالاك نقدرو نتفاهمو مليح.,"Okay, okay, maybe we'll be fighting with each other."
3669,corpus-6-test-corpus-26-train,إنها عاملتني كما لو كنت متسولاُ .,تعاملت معايا كلي أنا طلاب.,They treated me like a bitch.
3683,corpus-6-test-corpus-26-train,أفهم . هل يمكنك مساعدتي في هذا المشكلة الأخرى أيضاُ ؟,راني شايف. تقدر تزيد تعاوني في مشكل واحدأوخر؟,আমি فهم. يمكنك مساعدتي في هذا المشكلة الأخ
3685,corpus-6-test-corpus-26-train,هل يمكنك وضع عدسات نظر في هذا النظارة الشمسية ؟,تقدر تضبطلي هاذ النواظر على حساب الشوف ديالي؟,Yes
3698,corpus-6-test-corpus-26-dev,سآخذ اثنين من هذه .,ندي زوج.,n'abal n'abal n'abal.
3705,corpus-6-test-corpus-26-train,يا لها من كلاب ذكية . من أي فصيلة ؟,شحال شابين هاذ الكلاب. واش من سلالة تعهم؟,- 'Anyone's a handy dog?
3721,corpus-6-test-corpus-26-train,وقعت منى الشوكة . من فضلك أحضر واحدة أخرى .,طاحتلي الفرشيطة ديالي. تقدر تجيبلي واحدأوخرا، من فضلك.,n'abal n'abal n'abal n'a
3742,corpus-6-test-corpus-26-train,كان هذا ممتعاً .,كانت مليح.,এই ছিল رائعاً.
3747,corpus-6-test-corpus-26-train,بالتأكيد . سر في خط مستقيم ثم اتجه يميناُ عند الناصية الثالثة . ستجده على يمينك .,أكيد. روح قبالة و دور على اليمين فالطريق الثالثة. تصيبو على اليمين ديالك.,Okay........ 
3765,corpus-6-test-corpus-26-dev,هل لديكم فيلم شفاف ملون ؟,عندك بيليكول لصور ملونة؟,ଆପଣ لديكم فلام رمادي ؟
3780,corpus-6-test-corpus-26-train,أتعرف كاثي ؟ إنه عيد ميلادها .,تعرف كاثي؟ اليوم حفلة عيد ميلادها.,أنت تعرف على كاثي؟ - عيد ميلادها.
3789,corpus-6-test-corpus-26-train,هل لديك لوحة موضوع عليها الألوان ؟,عندكم رسم بياني ملون؟,ଆପଣ لديك لوح عنوان على لون لون ؟
3792,corpus-6-test-corpus-26-dev,هل يمكنني أن أدفع بشيكات سياحية ؟,نقدر نخلص بشاك سياحي؟,আমি يمكن أن أدفع بشيكات سياحية؟
3806,corpus-6-test-corpus-26-train,"لكن ، هو , يا رجل كيف أعرف أنه الشيء الحقيقة ؟",إذن قولي، أنت، كيفاش نعرف بلي صح؟,"কিন্তু, أنت, رجل كيف أعرف أن ذلك "
3825,corpus-6-test-corpus-26-train,هل يمكنني شرائها معفاة من الضرائب ؟,اذا مافيهاش لاطاكس؟,"Yes, could I buy it without taxes?"
3829,corpus-6-test-corpus-26-train,لا يمكنني وضع الأمتعة تحت المقعد . هل لك أن تحتفظ بها لأجلي من فضلك ؟,مانقدرش ندير الأمتعة دياولي تحت المقعد. تقدر تخليهوملي عندك، من فضلك؟,আমি لست بحاجة لوضع الأمتعة تحت المقعد.
3835,corpus-6-test-corpus-26-train,هل يمكن أن تضع حقيبة السفر هذه في صندوق السيارة .,تقدر تدير هاذ الحقيبة فالسيارة؟,ଆପଣ ଆପଣ ଏହି ପାଣ୍ଟରେ 
3847,corpus-6-test-corpus-26-train,أنا خارج الآن . لذلك سآخذها .,كيافش نخرج دوكا، نروح نجيبو.,أنا বাই حالا. لذلك سأخذها.
3856,corpus-6-test-corpus-26-train,من فضلك أرسل أحداً للطابق العلوي ليأخذ حقائبي الساعة السادسة والنصف .,من فضلك ابعث كاش واحد يجيبلي الأمتعة دياولي على الستة و نص.,Please send anyone to the upper corner to take my bags at 2:30
3858,corpus-6-test-corpus-26-dev,أريد خريطة لسان فرانسيسكو والمنطقة المحيطة .,راني حاب خريطة تع سان فرنسيسكو وضواحيها.,أنا بحاجة إلى خريطة لسان فرانسيسكو ومنطقة
3859,corpus-6-test-corpus-26-train,ما نوع الخبز لديكم ؟,واش أنواع الخبز لي عندكم؟,ଆପଣ لديك نوع الخبز؟
3860,corpus-6-test-corpus-26-train,أين المصعد ؟,وين جاي المصعد؟,Where is the bicycle?
3861,corpus-6-test-corpus-26-train,هل يوجد أحد يستطيع العزف على البيانو ؟,كاين كاش واحد يعرف يلعب البيانو؟,"Yes, there is anyone who can play piano?"
3872,corpus-6-test-corpus-26-test,في أي محطة سأنزل للذهاب إلى مبنى إمباير ستيت ؟,واش من المحطة لي لازم نحبس فيها باش نروح ل أمبير ستايت بيلدينغ؟,Where shall I go to the Indianapolis Station?
3887,corpus-6-test-corpus-26-test,تبلغ الميزانية أقل من ألف دولار .,الميزانية أقل من ألف دولار.,"تكلفة ميزانية بلغ أقل من 100,000 دولار."
3892,corpus-6-test-corpus-26-train,شكراً . لكنني لا أعتقد أن عندي وقت للإقامة لمدة ليلتين . هل يمكنك حجز غرفة بسريرين لي في ذلك الفندق ليلة الثاني عشر من مارس فقط ؟,صحا، لكن مشكيتش يكون عندنا الوقت باش نقعدو ليلتين. تقدر تحجزلي غرفة فيها زوج بناك في هاذ الفندق لليلة اثناعشر مارس برك؟,Bonjour. 但我 لا أظن أن لدي وقت للإقامة لمدة
3900,corpus-6-test-corpus-26-dev,هل يمكنني حجز غرفة بسريرين تطل على المحيط ؟,نقدر نحجز غرفة مزدوجة مع نظرة على المحيط؟,Yes
3920,corpus-6-test-corpus-26-train,لم نقرر بعد .,مازال مقررناش.,أنا لست بحاجة إلى ذلك.
3928,corpus-6-test-corpus-26-train,تعثر صديقي والتوي كاحله .,رفيقي تعثر و دارت رجلو.,صديقي يضرب على رأسه.
3936,corpus-6-test-corpus-26-train,سأجرب بعضاً من الشراب المثلج .,نجرب المثلجات.,I'll buy some cold drinks.
3961,corpus-6-test-corpus-26-train,هل يوجد مطعم تايلاندي قريب من هنا ؟,كاين مطعم تايلندي في النواحي؟,"Yes, there is a nearby restaurant?"
3972,corpus-6-test-corpus-26-train,إنها بجور ذلك المبنى المرتفع . لذلك ارجع في نفس الطريق الذي أتيت منه حتى إشارة المرور . ثم اتجه يساراً .,راهو عند هاذ المبنى الكبير. عاود ولي حتا تلحق للاشارات الضوئية، امبعد دور على اليسار.,'E n'a n'a n'a n'a
3974,corpus-6-test-corpus-26-train,علي أن ألحق طائرة متجهة للوس أنجليس باكر صباح غد .,لازم ناخذ هاذ الطيارة ل لوس أنجلس بكري بزاف غدوا صبح.,ଆପଣ ଆପଣ ଆସ طائرة تابعة للوس
3988,corpus-6-test-corpus-26-train,إذاً يمكنني بكل ثقة أن أزكي برج مدينة سان فرانسيسكو . فهذا يعطيك فكره عن سان فرانسيسكو .,"إذن، نقترح عليك بكل ثقة هاذ ""الزيارة لمدينة سان فرنسيسكو"". راح تعطيلك نظرة عامة على سان فرنسيسكو.","""""""Nka n'abalagba n'abalagba n'"
3991,corpus-6-test-corpus-26-train,أريد الحصول على تأمين .,راني حاب نتصل بشركة تأمين.,I want to get a loan.
3995,corpus-6-test-corpus-26-test,لنستخدم كيس بارد لتخفيف الألم .,دوك ندير كمادة باردة باش انقص الوجع.,""""""" أنا بحاجة إلى قطعة بارد لتسكين ألم"
4013,corpus-6-test-corpus-26-train,تريد أن تشتري ثوبا .,راهي حابة تشري فستان.,Ị wanna buy a sweater.
4016,corpus-6-test-corpus-26-train,كم أجرة التاكسي حتى هذا الفندق ؟,شحال نخلص الطاكسي باش يديني لهاذ الفندق؟,কত गाडियाँ يصل إلى فندق هذه الفندق ؟
4017,corpus-6-test-corpus-26-train,أين الحمام ؟,وين نصيب المرحاض؟,Where's the bath?
4034,corpus-6-test-corpus-26-train,هل يكلفني دخول هذا المبنى أي أموال ؟,الدخلة لهاذ المبنى بالدراهم؟,আমি بحاجة إلى دخول هذا المبنى أموالك ؟
4036,corpus-6-test-corpus-26-train,قم بها بطريقتك .,دير كيما تحب.,..
4082,corpus-6-test-corpus-26-test,أنا أبحث عن شيء أنيق .,راني نحوس على لبسة تكون أنيقة.,أنا بحث عن شيء جميل.
4104,corpus-6-test-corpus-26-train,النافذة محشورة .,الطاقة راهي حاصلة.,⋯ Deleted.
4109,corpus-6-test-corpus-26-dev,على أي جانب من ميدان الاتحاد هي ؟,من آما جيهة جاي يونين سكوير؟,Where is the summit?
4119,corpus-6-test-corpus-26-train,نصف أوقية من شانيل رقم خمسة من فضلك .,نصف وقية من شانيل رقم خمسة، من فضلك.,Otu n'otu n'otu n'otu n'otu 
4129,corpus-6-test-corpus-26-train,ما رأيك في بعض القهوة ؟,واش رايك في قهوة؟,أنت رأيت بعض الحلويات؟
